ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,7,-	,Newcastle Uni..,1	,79.7	,1	,6.71,2019/2020,EPL,1.1	,-	,1	,583	
0.9	,21(4),2	,Newcastle Uni..,1	,79.4	,3	,6.96,2018/2019,EPL,2.2	,1	,4	,1864	
0.5	,15(11),-	,Newcastle Uni..,-	,75.3	,7	,6.53,2017/2018,EPL,2	,1	,-	,1372	
1.2	,28(5),4	,Newcastle Uni..,-	,79.8	,7	,7.28,2016/2017,EC,3.7	,2	,3	,2338	
0.9	,9(9),-	,Hull,-	,88.3	,5	,6.78,2015/2016,EC,0.6	,1	,-	,861	
0.9,109,6,,2,80,23,6.91,Total / Average,,2.2,5,8,7018
0.9	,7,-	,Newcastle Uni..,1	,79.7	,1	,6.71,2019/2020,EPL,1.1	,-	,1	,583	
0.9	,21(4),2	,Newcastle Uni..,1	,79.4	,3	,6.96,2018/2019,EPL,2.2	,1	,4	,1864	
0.5	,15(11),-	,Newcastle Uni..,-	,75.3	,7	,6.53,2017/2018,EPL,2	,1	,-	,1372	
1.2	,28(5),4	,Newcastle Uni..,-	,79.8	,7	,7.28,2016/2017,EC,3.7	,2	,3	,2338	
0.9	,9(9),-	,Hull,-	,88.3	,5	,6.78,2015/2016,EC,0.6	,1	,-	,861	
0.9,109,6,,2,80,23,6.91,Total / Average,,2.2,5,8,7018
