ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,9,1	,Sheffield Uni..,-	,75.5	,2	,7.06,2019/2020,EPL,4.7	,-	,1	,810	
0.6	,41,2	,Sheffield Uni..,-	,77.2	,4	,7.09,2018/2019,EC,4.9	,3	,3	,3676	
0.7	,46,3	,Sheffield Uni..,-	,71.8	,6	,7.13,2017/2018,EC,5.6	,-	,4	,4140	
0.6	,9(7),1	,Brentford,-	,72.2	,3	,6.85,2015/2016,EC,3.8	,1	,-	,1055	
0.6,112,7,,0,74.1,15,7.07,Total / Average,,5,4,8,9681
0.7	,9,1	,Sheffield Uni..,-	,75.5	,2	,7.06,2019/2020,EPL,4.7	,-	,1	,810	
0.6	,41,2	,Sheffield Uni..,-	,77.2	,4	,7.09,2018/2019,EC,4.9	,3	,3	,3676	
0.7	,46,3	,Sheffield Uni..,-	,71.8	,6	,7.13,2017/2018,EC,5.6	,-	,4	,4140	
0.6	,9(7),1	,Brentford,-	,72.2	,3	,6.85,2015/2016,EC,3.8	,1	,-	,1055	
0.6,112,7,,0,74.1,15,7.07,Total / Average,,5,4,8,9681
