ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1,-	,Southampton,-	,61.1	,-	,6.06,2019/2020,EPL,2	,-	,-	,73	
0.3	,19(5),1	,Southampton,-	,75	,4	,6.52,2018/2019,EPL,2.3	,1	,-	,1699	
0.5	,22,1	,Southampton,1	,75.5	,6	,6.79,2017/2018,EPL,2	,2	,-	,1980	
0.2	,15(2),-	,Southampton,-	,83.9	,1	,6.78,2016/2017,EPL,1.7	,-	,1	,1469	
-	,0(1),-	,Middlesbrough,-	,78.6	,-	,6.04,2015/2016,EC,-	,-	,-	,11	
0.3,65,2,,1,77.3,11,6.67,Total / Average,,2,3,1,5232
-	,1,-	,Southampton,-	,61.1	,-	,6.06,2019/2020,EPL,2	,-	,-	,73	
0.3	,19(5),1	,Southampton,-	,75	,4	,6.52,2018/2019,EPL,2.3	,1	,-	,1699	
0.5	,22,1	,Southampton,1	,75.5	,6	,6.79,2017/2018,EPL,2	,2	,-	,1980	
0.2	,15(2),-	,Southampton,-	,83.9	,1	,6.78,2016/2017,EPL,1.7	,-	,1	,1469	
-	,0(1),-	,Middlesbrough,-	,78.6	,-	,6.04,2015/2016,EC,-	,-	,-	,11	
0.3,65,2,,1,77.3,11,6.67,Total / Average,,2,3,1,5232
