ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,9,1	,Newcastle Uni..,-	,80.9	,-	,6.75,2019/2020,EPL,2.2	,-	,-	,802	
0.3	,32,-	,Newcastle Uni..,-	,76.7	,4	,6.80,2018/2019,EPL,2.9	,-	,1	,2748	
0.4	,32(1),1	,Newcastle Uni..,-	,77.1	,5	,7.04,2017/2018,EPL,3.9	,3	,-	,2928	
0.6	,41(2),7	,Newcastle Uni..,-	,84.2	,6	,7.12,2016/2017,EC,4	,3	,1	,3675	
0.2	,10(8),-	,Newcastle Uni..,1	,79.8	,1	,6.61,2015/2016,EPL,2.4	,2	,-	,1149	
0.6	,20(6),1	,Nottingham Fo..,-	,77.6	,6	,6.93,2014/2015,EC,3.4	,1	,-	,1885	
0.8	,29,3	,Nottingham Fo..,-	,75.2	,8	,7.17,2013/2014,EC,4.9	,2	,-	,2541	
0.5,190,13,,1,78.9,30,6.97,Total / Average,,3.6,11,2,15728
0.2	,9,1	,Newcastle Uni..,-	,80.9	,-	,6.75,2019/2020,EPL,2.2	,-	,-	,802	
0.3	,32,-	,Newcastle Uni..,-	,76.7	,4	,6.80,2018/2019,EPL,2.9	,-	,1	,2748	
0.4	,32(1),1	,Newcastle Uni..,-	,77.1	,5	,7.04,2017/2018,EPL,3.9	,3	,-	,2928	
0.6	,41(2),7	,Newcastle Uni..,-	,84.2	,6	,7.12,2016/2017,EC,4	,3	,1	,3675	
0.2	,10(8),-	,Newcastle Uni..,1	,79.8	,1	,6.61,2015/2016,EPL,2.4	,2	,-	,1149	
0.6	,20(6),1	,Nottingham Fo..,-	,77.6	,6	,6.93,2014/2015,EC,3.4	,1	,-	,1885	
0.8	,29,3	,Nottingham Fo..,-	,75.2	,8	,7.17,2013/2014,EC,4.9	,2	,-	,2541	
0.5,190,13,,1,78.9,30,6.97,Total / Average,,3.6,11,2,15728
