ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,1(5),-	,Crystal Palac..,-	,78.1	,1	,6.26,2019/2020,EPL,0.2	,-	,-	,140	
-	,0(1),-	,Everton,-	,100	,-	,6.36,2018/2019,EPL,-	,-	,-	,14	
0.3	,3(1),-	,Everton,-	,74.2	,-	,6.25,2017/2018,EPL,1	,-	,-	,207	
0.5	,7(5),-	,Everton,-	,75.7	,2	,6.59,2016/2017,EPL,0.9	,1	,1	,614	
0.6	,29,1	,Everton,1	,87	,5	,6.88,2015/2016,EPL,0.4	,2	,2	,2435	
0.3	,7(1),-	,Everton,-	,88.6	,-	,6.86,2014/2015,UEL,1.1	,-	,-	,506	
0.7	,27(1),2	,Everton,-	,85.6	,7	,7.09,2014/2015,EPL,1.3	,2	,1	,2404	
-	,4,-	,Ireland,-	,80.9	,1	,6.52,2016,UEC,0.3	,-	,-	,295	
1	,5,-	,Wigan,-	,78.5	,1	,6.91,2013/2014,EC,0.2	,-	,-	,450	
0.6	,31(3),1	,Everton,-	,87.2	,5	,7.14,2013/2014,EPL,1	,1	,3	,2856	
1	,38,1	,Wigan,-	,87.3	,7	,6.87,2012/2013,EPL,0.4	,3	,2	,3376	
0.6	,33,-	,Wigan,-	,87.2	,7	,6.76,2011/2012,EPL,0.1	,-	,1	,2900	
1	,24,1	,Wigan,-	,83.8	,2	,6.91,2010/2011,EPL,0.3	,3	,1	,1983	
1.1	,19(1),-	,Wigan,-	,77.2	,3	,6.89,2009/2010,EPL,0.6	,1	,1	,1638	
0.7,246,6,,1,84.7,41,6.88,Total / Average,,0.6,13,12,19818
0.2	,1(5),-	,Crystal Palac..,-	,78.1	,1	,6.26,2019/2020,EPL,0.2	,-	,-	,140	
-	,0(1),-	,Everton,-	,100	,-	,6.36,2018/2019,EPL,-	,-	,-	,14	
0.3	,3(1),-	,Everton,-	,74.2	,-	,6.25,2017/2018,EPL,1	,-	,-	,207	
0.5	,7(5),-	,Everton,-	,75.7	,2	,6.59,2016/2017,EPL,0.9	,1	,1	,614	
0.6	,29,1	,Everton,1	,87	,5	,6.88,2015/2016,EPL,0.4	,2	,2	,2435	
0.3	,7(1),-	,Everton,-	,88.6	,-	,6.86,2014/2015,UEL,1.1	,-	,-	,506	
0.7	,27(1),2	,Everton,-	,85.6	,7	,7.09,2014/2015,EPL,1.3	,2	,1	,2404	
-	,4,-	,Ireland,-	,80.9	,1	,6.52,2016,UEC,0.3	,-	,-	,295	
1	,5,-	,Wigan,-	,78.5	,1	,6.91,2013/2014,EC,0.2	,-	,-	,450	
0.6	,31(3),1	,Everton,-	,87.2	,5	,7.14,2013/2014,EPL,1	,1	,3	,2856	
1	,38,1	,Wigan,-	,87.3	,7	,6.87,2012/2013,EPL,0.4	,3	,2	,3376	
0.6	,33,-	,Wigan,-	,87.2	,7	,6.76,2011/2012,EPL,0.1	,-	,1	,2900	
1	,24,1	,Wigan,-	,83.8	,2	,6.91,2010/2011,EPL,0.3	,3	,1	,1983	
1.1	,19(1),-	,Wigan,-	,77.2	,3	,6.89,2009/2010,EPL,0.6	,1	,1	,1638	
0.7,246,6,,1,84.7,41,6.88,Total / Average,,0.6,13,12,19818
