ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,2(5),-	,Liverpool,-	,87.1	,1	,6.37,2019/2020,EPL,0.4	,1	,2	,227	
0.7	,2(1),-	,Liverpool,-	,84.2	,1	,6.71,2019/2020,UCL,0.3	,-	,-	,184	
0.8	,19(12),1	,Liverpool,1	,84.6	,5	,6.91,2018/2019,EPL,0.6	,5	,4	,1787	
1	,10(2),-	,Liverpool,-	,81.5	,1	,6.94,2018/2019,UCL,1.3	,2	,2	,902	
0.7	,9(2),-	,Liverpool,-	,84.5	,1	,7.35,2017/2018,UCL,1.1	,-	,8	,875	
0.7	,16(16),1	,Liverpool,-	,86.4	,3	,6.78,2017/2018,EPL,0.7	,-	,3	,1764	
1	,36,2	,Liverpool,-	,79.7	,5	,7.26,2016/2017,EPL,1.6	,7	,3	,3160	
1.1	,12,2	,Liverpool,-	,81.9	,-	,7.41,2015/2016,UEL,1.6	,2	,3	,1013	
1.4	,28,4	,Liverpool,1	,77.4	,9	,7.21,2015/2016,EPL,1.1	,5	,11	,2416	
1.5	,6(2),-	,Manchester Ci..,-	,78.9	,-	,6.60,2014/2015,UCL,0.8	,1	,-	,590	
1.2	,18(14),2	,Manchester Ci..,-	,79.5	,6	,7.02,2014/2015,EPL,1.2	,5	,7	,1744	
-	,0(1),-	,England,-	,100	,-	,5.91,2016,UEC,-	,-	,-	,3	
1	,3(3),1	,Manchester Ci..,-	,79.9	,3	,7.03,2013/2014,UCL,0.8	,1	,3	,358	
0.8	,12(19),-	,Manchester Ci..,-	,84	,3	,6.59,2013/2014,EPL,0.5	,1	,4	,1359	
-	,1,-	,England,-	,69.2	,-	,7.06,2014,WC,1	,-	,-	,76	
0.5	,1(1),-	,Manchester Ci..,-	,87.2	,-	,6.46,2012/2013,UCL,0.5	,-	,1	,80	
1.2	,19(7),3	,Manchester Ci..,1	,77.4	,1	,7.02,2012/2013,EPL,1.3	,4	,3	,1721	
0.8	,4,-	,England,-	,78	,1	,6.56,2012,UEC,0.5	,-	,-	,282	
-	,2(2),-	,Manchester Ci..,-	,87.6	,-	,6.79,2011/2012,UCL,0.3	,-	,-	,211	
0.6	,17(9),-	,Manchester Ci..,-	,84.3	,3	,6.91,2011/2012,EPL,0.5	,3	,5	,1579	
6	,1,-	,Aston Villa,-	,80.8	,-	,9.14,2010/2011,EPL,-	,1	,-	,85	
0.8	,23(9),-	,Manchester Ci..,-	,78.3	,4	,6.77,2010/2011,EPL,0.6	,-	,6	,2050	
1.8	,36,2	,Aston Villa,-	,75.6	,5	,7.37,2009/2010,EPL,0.4	,7	,12	,3175	
1,382,18,,3,81,52,6.99,Total / Average,,0.9,45,77,25641
1	,2(5),-	,Liverpool,-	,87.1	,1	,6.37,2019/2020,EPL,0.4	,1	,2	,227	
0.7	,2(1),-	,Liverpool,-	,84.2	,1	,6.71,2019/2020,UCL,0.3	,-	,-	,184	
0.8	,19(12),1	,Liverpool,1	,84.6	,5	,6.91,2018/2019,EPL,0.6	,5	,4	,1787	
1	,10(2),-	,Liverpool,-	,81.5	,1	,6.94,2018/2019,UCL,1.3	,2	,2	,902	
0.7	,9(2),-	,Liverpool,-	,84.5	,1	,7.35,2017/2018,UCL,1.1	,-	,8	,875	
0.7	,16(16),1	,Liverpool,-	,86.4	,3	,6.78,2017/2018,EPL,0.7	,-	,3	,1764	
1	,36,2	,Liverpool,-	,79.7	,5	,7.26,2016/2017,EPL,1.6	,7	,3	,3160	
1.1	,12,2	,Liverpool,-	,81.9	,-	,7.41,2015/2016,UEL,1.6	,2	,3	,1013	
1.4	,28,4	,Liverpool,1	,77.4	,9	,7.21,2015/2016,EPL,1.1	,5	,11	,2416	
1.5	,6(2),-	,Manchester Ci..,-	,78.9	,-	,6.60,2014/2015,UCL,0.8	,1	,-	,590	
1.2	,18(14),2	,Manchester Ci..,-	,79.5	,6	,7.02,2014/2015,EPL,1.2	,5	,7	,1744	
-	,0(1),-	,England,-	,100	,-	,5.91,2016,UEC,-	,-	,-	,3	
1	,3(3),1	,Manchester Ci..,-	,79.9	,3	,7.03,2013/2014,UCL,0.8	,1	,3	,358	
0.8	,12(19),-	,Manchester Ci..,-	,84	,3	,6.59,2013/2014,EPL,0.5	,1	,4	,1359	
-	,1,-	,England,-	,69.2	,-	,7.06,2014,WC,1	,-	,-	,76	
0.5	,1(1),-	,Manchester Ci..,-	,87.2	,-	,6.46,2012/2013,UCL,0.5	,-	,1	,80	
1.2	,19(7),3	,Manchester Ci..,1	,77.4	,1	,7.02,2012/2013,EPL,1.3	,4	,3	,1721	
0.8	,4,-	,England,-	,78	,1	,6.56,2012,UEC,0.5	,-	,-	,282	
-	,2(2),-	,Manchester Ci..,-	,87.6	,-	,6.79,2011/2012,UCL,0.3	,-	,-	,211	
0.6	,17(9),-	,Manchester Ci..,-	,84.3	,3	,6.91,2011/2012,EPL,0.5	,3	,5	,1579	
6	,1,-	,Aston Villa,-	,80.8	,-	,9.14,2010/2011,EPL,-	,1	,-	,85	
0.8	,23(9),-	,Manchester Ci..,-	,78.3	,4	,6.77,2010/2011,EPL,0.6	,-	,6	,2050	
1.8	,36,2	,Aston Villa,-	,75.6	,5	,7.37,2009/2010,EPL,0.4	,7	,12	,3175	
1,382,18,,3,81,52,6.99,Total / Average,,0.9,45,77,25641
