ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,8,-	,Southampton,-	,80.4	,1	,6.89,2019/2020,EPL,3	,1	,-	,709	
0.6	,23,-	,Southampton,-	,76.9	,2	,7.07,2018/2019,EPL,3.7	,-	,-	,2030	
0.8	,32,1	,Borussia M.Gl..,-	,85.4	,5	,6.93,2017/2018,GB,3.2	,3	,-	,2880	
1	,29(5),3	,Borussia M.Gl..,-	,84.9	,1	,7.19,2016/2017,GB,3.9	,4	,1	,2657	
0.5	,3(1),-	,Borussia M.Gl..,-	,85.4	,-	,6.69,2016/2017,UCL,1	,-	,-	,301	
1	,4,-	,Borussia M.Gl..,-	,86.3	,1	,6.74,2016/2017,UEL,3	,-	,-	,360	
1.1	,33,2	,Werder Bremen,-	,72.7	,2	,7.15,2015/2016,GB,4.7	,2	,-	,2970	
1.5	,4,1	,Denmark U21,-	,77.1	,1	,7.52,2015,IEU,4	,1	,-	,360	
0.7	,1(5),-	,Hoffenheim,-	,73.7	,-	,6.60,2014/2015,GB,1.8	,1	,-	,155	
0.6	,15,-	,Werder Bremen,-	,71	,3	,7.32,2014/2015,GB,6.7	,1	,-	,1283	
0.6	,19(6),3	,Hoffenheim,-	,72.4	,3	,7.16,2013/2014,GB,5	,1	,1	,1861	
0.1	,14(2),-	,Hoffenheim,-	,71.8	,6	,6.79,2012/2013,GB,2.9	,-	,-	,1340	
0.5	,19(4),2	,Hoffenheim,-	,80.1	,3	,6.97,2011/2012,GB,2	,2	,-	,1772	
-	,0(1),-	,Hoffenheim,-	,-	,-	,6.00,2010/2011,GB,-	,-	,-	,1	
0.7,228,12,,0,77.8,28,7.05,Total / Average,,3.8,16,2,18679
1	,8,-	,Southampton,-	,80.4	,1	,6.89,2019/2020,EPL,3	,1	,-	,709	
0.6	,23,-	,Southampton,-	,76.9	,2	,7.07,2018/2019,EPL,3.7	,-	,-	,2030	
0.8	,32,1	,Borussia M.Gl..,-	,85.4	,5	,6.93,2017/2018,GB,3.2	,3	,-	,2880	
1	,29(5),3	,Borussia M.Gl..,-	,84.9	,1	,7.19,2016/2017,GB,3.9	,4	,1	,2657	
0.5	,3(1),-	,Borussia M.Gl..,-	,85.4	,-	,6.69,2016/2017,UCL,1	,-	,-	,301	
1	,4,-	,Borussia M.Gl..,-	,86.3	,1	,6.74,2016/2017,UEL,3	,-	,-	,360	
1.1	,33,2	,Werder Bremen,-	,72.7	,2	,7.15,2015/2016,GB,4.7	,2	,-	,2970	
1.5	,4,1	,Denmark U21,-	,77.1	,1	,7.52,2015,IEU,4	,1	,-	,360	
0.7	,1(5),-	,Hoffenheim,-	,73.7	,-	,6.60,2014/2015,GB,1.8	,1	,-	,155	
0.6	,15,-	,Werder Bremen,-	,71	,3	,7.32,2014/2015,GB,6.7	,1	,-	,1283	
0.6	,19(6),3	,Hoffenheim,-	,72.4	,3	,7.16,2013/2014,GB,5	,1	,1	,1861	
0.1	,14(2),-	,Hoffenheim,-	,71.8	,6	,6.79,2012/2013,GB,2.9	,-	,-	,1340	
0.5	,19(4),2	,Hoffenheim,-	,80.1	,3	,6.97,2011/2012,GB,2	,2	,-	,1772	
-	,0(1),-	,Hoffenheim,-	,-	,-	,6.00,2010/2011,GB,-	,-	,-	,1	
0.7,228,12,,0,77.8,28,7.05,Total / Average,,3.8,16,2,18679
