ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,4(2),-	,Manchester Un..,-	,89	,2	,6.26,2019/2020,EPL,0.2	,-	,-	,348	
1.3	,1(2),-	,Manchester Un..,-	,88.2	,-	,6.30,2019/2020,UEL,-	,-	,-	,125	
1.2	,19(8),1	,Manchester Un..,-	,85.7	,3	,6.59,2018/2019,EPL,0.2	,4	,2	,1670	
0.5	,4(2),-	,Manchester Un..,-	,88.9	,1	,6.18,2018/2019,UCL,-	,-	,-	,300	
1	,2(2),-	,England,-	,89.2	,1	,6.59,2018/2019,UNL,-	,1	,-	,272	
0.7	,3(3),-	,Manchester Un..,-	,91.6	,2	,6.23,2017/2018,UCL,0.3	,-	,-	,246	
1.7	,20(13),1	,Manchester Un..,-	,87.8	,2	,6.82,2017/2018,EPL,0.2	,8	,5	,1823	
1.5	,18(7),1	,Manchester Un..,-	,87.9	,3	,6.69,2016/2017,EPL,0.2	,1	,2	,1369	
1.7	,6(4),-	,Manchester Un..,-	,87	,1	,6.71,2016/2017,UEL,0.4	,2	,1	,526	
2.8	,5(1),-	,England,-	,92.1	,1	,6.93,2018,WC,0.2	,1	,1	,528	
3.3	,3,-	,Manchester Un..,-	,85.8	,2	,7.03,2015/2016,UEL,0.3	,-	,1	,266	
2.8	,4,-	,Manchester Un..,-	,86	,1	,7.18,2015/2016,UCL,0.8	,-	,1	,350	
1.2	,19(6),1	,Manchester Un..,-	,84.7	,4	,6.71,2015/2016,EPL,0.1	,4	,1	,1635	
2.3	,2(1),-	,England U21,-	,89.3	,-	,6.79,2015,IEU,0.3	,1	,-	,199	
1.4	,6(8),-	,Derby,-	,89.1	,1	,6.59,2014/2015,EC,0.2	,2	,1	,658	
-	,1,-	,Manchester Un..,-	,69.2	,-	,6.32,2014/2015,EPL,-	,-	,-	,24	
1.9	,17,2	,Brighton,-	,84.4	,1	,7.09,2013/2014,EC,0.2	,4	,3	,1399	
2.3	,13,1	,Birmingham,1	,80.1	,-	,7.22,2013/2014,EC,-	,6	,3	,1086	
1.5,206,7,,1,86.6,25,6.73,Total / Average,,0.2,34,21,12824
0.5	,4(2),-	,Manchester Un..,-	,89	,2	,6.26,2019/2020,EPL,0.2	,-	,-	,348	
1.3	,1(2),-	,Manchester Un..,-	,88.2	,-	,6.30,2019/2020,UEL,-	,-	,-	,125	
1.2	,19(8),1	,Manchester Un..,-	,85.7	,3	,6.59,2018/2019,EPL,0.2	,4	,2	,1670	
0.5	,4(2),-	,Manchester Un..,-	,88.9	,1	,6.18,2018/2019,UCL,-	,-	,-	,300	
1	,2(2),-	,England,-	,89.2	,1	,6.59,2018/2019,UNL,-	,1	,-	,272	
0.7	,3(3),-	,Manchester Un..,-	,91.6	,2	,6.23,2017/2018,UCL,0.3	,-	,-	,246	
1.7	,20(13),1	,Manchester Un..,-	,87.8	,2	,6.82,2017/2018,EPL,0.2	,8	,5	,1823	
1.5	,18(7),1	,Manchester Un..,-	,87.9	,3	,6.69,2016/2017,EPL,0.2	,1	,2	,1369	
1.7	,6(4),-	,Manchester Un..,-	,87	,1	,6.71,2016/2017,UEL,0.4	,2	,1	,526	
2.8	,5(1),-	,England,-	,92.1	,1	,6.93,2018,WC,0.2	,1	,1	,528	
3.3	,3,-	,Manchester Un..,-	,85.8	,2	,7.03,2015/2016,UEL,0.3	,-	,1	,266	
2.8	,4,-	,Manchester Un..,-	,86	,1	,7.18,2015/2016,UCL,0.8	,-	,1	,350	
1.2	,19(6),1	,Manchester Un..,-	,84.7	,4	,6.71,2015/2016,EPL,0.1	,4	,1	,1635	
2.3	,2(1),-	,England U21,-	,89.3	,-	,6.79,2015,IEU,0.3	,1	,-	,199	
1.4	,6(8),-	,Derby,-	,89.1	,1	,6.59,2014/2015,EC,0.2	,2	,1	,658	
-	,1,-	,Manchester Un..,-	,69.2	,-	,6.32,2014/2015,EPL,-	,-	,-	,24	
1.9	,17,2	,Brighton,-	,84.4	,1	,7.09,2013/2014,EC,0.2	,4	,3	,1399	
2.3	,13,1	,Birmingham,1	,80.1	,-	,7.22,2013/2014,EC,-	,6	,3	,1086	
1.5,206,7,,1,86.6,25,6.73,Total / Average,,0.2,34,21,12824
