ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(1),-	,Wolverhampton..,-	,77.1	,1	,6.14,2019/2020,EPL,2.5	,-	,-	,162	
0.2	,4(1),-	,Real Madrid,1	,87.8	,1	,6.46,2018/2019,SLL,0.6	,1	,-	,311	
-	,1,-	,Real Madrid,-	,96.1	,-	,6.69,2018/2019,UCL,6	,-	,-	,90	
0.3	,4,-	,Spain U21,-	,91.7	,2	,6.63,2019,IEU,1	,-	,-	,360	
-	,7,-	,Real Madrid,-	,87.2	,-	,6.95,2017/2018,SLL,1.3	,-	,-	,630	
-	,1,-	,Real Madrid,-	,97.5	,-	,5.81,2017/2018,UCL,-	,-	,-	,90	
0.2	,22(3),-	,Eintracht Fra..,-	,85.2	,4	,6.88,2016/2017,GB,2.2	,1	,-	,2055	
0.2,45,0,,1,86.6,8,6.76,Total / Average,,1.8,2,0,3698
-	,1(1),-	,Wolverhampton..,-	,77.1	,1	,6.14,2019/2020,EPL,2.5	,-	,-	,162	
0.2	,4(1),-	,Real Madrid,1	,87.8	,1	,6.46,2018/2019,SLL,0.6	,1	,-	,311	
-	,1,-	,Real Madrid,-	,96.1	,-	,6.69,2018/2019,UCL,6	,-	,-	,90	
0.3	,4,-	,Spain U21,-	,91.7	,2	,6.63,2019,IEU,1	,-	,-	,360	
-	,7,-	,Real Madrid,-	,87.2	,-	,6.95,2017/2018,SLL,1.3	,-	,-	,630	
-	,1,-	,Real Madrid,-	,97.5	,-	,5.81,2017/2018,UCL,-	,-	,-	,90	
0.2	,22(3),-	,Eintracht Fra..,-	,85.2	,4	,6.88,2016/2017,GB,2.2	,1	,-	,2055	
0.2,45,0,,1,86.6,8,6.76,Total / Average,,1.8,2,0,3698
