ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,7,-	,Liverpool,-	,83.1	,-	,7.52,2019/2020,EPL,5.9	,1	,-	,630	
-	,1,-	,Liverpool,-	,88.9	,-	,6.07,2019/2020,UCL,-	,-	,-	,90	
0.4	,17(5),2	,Liverpool,-	,86.9	,3	,7.11,2018/2019,EPL,3	,1	,-	,1535	
0.8	,8,-	,Liverpool,-	,83.1	,2	,7.12,2018/2019,UCL,3.1	,-	,1	,720	
-	,5(1),-	,Liverpool,-	,91.2	,-	,6.78,2017/2018,UCL,2	,-	,-	,466	
0.4	,22(3),-	,Liverpool,-	,88.7	,3	,6.92,2017/2018,EPL,2.3	,1	,-	,1995	
0.9	,27(2),-	,Liverpool,-	,87.2	,3	,7.11,2016/2017,EPL,2.2	,1	,-	,2456	
0.9	,34,2	,Schalke 04,-	,83.4	,3	,7.30,2015/2016,GB,3.5	,3	,3	,3060	
1.6	,5,-	,Schalke 04,-	,89.9	,-	,7.04,2015/2016,UEL,3.4	,1	,-	,450	
0.8	,17(4),-	,Schalke 04,1	,81.6	,2	,7.00,2014/2015,GB,3.1	,2	,-	,1546	
-	,3,-	,Schalke 04,-	,89.3	,-	,6.64,2014/2015,UCL,1.7	,-	,-	,270	
0.3	,6,-	,Schalke 04,-	,91.7	,1	,6.66,2013/2014,UCL,1.2	,1	,-	,540	
0.5	,31,1	,Schalke 04,-	,80.8	,4	,7.45,2013/2014,GB,4.3	,3	,2	,2790	
1	,2,-	,Cameroon,-	,78	,-	,6.80,2014,WC,2	,1	,-	,180	
0.4	,32,2	,Schalke 04,-	,82	,4	,7.09,2012/2013,GB,1.4	,3	,-	,2873	
0.7	,6,-	,Schalke 04,-	,83.8	,2	,7.08,2012/2013,UCL,1.2	,-	,-	,540	
0.3	,30,3	,Schalke 04,-	,81.3	,6	,7.34,2011/2012,GB,1	,3	,4	,2631	
0.3	,14(12),-	,Schalke 04,-	,79.1	,1	,6.44,2010/2011,GB,0.3	,-	,1	,1500	
0.5	,6(5),-	,Schalke 04,-	,78.3	,1	,6.87,2010/2011,UCL,0.5	,1	,-	,617	
0.4	,17(3),2	,Schalke 04,-	,75	,2	,6.80,2009/2010,GB,1.1	,3	,-	,1392	
0.6,325,12,,1,83.1,37,7.06,Total / Average,,2.2,25,11,26281
0.4	,7,-	,Liverpool,-	,83.1	,-	,7.52,2019/2020,EPL,5.9	,1	,-	,630	
-	,1,-	,Liverpool,-	,88.9	,-	,6.07,2019/2020,UCL,-	,-	,-	,90	
0.4	,17(5),2	,Liverpool,-	,86.9	,3	,7.11,2018/2019,EPL,3	,1	,-	,1535	
0.8	,8,-	,Liverpool,-	,83.1	,2	,7.12,2018/2019,UCL,3.1	,-	,1	,720	
-	,5(1),-	,Liverpool,-	,91.2	,-	,6.78,2017/2018,UCL,2	,-	,-	,466	
0.4	,22(3),-	,Liverpool,-	,88.7	,3	,6.92,2017/2018,EPL,2.3	,1	,-	,1995	
0.9	,27(2),-	,Liverpool,-	,87.2	,3	,7.11,2016/2017,EPL,2.2	,1	,-	,2456	
0.9	,34,2	,Schalke 04,-	,83.4	,3	,7.30,2015/2016,GB,3.5	,3	,3	,3060	
1.6	,5,-	,Schalke 04,-	,89.9	,-	,7.04,2015/2016,UEL,3.4	,1	,-	,450	
0.8	,17(4),-	,Schalke 04,1	,81.6	,2	,7.00,2014/2015,GB,3.1	,2	,-	,1546	
-	,3,-	,Schalke 04,-	,89.3	,-	,6.64,2014/2015,UCL,1.7	,-	,-	,270	
0.3	,6,-	,Schalke 04,-	,91.7	,1	,6.66,2013/2014,UCL,1.2	,1	,-	,540	
0.5	,31,1	,Schalke 04,-	,80.8	,4	,7.45,2013/2014,GB,4.3	,3	,2	,2790	
1	,2,-	,Cameroon,-	,78	,-	,6.80,2014,WC,2	,1	,-	,180	
0.4	,32,2	,Schalke 04,-	,82	,4	,7.09,2012/2013,GB,1.4	,3	,-	,2873	
0.7	,6,-	,Schalke 04,-	,83.8	,2	,7.08,2012/2013,UCL,1.2	,-	,-	,540	
0.3	,30,3	,Schalke 04,-	,81.3	,6	,7.34,2011/2012,GB,1	,3	,4	,2631	
0.3	,14(12),-	,Schalke 04,-	,79.1	,1	,6.44,2010/2011,GB,0.3	,-	,1	,1500	
0.5	,6(5),-	,Schalke 04,-	,78.3	,1	,6.87,2010/2011,UCL,0.5	,1	,-	,617	
0.4	,17(3),2	,Schalke 04,-	,75	,2	,6.80,2009/2010,GB,1.1	,3	,-	,1392	
0.6,325,12,,1,83.1,37,7.06,Total / Average,,2.2,25,11,26281
