ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,9,-	,Crystal Palac..,-	,76.6	,2	,6.79,2019/2020,EPL,1.3	,-	,-	,810	
0.3	,6(1),-	,Crystal Palac..,-	,72.6	,1	,6.74,2018/2019,EPL,2.6	,1	,-	,551	
0.3	,19,-	,Crystal Palac..,-	,71.8	,4	,6.82,2017/2018,EPL,1.7	,-	,1	,1616	
0.4	,38,2	,Crystal Palac..,-	,73.6	,7	,6.82,2016/2017,EPL,1.6	,-	,1	,3418	
0.6	,30,-	,Crystal Palac..,-	,71.1	,4	,6.94,2015/2016,EPL,1.8	,2	,1	,2692	
0.3	,37,-	,Crystal Palac..,-	,69.5	,4	,7.04,2014/2015,EPL,2.8	,1	,-	,3330	
0.5	,36,-	,Crystal Palac..,-	,75.5	,3	,7.28,2013/2014,EPL,2	,-	,2	,3240	
0.7	,1(2),-	,Portsmouth,-	,52.9	,-	,6.65,2009/2010,EPL,1	,-	,-	,145	
0.4,179,2,,0,72.3,25,6.97,Total / Average,,2,4,5,15802
0.2	,9,-	,Crystal Palac..,-	,76.6	,2	,6.79,2019/2020,EPL,1.3	,-	,-	,810	
0.3	,6(1),-	,Crystal Palac..,-	,72.6	,1	,6.74,2018/2019,EPL,2.6	,1	,-	,551	
0.3	,19,-	,Crystal Palac..,-	,71.8	,4	,6.82,2017/2018,EPL,1.7	,-	,1	,1616	
0.4	,38,2	,Crystal Palac..,-	,73.6	,7	,6.82,2016/2017,EPL,1.6	,-	,1	,3418	
0.6	,30,-	,Crystal Palac..,-	,71.1	,4	,6.94,2015/2016,EPL,1.8	,2	,1	,2692	
0.3	,37,-	,Crystal Palac..,-	,69.5	,4	,7.04,2014/2015,EPL,2.8	,1	,-	,3330	
0.5	,36,-	,Crystal Palac..,-	,75.5	,3	,7.28,2013/2014,EPL,2	,-	,2	,3240	
0.7	,1(2),-	,Portsmouth,-	,52.9	,-	,6.65,2009/2010,EPL,1	,-	,-	,145	
0.4,179,2,,0,72.3,25,6.97,Total / Average,,2,4,5,15802
