ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.6	,9,-	,Newcastle Uni..,-	,82	,2	,6.54,2019/2020,EPL,4.8	,1	,-	,717	
2	,25(3),1	,Hoffenheim,-	,79.3	,5	,7.21,2018/2019,GB,2.3	,7	,5	,2136	
2	,4(1),-	,Hoffenheim,-	,77.5	,2	,7.32,2018/2019,UCL,2.4	,1	,1	,391	
2.3	,5(1),1	,Rapid Wien,-	,68.5	,2	,6.73,2016/2017,UEL,1	,2	,-	,419	
2	,0(1),-	,Hoffenheim,-	,50	,-	,6.00,2015/2016,GB,-	,-	,-	,1	
2	,4(1),-	,Sport Recife,-	,81.8	,1	,6.89,2015,BSA,0.4	,1	,2	,368	
2.4	,6(1),-	,Sport Recife,-	,78.3	,1	,6.93,2014,BSA,0.6	,2	,1	,533	
2,61,2,,0,78.1,13,7.00,Total / Average,,2.1,14,9,4565
1.6	,9,-	,Newcastle Uni..,-	,82	,2	,6.54,2019/2020,EPL,4.8	,1	,-	,717	
2	,25(3),1	,Hoffenheim,-	,79.3	,5	,7.21,2018/2019,GB,2.3	,7	,5	,2136	
2	,4(1),-	,Hoffenheim,-	,77.5	,2	,7.32,2018/2019,UCL,2.4	,1	,1	,391	
2.3	,5(1),1	,Rapid Wien,-	,68.5	,2	,6.73,2016/2017,UEL,1	,2	,-	,419	
2	,0(1),-	,Hoffenheim,-	,50	,-	,6.00,2015/2016,GB,-	,-	,-	,1	
2	,4(1),-	,Sport Recife,-	,81.8	,1	,6.89,2015,BSA,0.4	,1	,2	,368	
2.4	,6(1),-	,Sport Recife,-	,78.3	,1	,6.93,2014,BSA,0.6	,2	,1	,533	
2,61,2,,0,78.1,13,7.00,Total / Average,,2.1,14,9,4565
