ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(1),-	,Aston Villa,-	,75	,-	,5.75,2019/2020,EPL,-	,-	,-	,16	
2	,4(1),-	,Ivory Coast,-	,67.2	,-	,6.79,2019,ACoN,3	,2	,1	,366	
1.5	,22(19),1	,Aston Villa,-	,84.1	,5	,6.60,2018/2019,EC,1.1	,9	,2	,2042	
1.6	,9(9),-	,Aston Villa,-	,81.1	,2	,6.64,2017/2018,EC,1.4	,1	,3	,868	
3	,4,-	,Bristol City,-	,77.8	,-	,7.01,2016/2017,EC,1	,-	,1	,360	
3.3	,36,6	,Aston Villa,1	,71.7	,5	,7.14,2016/2017,EC,1.7	,19	,1	,3048	
2.7	,42(3),4	,Bristol City,-	,74.2	,5	,6.84,2015/2016,EC,0.8	,19	,3	,3503	
2.4,150,11,,1,77,17,6.82,Total / Average,,1.2,50,11,10203
-	,0(1),-	,Aston Villa,-	,75	,-	,5.75,2019/2020,EPL,-	,-	,-	,16	
2	,4(1),-	,Ivory Coast,-	,67.2	,-	,6.79,2019,ACoN,3	,2	,1	,366	
1.5	,22(19),1	,Aston Villa,-	,84.1	,5	,6.60,2018/2019,EC,1.1	,9	,2	,2042	
1.6	,9(9),-	,Aston Villa,-	,81.1	,2	,6.64,2017/2018,EC,1.4	,1	,3	,868	
3	,4,-	,Bristol City,-	,77.8	,-	,7.01,2016/2017,EC,1	,-	,1	,360	
3.3	,36,6	,Aston Villa,1	,71.7	,5	,7.14,2016/2017,EC,1.7	,19	,1	,3048	
2.7	,42(3),4	,Bristol City,-	,74.2	,5	,6.84,2015/2016,EC,0.8	,19	,3	,3503	
2.4,150,11,,1,77,17,6.82,Total / Average,,1.2,50,11,10203
