ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,4,-	,Newcastle Uni..,-	,78.2	,-	,6.78,2019/2020,EPL,0.3	,1	,-	,307	
1.4	,10(6),-	,Newcastle Uni..,-	,71	,1	,6.80,2018/2019,EPL,0.9	,1	,1	,944	
1.4	,25(5),1	,Newcastle Uni..,2	,72.4	,2	,6.70,2017/2018,EPL,0.7	,1	,3	,2269	
2.2	,38(4),2	,Newcastle Uni..,1	,78.5	,10	,7.19,2016/2017,EC,0.7	,5	,8	,3369	
2.1	,14(2),1	,Swansea,-	,83.6	,5	,6.90,2015/2016,EPL,0.4	,1	,2	,1221	
1.5	,11(4),-	,Newcastle Uni..,-	,80.1	,3	,6.72,2015/2016,EPL,0.3	,-	,3	,1048	
2	,28(3),-	,Swansea,1	,79.1	,8	,6.83,2014/2015,EPL,0.4	,3	,5	,2456	
2	,3(3),-	,Swansea,-	,86.4	,1	,6.66,2013/2014,UEL,0.2	,-	,-	,309	
2.4	,29(3),2	,Swansea,-	,83	,4	,6.94,2013/2014,EPL,0.4	,6	,6	,2476	
2	,2(1),-	,England U21,-	,77.2	,-	,6.70,2013,IEU,-	,-	,-	,189	
1.9	,4(3),-	,Liverpool,-	,87.5	,2	,7.19,2012/2013,UEL,0.9	,4	,1	,482	
1.8	,9(10),-	,Liverpool,1	,81.7	,3	,6.45,2012/2013,EPL,0.5	,1	,-	,918	
1.5	,8(5),-	,Liverpool,-	,83	,2	,6.53,2011/2012,EPL,0.6	,1	,-	,728	
0.5	,0(15),-	,Liverpool,-	,78	,1	,6.25,2010/2011,EPL,0.1	,-	,1	,321	
1.8,249,6,,5,79.2,42,6.81,Total / Average,,0.5,24,30,17037
1.5	,4,-	,Newcastle Uni..,-	,78.2	,-	,6.78,2019/2020,EPL,0.3	,1	,-	,307	
1.4	,10(6),-	,Newcastle Uni..,-	,71	,1	,6.80,2018/2019,EPL,0.9	,1	,1	,944	
1.4	,25(5),1	,Newcastle Uni..,2	,72.4	,2	,6.70,2017/2018,EPL,0.7	,1	,3	,2269	
2.2	,38(4),2	,Newcastle Uni..,1	,78.5	,10	,7.19,2016/2017,EC,0.7	,5	,8	,3369	
2.1	,14(2),1	,Swansea,-	,83.6	,5	,6.90,2015/2016,EPL,0.4	,1	,2	,1221	
1.5	,11(4),-	,Newcastle Uni..,-	,80.1	,3	,6.72,2015/2016,EPL,0.3	,-	,3	,1048	
2	,28(3),-	,Swansea,1	,79.1	,8	,6.83,2014/2015,EPL,0.4	,3	,5	,2456	
2	,3(3),-	,Swansea,-	,86.4	,1	,6.66,2013/2014,UEL,0.2	,-	,-	,309	
2.4	,29(3),2	,Swansea,-	,83	,4	,6.94,2013/2014,EPL,0.4	,6	,6	,2476	
2	,2(1),-	,England U21,-	,77.2	,-	,6.70,2013,IEU,-	,-	,-	,189	
1.9	,4(3),-	,Liverpool,-	,87.5	,2	,7.19,2012/2013,UEL,0.9	,4	,1	,482	
1.8	,9(10),-	,Liverpool,1	,81.7	,3	,6.45,2012/2013,EPL,0.5	,1	,-	,918	
1.5	,8(5),-	,Liverpool,-	,83	,2	,6.53,2011/2012,EPL,0.6	,1	,-	,728	
0.5	,0(15),-	,Liverpool,-	,78	,1	,6.25,2010/2011,EPL,0.1	,-	,1	,321	
1.8,249,6,,5,79.2,42,6.81,Total / Average,,0.5,24,30,17037
