ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Everton,-	,65.5	,-	,6.52,2019/2020,EPL,0.4	,-	,-	,810	
-	,38,2	,Everton,-	,55.7	,1	,6.50,2018/2019,EPL,0.3	,-	,-	,3420	
-	,6,-	,England,-	,72.5	,-	,6.58,2018/2019,UNL,-	,-	,-	,600	
-	,3,-	,Everton,-	,41.6	,-	,6.47,2017/2018,UEL,-	,-	,-	,270	
-	,38,-	,Everton,-	,44.5	,-	,6.63,2017/2018,EPL,0.5	,-	,-	,3420	
-	,29,3	,Sunderland,-	,46.2	,-	,7.04,2016/2017,EPL,0.4	,-	,-	,2610	
-	,7,-	,England,-	,66.4	,-	,6.54,2018,WC,0.7	,-	,-	,690	
-	,24,3	,Preston,1	,34.9	,2	,6.95,2015/2016,EC,0.8	,-	,-	,2101	
-	,2,-	,Sunderland,-	,31.4	,-	,7.02,2015/2016,EPL,0.5	,-	,-	,180	
0,156,8,,1,49.1,3,6.71,Total / Average,,0.5,0,0,14101
-	,9,-	,Everton,-	,65.5	,-	,6.52,2019/2020,EPL,0.4	,-	,-	,810	
-	,38,2	,Everton,-	,55.7	,1	,6.50,2018/2019,EPL,0.3	,-	,-	,3420	
-	,6,-	,England,-	,72.5	,-	,6.58,2018/2019,UNL,-	,-	,-	,600	
-	,3,-	,Everton,-	,41.6	,-	,6.47,2017/2018,UEL,-	,-	,-	,270	
-	,38,-	,Everton,-	,44.5	,-	,6.63,2017/2018,EPL,0.5	,-	,-	,3420	
-	,29,3	,Sunderland,-	,46.2	,-	,7.04,2016/2017,EPL,0.4	,-	,-	,2610	
-	,7,-	,England,-	,66.4	,-	,6.54,2018,WC,0.7	,-	,-	,690	
-	,24,3	,Preston,1	,34.9	,2	,6.95,2015/2016,EC,0.8	,-	,-	,2101	
-	,2,-	,Sunderland,-	,31.4	,-	,7.02,2015/2016,EPL,0.5	,-	,-	,180	
0,156,8,,1,49.1,3,6.71,Total / Average,,0.5,0,0,14101
