ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,9,1	,Chelsea,-	,86.6	,4	,7.17,2019/2020,EPL,0.6	,1	,1	,774	
0.7	,3,-	,Chelsea,-	,92.7	,1	,6.84,2019/2020,UCL,0.3	,-	,-	,270	
0.5	,37,-	,Chelsea,-	,89.3	,8	,6.88,2018/2019,EPL,0.4	,2	,-	,3165	
0.1	,8(3),-	,Chelsea,-	,88	,-	,6.82,2018/2019,UEL,0.6	,-	,-	,740	
1.3	,4,-	,Italy,-	,89.3	,2	,7.13,2018/2019,UNL,0.3	,1	,-	,360	
0.5	,33,-	,Napoli,-	,89.5	,5	,7.02,2017/2018,ISA,0.5	,2	,4	,2665	
-	,0(1),-	,Napoli,-	,92.3	,-	,6.42,2017/2018,UEL,-	,-	,-	,8	
1	,2,-	,Napoli,-	,84.9	,-	,7.38,2017/2018,UCL,-	,1	,-	,162	
0.9	,27,1	,Napoli,-	,90.5	,3	,7.24,2016/2017,ISA,0.5	,-	,3	,2148	
0.3	,4,-	,Napoli,-	,91.1	,1	,6.34,2016/2017,UCL,0.5	,-	,-	,329	
0.2	,32(3),1	,Napoli,1	,90.9	,10	,7.22,2015/2016,ISA,0.6	,-	,4	,2913	
0.5	,1(1),-	,Napoli,-	,94.8	,1	,7.29,2015/2016,UEL,-	,-	,2	,106	
0.3	,14(9),-	,Napoli,-	,89.2	,5	,6.55,2014/2015,ISA,0.3	,-	,-	,1284	
0.3	,6,-	,Napoli,-	,86.4	,1	,6.91,2014/2015,UEL,0.3	,-	,-	,511	
0.7	,18,-	,Verona,-	,86.1	,3	,7.28,2013/2014,ISA,0.7	,7	,3	,1611	
0.3	,12(3),-	,Napoli,-	,89.6	,4	,6.85,2013/2014,ISA,0.1	,-	,1	,1124	
0.5,230,3,,1,89.3,48,7.00,Total / Average,,0.5,14,18,18170
0.7	,9,1	,Chelsea,-	,86.6	,4	,7.17,2019/2020,EPL,0.6	,1	,1	,774	
0.7	,3,-	,Chelsea,-	,92.7	,1	,6.84,2019/2020,UCL,0.3	,-	,-	,270	
0.5	,37,-	,Chelsea,-	,89.3	,8	,6.88,2018/2019,EPL,0.4	,2	,-	,3165	
0.1	,8(3),-	,Chelsea,-	,88	,-	,6.82,2018/2019,UEL,0.6	,-	,-	,740	
1.3	,4,-	,Italy,-	,89.3	,2	,7.13,2018/2019,UNL,0.3	,1	,-	,360	
0.5	,33,-	,Napoli,-	,89.5	,5	,7.02,2017/2018,ISA,0.5	,2	,4	,2665	
-	,0(1),-	,Napoli,-	,92.3	,-	,6.42,2017/2018,UEL,-	,-	,-	,8	
1	,2,-	,Napoli,-	,84.9	,-	,7.38,2017/2018,UCL,-	,1	,-	,162	
0.9	,27,1	,Napoli,-	,90.5	,3	,7.24,2016/2017,ISA,0.5	,-	,3	,2148	
0.3	,4,-	,Napoli,-	,91.1	,1	,6.34,2016/2017,UCL,0.5	,-	,-	,329	
0.2	,32(3),1	,Napoli,1	,90.9	,10	,7.22,2015/2016,ISA,0.6	,-	,4	,2913	
0.5	,1(1),-	,Napoli,-	,94.8	,1	,7.29,2015/2016,UEL,-	,-	,2	,106	
0.3	,14(9),-	,Napoli,-	,89.2	,5	,6.55,2014/2015,ISA,0.3	,-	,-	,1284	
0.3	,6,-	,Napoli,-	,86.4	,1	,6.91,2014/2015,UEL,0.3	,-	,-	,511	
0.7	,18,-	,Verona,-	,86.1	,3	,7.28,2013/2014,ISA,0.7	,7	,3	,1611	
0.3	,12(3),-	,Napoli,-	,89.6	,4	,6.85,2013/2014,ISA,0.1	,-	,1	,1124	
0.5,230,3,,1,89.3,48,7.00,Total / Average,,0.5,14,18,18170
