ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,8(1),1	,Bournemouth,-	,64.4	,-	,7.00,2019/2020,EPL,3.2	,2	,2	,737	
2.1	,34(1),5	,Bournemouth,-	,72	,3	,6.96,2018/2019,EPL,2.5	,12	,3	,2974	
2	,4,-	,Norway,-	,70.1	,-	,6.43,2018/2019,UNL,2.8	,-	,-	,360	
1.5	,27(6),3	,Bournemouth,-	,72.9	,3	,6.88,2017/2018,EPL,2.1	,8	,3	,2456	
1.9	,31(5),3	,Bournemouth,-	,79.6	,1	,7.08,2016/2017,EPL,1.1	,16	,2	,2721	
1.8	,24(7),1	,Bournemouth,-	,76.9	,1	,6.71,2015/2016,EPL,1	,6	,2	,1927	
1.5	,5(11),-	,Blackburn,-	,74.2	,1	,6.39,2014/2015,EC,0.9	,1	,-	,630	
1.6	,20(12),1	,Blackburn,-	,75.1	,-	,7.00,2013/2014,EC,1.5	,2	,4	,1909	
-	,2,-	,Norway U21,-	,52.6	,-	,6.22,2013,IEU,0.5	,-	,-	,122	
-	,0(1),-	,Manchester Un..,-	,100	,-	,5.85,2012/2013,UCL,-	,-	,-	,5	
-	,0(2),-	,Borussia M.Gl..,-	,55.6	,-	,6.14,2011/2012,GB,-	,-	,-	,24	
1.7,201,14,,0,74.3,9,6.86,Total / Average,,1.7,47,16,13865
0.9	,8(1),1	,Bournemouth,-	,64.4	,-	,7.00,2019/2020,EPL,3.2	,2	,2	,737	
2.1	,34(1),5	,Bournemouth,-	,72	,3	,6.96,2018/2019,EPL,2.5	,12	,3	,2974	
2	,4,-	,Norway,-	,70.1	,-	,6.43,2018/2019,UNL,2.8	,-	,-	,360	
1.5	,27(6),3	,Bournemouth,-	,72.9	,3	,6.88,2017/2018,EPL,2.1	,8	,3	,2456	
1.9	,31(5),3	,Bournemouth,-	,79.6	,1	,7.08,2016/2017,EPL,1.1	,16	,2	,2721	
1.8	,24(7),1	,Bournemouth,-	,76.9	,1	,6.71,2015/2016,EPL,1	,6	,2	,1927	
1.5	,5(11),-	,Blackburn,-	,74.2	,1	,6.39,2014/2015,EC,0.9	,1	,-	,630	
1.6	,20(12),1	,Blackburn,-	,75.1	,-	,7.00,2013/2014,EC,1.5	,2	,4	,1909	
-	,2,-	,Norway U21,-	,52.6	,-	,6.22,2013,IEU,0.5	,-	,-	,122	
-	,0(1),-	,Manchester Un..,-	,100	,-	,5.85,2012/2013,UCL,-	,-	,-	,5	
-	,0(2),-	,Borussia M.Gl..,-	,55.6	,-	,6.14,2011/2012,GB,-	,-	,-	,24	
1.7,201,14,,0,74.3,9,6.86,Total / Average,,1.7,47,16,13865
