ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,3(2),-	,Aston Villa,-	,79.1	,-	,6.47,2019/2020,EPL,0.2	,-	,1	,249	
1.6	,33(7),2	,Birmingham,-	,72.3	,4	,6.91,2018/2019,EC,0.5	,3	,11	,2875	
4	,4,-	,Brentford,-	,71	,-	,7.07,2017/2018,EC,0.3	,-	,3	,325	
2	,24(8),3	,Birmingham,-	,76.2	,1	,6.81,2017/2018,EC,0.2	,5	,2	,2184	
0.6	,3(2),-	,Eibar,-	,72.7	,-	,6.19,2016/2017,SLL,0.4	,-	,-	,204	
3.4	,19(2),2	,Brentford,-	,76.4	,3	,7.41,2016/2017,EC,0.1	,12	,5	,1709	
1	,8(5),-	,Eibar,-	,77.6	,1	,6.36,2015/2016,SLL,0.2	,-	,-	,693	
1.8	,1(4),-	,Brentford,-	,82.5	,1	,6.08,2015/2016,EC,-	,-	,-	,162	
2.3	,39(5),-	,Brentford,-	,79.3	,2	,6.89,2014/2015,EC,0.3	,11	,3	,2993	
2,169,7,,0,76.3,12,6.85,Total / Average,,0.3,31,25,11394
0.4	,3(2),-	,Aston Villa,-	,79.1	,-	,6.47,2019/2020,EPL,0.2	,-	,1	,249	
1.6	,33(7),2	,Birmingham,-	,72.3	,4	,6.91,2018/2019,EC,0.5	,3	,11	,2875	
4	,4,-	,Brentford,-	,71	,-	,7.07,2017/2018,EC,0.3	,-	,3	,325	
2	,24(8),3	,Birmingham,-	,76.2	,1	,6.81,2017/2018,EC,0.2	,5	,2	,2184	
0.6	,3(2),-	,Eibar,-	,72.7	,-	,6.19,2016/2017,SLL,0.4	,-	,-	,204	
3.4	,19(2),2	,Brentford,-	,76.4	,3	,7.41,2016/2017,EC,0.1	,12	,5	,1709	
1	,8(5),-	,Eibar,-	,77.6	,1	,6.36,2015/2016,SLL,0.2	,-	,-	,693	
1.8	,1(4),-	,Brentford,-	,82.5	,1	,6.08,2015/2016,EC,-	,-	,-	,162	
2.3	,39(5),-	,Brentford,-	,79.3	,2	,6.89,2014/2015,EC,0.3	,11	,3	,2993	
2,169,7,,0,76.3,12,6.85,Total / Average,,0.3,31,25,11394
