ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,4(3),-	,Manchester Un..,-	,83.5	,1	,6.17,2019/2020,EPL,-	,-	,-	,303	
-	,2(1),-	,Manchester Un..,-	,90.9	,-	,6.37,2019/2020,UEL,-	,-	,-	,195	
0.9	,16(6),-	,Manchester Un..,-	,86	,3	,6.70,2018/2019,EPL,0.1	,3	,2	,1295	
1.3	,2(4),-	,Manchester Un..,-	,90.2	,-	,6.38,2018/2019,UCL,-	,1	,-	,275	
0.5	,5(1),-	,Manchester Un..,-	,88.3	,-	,6.68,2017/2018,UCL,-	,-	,1	,411	
1	,23(5),1	,Manchester Un..,-	,86.7	,1	,6.87,2017/2018,EPL,0.1	,3	,5	,1933	
1.6	,19(6),1	,Manchester Un..,-	,89.7	,3	,6.98,2016/2017,EPL,0.2	,6	,3	,1628	
1	,9(1),-	,Manchester Un..,-	,85.4	,2	,6.93,2016/2017,UEL,-	,2	,1	,721	
1	,4,-	,Manchester Un..,-	,84.6	,-	,6.54,2015/2016,UEL,-	,-	,1	,337	
1.4	,4(1),-	,Manchester Un..,-	,89.9	,-	,6.88,2015/2016,UCL,-	,1	,2	,328	
1.5	,34(4),2	,Manchester Un..,1	,89.2	,4	,6.80,2015/2016,EPL,0.1	,6	,5	,2902	
1	,27(6),2	,Manchester Un..,-	,89.5	,2	,6.89,2014/2015,EPL,0.1	,9	,4	,2309	
1	,1(1),-	,Chelsea,-	,86.9	,-	,6.84,2013/2014,UCL,0.5	,-	,-	,104	
0.8	,11(2),-	,Chelsea,-	,88.1	,-	,6.89,2013/2014,EPL,0.2	,-	,2	,834	
1.9	,14(1),2	,Manchester Un..,-	,89	,-	,7.31,2013/2014,EPL,0.1	,6	,4	,1231	
2	,0(1),-	,Spain,-	,94.1	,-	,7.12,2014,WC,-	,1	,-	,33	
1.3	,2(2),-	,Spain,-	,88.5	,-	,7.17,2013,ICC,-	,2	,2	,173	
1.3	,5(3),2	,Chelsea,-	,84.1	,-	,7.25,2012/2013,UEL,-	,1	,5	,491	
1.8	,5(1),1	,Chelsea,-	,87.1	,-	,7.38,2012/2013,UCL,-	,3	,3	,443	
2	,31(4),5	,Chelsea,-	,85.2	,3	,7.28,2012/2013,EPL,0.1	,12	,12	,2749	
1	,0(1),-	,Spain,-	,87.5	,-	,6.95,2012,UEC,-	,1	,-	,3	
1.5	,11(1),-	,Chelsea,-	,85.9	,1	,7.07,2011/2012,UCL,-	,2	,3	,951	
1.9	,29(5),2	,Chelsea,-	,87	,2	,7.31,2011/2012,EPL,-	,6	,13	,2533	
2.1	,31(2),1	,Valencia,-	,86	,3	,7.19,2010/2011,SLL,0.1	,8	,12	,2592	
1.6	,5(2),2	,Valencia,-	,86.2	,1	,7.14,2010/2011,UCL,0.1	,1	,3	,480	
1.6	,30(5),3	,Valencia,-	,82.8	,1	,7.06,2009/2010,SLL,0.1	,9	,4	,2587	
1.5,393,24,,1,87,27,7.00,Total / Average,,0.1,83,87,27841
0.6	,4(3),-	,Manchester Un..,-	,83.5	,1	,6.17,2019/2020,EPL,-	,-	,-	,303	
-	,2(1),-	,Manchester Un..,-	,90.9	,-	,6.37,2019/2020,UEL,-	,-	,-	,195	
0.9	,16(6),-	,Manchester Un..,-	,86	,3	,6.70,2018/2019,EPL,0.1	,3	,2	,1295	
1.3	,2(4),-	,Manchester Un..,-	,90.2	,-	,6.38,2018/2019,UCL,-	,1	,-	,275	
0.5	,5(1),-	,Manchester Un..,-	,88.3	,-	,6.68,2017/2018,UCL,-	,-	,1	,411	
1	,23(5),1	,Manchester Un..,-	,86.7	,1	,6.87,2017/2018,EPL,0.1	,3	,5	,1933	
1.6	,19(6),1	,Manchester Un..,-	,89.7	,3	,6.98,2016/2017,EPL,0.2	,6	,3	,1628	
1	,9(1),-	,Manchester Un..,-	,85.4	,2	,6.93,2016/2017,UEL,-	,2	,1	,721	
1	,4,-	,Manchester Un..,-	,84.6	,-	,6.54,2015/2016,UEL,-	,-	,1	,337	
1.4	,4(1),-	,Manchester Un..,-	,89.9	,-	,6.88,2015/2016,UCL,-	,1	,2	,328	
1.5	,34(4),2	,Manchester Un..,1	,89.2	,4	,6.80,2015/2016,EPL,0.1	,6	,5	,2902	
1	,27(6),2	,Manchester Un..,-	,89.5	,2	,6.89,2014/2015,EPL,0.1	,9	,4	,2309	
1	,1(1),-	,Chelsea,-	,86.9	,-	,6.84,2013/2014,UCL,0.5	,-	,-	,104	
0.8	,11(2),-	,Chelsea,-	,88.1	,-	,6.89,2013/2014,EPL,0.2	,-	,2	,834	
1.9	,14(1),2	,Manchester Un..,-	,89	,-	,7.31,2013/2014,EPL,0.1	,6	,4	,1231	
2	,0(1),-	,Spain,-	,94.1	,-	,7.12,2014,WC,-	,1	,-	,33	
1.3	,2(2),-	,Spain,-	,88.5	,-	,7.17,2013,ICC,-	,2	,2	,173	
1.3	,5(3),2	,Chelsea,-	,84.1	,-	,7.25,2012/2013,UEL,-	,1	,5	,491	
1.8	,5(1),1	,Chelsea,-	,87.1	,-	,7.38,2012/2013,UCL,-	,3	,3	,443	
2	,31(4),5	,Chelsea,-	,85.2	,3	,7.28,2012/2013,EPL,0.1	,12	,12	,2749	
1	,0(1),-	,Spain,-	,87.5	,-	,6.95,2012,UEC,-	,1	,-	,3	
1.5	,11(1),-	,Chelsea,-	,85.9	,1	,7.07,2011/2012,UCL,-	,2	,3	,951	
1.9	,29(5),2	,Chelsea,-	,87	,2	,7.31,2011/2012,EPL,-	,6	,13	,2533	
2.1	,31(2),1	,Valencia,-	,86	,3	,7.19,2010/2011,SLL,0.1	,8	,12	,2592	
1.6	,5(2),2	,Valencia,-	,86.2	,1	,7.14,2010/2011,UCL,0.1	,1	,3	,480	
1.6	,30(5),3	,Valencia,-	,82.8	,1	,7.06,2009/2010,SLL,0.1	,9	,4	,2587	
1.5,393,24,,1,87,27,7.00,Total / Average,,0.1,83,87,27841
