ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,0(3),-	,Hoffenheim,-	,80	,-	,6.04,2019/2020,GB,0.7	,-	,-	,95	
1	,1(1),-	,Brighton,-	,52.6	,-	,6.27,2019/2020,EPL,1	,-	,-	,86	
1.1	,12(14),-	,Brighton,-	,72.8	,1	,6.27,2018/2019,EPL,0.9	,2	,-	,1230	
1	,3(3),-	,Brighton,-	,70.6	,-	,6.14,2017/2018,EPL,0.2	,1	,1	,224	
4.4	,15,2	,PSV Eindhoven,-	,77.2	,1	,7.51,2017/2018,NE,0.9	,9	,2	,1253	
2.5	,9(5),-	,PSV Eindhoven,-	,74.9	,2	,6.90,2016/2017,NE,0.6	,3	,2	,766	
1.3	,6(2),-	,PSV Eindhoven,-	,82.7	,2	,6.54,2015/2016,UCL,0.5	,1	,-	,539	
3.1	,23(6),5	,PSV Eindhoven,-	,83.2	,3	,7.22,2015/2016,NE,0.5	,8	,10	,1982	
0.5	,3(3),-	,PSV Eindhoven,-	,85.6	,-	,6.21,2014/2015,UEL,0.5	,-	,-	,295	
1	,5(18),1	,PSV Eindhoven,-	,84.2	,-	,6.57,2014/2015,NE,0.1	,6	,3	,698	
2.2	,5,-	,PSV Eindhoven,-	,78.8	,-	,6.71,2013/2014,UEL,1.2	,1	,1	,421	
2.2	,26(5),-	,PSV Eindhoven,-	,83.1	,2	,6.80,2013/2014,NE,0.8	,13	,5	,2306	
-	,0(2),-	,PSV Eindhoven,-	,100	,-	,5.97,2012/2013,UEL,-	,-	,-	,28	
2,170,8,,0,79.8,11,6.74,Total / Average,,0.6,44,24,9923
1.7	,0(3),-	,Hoffenheim,-	,80	,-	,6.04,2019/2020,GB,0.7	,-	,-	,95	
1	,1(1),-	,Brighton,-	,52.6	,-	,6.27,2019/2020,EPL,1	,-	,-	,86	
1.1	,12(14),-	,Brighton,-	,72.8	,1	,6.27,2018/2019,EPL,0.9	,2	,-	,1230	
1	,3(3),-	,Brighton,-	,70.6	,-	,6.14,2017/2018,EPL,0.2	,1	,1	,224	
4.4	,15,2	,PSV Eindhoven,-	,77.2	,1	,7.51,2017/2018,NE,0.9	,9	,2	,1253	
2.5	,9(5),-	,PSV Eindhoven,-	,74.9	,2	,6.90,2016/2017,NE,0.6	,3	,2	,766	
1.3	,6(2),-	,PSV Eindhoven,-	,82.7	,2	,6.54,2015/2016,UCL,0.5	,1	,-	,539	
3.1	,23(6),5	,PSV Eindhoven,-	,83.2	,3	,7.22,2015/2016,NE,0.5	,8	,10	,1982	
0.5	,3(3),-	,PSV Eindhoven,-	,85.6	,-	,6.21,2014/2015,UEL,0.5	,-	,-	,295	
1	,5(18),1	,PSV Eindhoven,-	,84.2	,-	,6.57,2014/2015,NE,0.1	,6	,3	,698	
2.2	,5,-	,PSV Eindhoven,-	,78.8	,-	,6.71,2013/2014,UEL,1.2	,1	,1	,421	
2.2	,26(5),-	,PSV Eindhoven,-	,83.1	,2	,6.80,2013/2014,NE,0.8	,13	,5	,2306	
-	,0(2),-	,PSV Eindhoven,-	,100	,-	,5.97,2012/2013,UEL,-	,-	,-	,28	
2,170,8,,0,79.8,11,6.74,Total / Average,,0.6,44,24,9923
