ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,0(5),-	,Aston Villa,-	,83.3	,-	,6.20,2019/2020,EPL,0.6	,-	,-	,55	
1.3	,0(6),-	,Aston Villa,-	,85.7	,1	,6.22,2018/2019,EC,0.3	,-	,-	,103	
1.4	,17(11),-	,Aston Villa,-	,81.5	,1	,6.67,2017/2018,EC,1.4	,2	,1	,1503	
0.3	,0(6),-	,Aston Villa,-	,55	,-	,6.11,2016/2017,EC,0.2	,-	,-	,60	
1.2,45,0,,0,78.7,2,6.48,Total / Average,,1,2,1,1721
0.4	,0(5),-	,Aston Villa,-	,83.3	,-	,6.20,2019/2020,EPL,0.6	,-	,-	,55	
1.3	,0(6),-	,Aston Villa,-	,85.7	,1	,6.22,2018/2019,EC,0.3	,-	,-	,103	
1.4	,17(11),-	,Aston Villa,-	,81.5	,1	,6.67,2017/2018,EC,1.4	,2	,1	,1503	
0.3	,0(6),-	,Aston Villa,-	,55	,-	,6.11,2016/2017,EC,0.2	,-	,-	,60	
1.2,45,0,,0,78.7,2,6.48,Total / Average,,1,2,1,1721
