ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,3(1),-	,Southampton,1	,73	,-	,6.05,2019/2020,EPL,1	,-	,1	,217	
0.6	,13(5),1	,Augsburg,-	,74.4	,3	,6.68,2018/2019,GB,2.7	,1	,1	,1249	
0.3	,3,-	,Austria U21,-	,84	,-	,6.84,2019,IEU,-	,1	,-	,270	
0.6	,13(3),-	,Augsburg,-	,72.3	,2	,6.63,2017/2018,GB,2	,2	,-	,1109	
0.4	,7,-	,Augsburg,-	,71.7	,-	,6.51,2016/2017,GB,2.9	,-	,-	,613	
0.5,48,1,,1,73.8,5,6.60,Total / Average,,2.2,4,2,3458
0.3	,3(1),-	,Southampton,1	,73	,-	,6.05,2019/2020,EPL,1	,-	,1	,217	
0.6	,13(5),1	,Augsburg,-	,74.4	,3	,6.68,2018/2019,GB,2.7	,1	,1	,1249	
0.3	,3,-	,Austria U21,-	,84	,-	,6.84,2019,IEU,-	,1	,-	,270	
0.6	,13(3),-	,Augsburg,-	,72.3	,2	,6.63,2017/2018,GB,2	,2	,-	,1109	
0.4	,7,-	,Augsburg,-	,71.7	,-	,6.51,2016/2017,GB,2.9	,-	,-	,613	
0.5,48,1,,1,73.8,5,6.60,Total / Average,,2.2,4,2,3458
