ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,8,-	,Manchester Ci..,-	,88	,2	,6.73,2019/2020,EPL,1	,-	,1	,640	
-	,1,-	,Manchester Ci..,-	,95.7	,-	,7.58,2019/2020,UCL,1	,-	,-	,81	
0.6	,30(3),-	,Manchester Ci..,-	,90.1	,3	,6.96,2018/2019,EPL,1.4	,1	,1	,2777	
0.4	,8(2),-	,Manchester Ci..,-	,90	,1	,6.50,2018/2019,UCL,0.9	,-	,-	,746	
0.2	,3(2),-	,England,-	,82	,-	,6.53,2018/2019,UNL,1.8	,-	,-	,364	
0.3	,7,-	,Manchester Ci..,-	,87.7	,1	,7.10,2017/2018,UCL,2.1	,-	,1	,630	
0.4	,32,-	,Manchester Ci..,1	,87.8	,2	,7.05,2017/2018,EPL,2.2	,-	,6	,2787	
0.3	,3,-	,Tottenham,-	,79.2	,-	,7.29,2016/2017,UCL,2.3	,-	,-	,270	
0.6	,31(2),2	,Tottenham,-	,79.8	,8	,7.20,2016/2017,EPL,1.8	,-	,5	,2704	
1.5	,2,-	,Tottenham,-	,69.2	,2	,6.89,2016/2017,UEL,2.5	,-	,-	,180	
-	,5,-	,England,-	,91	,2	,7.01,2018,WC,3.8	,-	,-	,495	
0.6	,33,1	,Tottenham,-	,78.4	,7	,7.19,2015/2016,EPL,1.6	,1	,3	,2943	
-	,2(1),-	,Tottenham,-	,82.2	,-	,6.63,2014/2015,UEL,-	,-	,-	,182	
0.4	,15,-	,Tottenham,-	,80	,3	,6.97,2014/2015,EPL,1.7	,-	,-	,1307	
0.3	,3,-	,England,-	,80.6	,-	,6.99,2016,UEC,1	,-	,-	,270	
-	,3,1	,Tottenham,-	,85.6	,-	,7.14,2013/2014,UEL,1.3	,-	,1	,256	
0.7	,26,1	,Tottenham,-	,82.2	,5	,7.06,2013/2014,EPL,1.9	,1	,2	,2298	
0.5	,11,-	,Tottenham,-	,83.9	,4	,7.30,2012/2013,UEL,0.7	,-	,-	,1051	
0.9	,36,-	,Tottenham,-	,83.4	,5	,7.16,2012/2013,EPL,1.4	,-	,4	,3161	
0.7	,37,1	,Tottenham,-	,83	,4	,7.13,2011/2012,EPL,0.9	,2	,1	,3231	
0.3	,15,1	,Aston Villa,-	,77	,3	,7.27,2010/2011,EPL,1.9	,1	,3	,1338	
-	,0(1),-	,Tottenham,-	,-	,-	,6.00,2010/2011,EPL,-	,-	,-	,3	
-	,2,-	,Tottenham,-	,72.2	,-	,6.92,2009/2010,EPL,1	,-	,-	,180	
0.6,324,7,,1,83.1,52,7.07,Total / Average,,1.6,6,28,27894
0.5	,8,-	,Manchester Ci..,-	,88	,2	,6.73,2019/2020,EPL,1	,-	,1	,640	
-	,1,-	,Manchester Ci..,-	,95.7	,-	,7.58,2019/2020,UCL,1	,-	,-	,81	
0.6	,30(3),-	,Manchester Ci..,-	,90.1	,3	,6.96,2018/2019,EPL,1.4	,1	,1	,2777	
0.4	,8(2),-	,Manchester Ci..,-	,90	,1	,6.50,2018/2019,UCL,0.9	,-	,-	,746	
0.2	,3(2),-	,England,-	,82	,-	,6.53,2018/2019,UNL,1.8	,-	,-	,364	
0.3	,7,-	,Manchester Ci..,-	,87.7	,1	,7.10,2017/2018,UCL,2.1	,-	,1	,630	
0.4	,32,-	,Manchester Ci..,1	,87.8	,2	,7.05,2017/2018,EPL,2.2	,-	,6	,2787	
0.3	,3,-	,Tottenham,-	,79.2	,-	,7.29,2016/2017,UCL,2.3	,-	,-	,270	
0.6	,31(2),2	,Tottenham,-	,79.8	,8	,7.20,2016/2017,EPL,1.8	,-	,5	,2704	
1.5	,2,-	,Tottenham,-	,69.2	,2	,6.89,2016/2017,UEL,2.5	,-	,-	,180	
-	,5,-	,England,-	,91	,2	,7.01,2018,WC,3.8	,-	,-	,495	
0.6	,33,1	,Tottenham,-	,78.4	,7	,7.19,2015/2016,EPL,1.6	,1	,3	,2943	
-	,2(1),-	,Tottenham,-	,82.2	,-	,6.63,2014/2015,UEL,-	,-	,-	,182	
0.4	,15,-	,Tottenham,-	,80	,3	,6.97,2014/2015,EPL,1.7	,-	,-	,1307	
0.3	,3,-	,England,-	,80.6	,-	,6.99,2016,UEC,1	,-	,-	,270	
-	,3,1	,Tottenham,-	,85.6	,-	,7.14,2013/2014,UEL,1.3	,-	,1	,256	
0.7	,26,1	,Tottenham,-	,82.2	,5	,7.06,2013/2014,EPL,1.9	,1	,2	,2298	
0.5	,11,-	,Tottenham,-	,83.9	,4	,7.30,2012/2013,UEL,0.7	,-	,-	,1051	
0.9	,36,-	,Tottenham,-	,83.4	,5	,7.16,2012/2013,EPL,1.4	,-	,4	,3161	
0.7	,37,1	,Tottenham,-	,83	,4	,7.13,2011/2012,EPL,0.9	,2	,1	,3231	
0.3	,15,1	,Aston Villa,-	,77	,3	,7.27,2010/2011,EPL,1.9	,1	,3	,1338	
-	,0(1),-	,Tottenham,-	,-	,-	,6.00,2010/2011,EPL,-	,-	,-	,3	
-	,2,-	,Tottenham,-	,72.2	,-	,6.92,2009/2010,EPL,1	,-	,-	,180	
0.6,324,7,,1,83.1,52,7.07,Total / Average,,1.6,6,28,27894
