ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,9,-	,Everton,-	,74.3	,1	,6.95,2019/2020,EPL,2.4	,-	,2	,793	
1	,33(2),4	,Everton,1	,76	,5	,7.36,2018/2019,EPL,2.6	,4	,4	,2966	
-	,1,-	,France,-	,78.4	,1	,6.23,2018/2019,UNL,2	,-	,-	,90	
0.2	,8(4),-	,Barcelona,-	,87.9	,2	,6.72,2017/2018,SLL,0.8	,-	,2	,702	
0.3	,3,-	,Barcelona,-	,89.1	,1	,7.51,2017/2018,UCL,2.3	,1	,-	,270	
0.3	,14(3),-	,Barcelona,-	,87.3	,3	,6.92,2016/2017,SLL,1.2	,-	,-	,1175	
0.3	,2(2),-	,Barcelona,-	,90.1	,-	,6.70,2016/2017,UCL,1	,-	,-	,284	
0.5	,32(1),1	,Roma,-	,81.3	,4	,7.13,2015/2016,ISA,2.3	,3	,3	,2859	
0.5	,8,-	,Roma,-	,76.5	,1	,6.85,2015/2016,UCL,2.4	,-	,2	,720	
-	,0(1),-	,Paris Saint-G..,-	,100	,-	,6.08,2014/2015,UCL,-	,-	,-	,4	
0.3	,14(1),1	,Paris Saint-G..,-	,88.2	,1	,6.94,2014/2015,FL1,2.2	,-	,1	,1270	
0.5	,2,-	,Paris Saint-G..,-	,79.5	,-	,7.10,2013/2014,UCL,1.5	,-	,1	,180	
0.7	,15,-	,Paris Saint-G..,-	,90.7	,3	,7.30,2013/2014,FL1,1.6	,-	,1	,1336	
-	,1,-	,France,-	,91.2	,-	,7.26,2014,WC,2	,-	,-	,90	
0.4	,4(1),1	,Lille,-	,78.7	,2	,7.00,2012/2013,UCL,2.4	,-	,1	,368	
0.7	,31(2),-	,Lille,1	,81.7	,3	,6.81,2012/2013,FL1,2.6	,2	,-	,2804	
0.1	,13(3),-	,Lille,-	,80.3	,1	,7.02,2011/2012,FL1,1.9	,-	,-	,1203	
0.6,210,7,,2,82.3,28,7.04,Total / Average,,2.1,10,17,17114
1.3	,9,-	,Everton,-	,74.3	,1	,6.95,2019/2020,EPL,2.4	,-	,2	,793	
1	,33(2),4	,Everton,1	,76	,5	,7.36,2018/2019,EPL,2.6	,4	,4	,2966	
-	,1,-	,France,-	,78.4	,1	,6.23,2018/2019,UNL,2	,-	,-	,90	
0.2	,8(4),-	,Barcelona,-	,87.9	,2	,6.72,2017/2018,SLL,0.8	,-	,2	,702	
0.3	,3,-	,Barcelona,-	,89.1	,1	,7.51,2017/2018,UCL,2.3	,1	,-	,270	
0.3	,14(3),-	,Barcelona,-	,87.3	,3	,6.92,2016/2017,SLL,1.2	,-	,-	,1175	
0.3	,2(2),-	,Barcelona,-	,90.1	,-	,6.70,2016/2017,UCL,1	,-	,-	,284	
0.5	,32(1),1	,Roma,-	,81.3	,4	,7.13,2015/2016,ISA,2.3	,3	,3	,2859	
0.5	,8,-	,Roma,-	,76.5	,1	,6.85,2015/2016,UCL,2.4	,-	,2	,720	
-	,0(1),-	,Paris Saint-G..,-	,100	,-	,6.08,2014/2015,UCL,-	,-	,-	,4	
0.3	,14(1),1	,Paris Saint-G..,-	,88.2	,1	,6.94,2014/2015,FL1,2.2	,-	,1	,1270	
0.5	,2,-	,Paris Saint-G..,-	,79.5	,-	,7.10,2013/2014,UCL,1.5	,-	,1	,180	
0.7	,15,-	,Paris Saint-G..,-	,90.7	,3	,7.30,2013/2014,FL1,1.6	,-	,1	,1336	
-	,1,-	,France,-	,91.2	,-	,7.26,2014,WC,2	,-	,-	,90	
0.4	,4(1),1	,Lille,-	,78.7	,2	,7.00,2012/2013,UCL,2.4	,-	,1	,368	
0.7	,31(2),-	,Lille,1	,81.7	,3	,6.81,2012/2013,FL1,2.6	,2	,-	,2804	
0.1	,13(3),-	,Lille,-	,80.3	,1	,7.02,2011/2012,FL1,1.9	,-	,-	,1203	
0.6,210,7,,2,82.3,28,7.04,Total / Average,,2.1,10,17,17114
