ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.9	,3(4),-	,Tottenham,-	,83	,-	,6.70,2019/2020,EPL,1.4	,1	,1	,303	
0.5	,1(1),-	,Tottenham,-	,87.1	,-	,6.59,2019/2020,UCL,0.5	,1	,-	,95	
1.4	,25(7),3	,Tottenham,-	,76.1	,3	,6.96,2018/2019,EPL,1.1	,10	,-	,2128	
2.2	,8(4),1	,Tottenham,-	,75.3	,-	,7.16,2018/2019,UCL,1.5	,5	,-	,725	
-	,0(1),-	,Tottenham,-	,80	,-	,6.06,2017/2018,UCL,1	,-	,-	,1	
0.6	,0(5),-	,Paris Saint-G..,-	,88.6	,1	,6.53,2017/2018,FL1,0.2	,1	,1	,72	
0.8	,2(4),-	,Tottenham,-	,77.9	,-	,6.48,2017/2018,EPL,0.7	,-	,1	,208	
2	,6(1),1	,Paris Saint-G..,-	,80.4	,-	,7.60,2016/2017,UCL,1.4	,1	,1	,512	
1.8	,29(8),4	,Paris Saint-G..,-	,82.7	,-	,7.41,2016/2017,FL1,0.5	,12	,5	,2435	
1	,3(6),1	,Paris Saint-G..,-	,85.8	,1	,7.28,2015/2016,UCL,0.7	,2	,1	,367	
1.8	,26(10),1	,Paris Saint-G..,-	,85.1	,3	,7.40,2015/2016,FL1,0.9	,9	,4	,2328	
1.5	,5(3),2	,Paris Saint-G..,-	,85.3	,-	,7.48,2014/2015,UCL,1.3	,-	,1	,507	
1.4	,22(7),6	,Paris Saint-G..,-	,86.6	,2	,7.47,2014/2015,FL1,0.9	,7	,5	,1901	
1.3	,5(5),-	,Paris Saint-G..,-	,90.4	,1	,6.88,2013/2014,UCL,0.7	,-	,1	,495	
1.7	,18(18),5	,Paris Saint-G..,-	,86.6	,2	,7.22,2013/2014,FL1,0.6	,5	,11	,1936	
-	,0(2),-	,Brazil,-	,100	,-	,6.03,2013,ICC,-	,-	,-	,28	
3	,4,2	,Paris Saint-G..,-	,73.6	,-	,7.60,2012/2013,UCL,2.8	,-	,1	,316	
2.4	,9(1),-	,Paris Saint-G..,-	,84.5	,1	,7.21,2012/2013,FL1,0.9	,-	,3	,741	
1.6,253,26,,0,83.4,14,7.21,Total / Average,,0.9,54,36,15098
1.9	,3(4),-	,Tottenham,-	,83	,-	,6.70,2019/2020,EPL,1.4	,1	,1	,303	
0.5	,1(1),-	,Tottenham,-	,87.1	,-	,6.59,2019/2020,UCL,0.5	,1	,-	,95	
1.4	,25(7),3	,Tottenham,-	,76.1	,3	,6.96,2018/2019,EPL,1.1	,10	,-	,2128	
2.2	,8(4),1	,Tottenham,-	,75.3	,-	,7.16,2018/2019,UCL,1.5	,5	,-	,725	
-	,0(1),-	,Tottenham,-	,80	,-	,6.06,2017/2018,UCL,1	,-	,-	,1	
0.6	,0(5),-	,Paris Saint-G..,-	,88.6	,1	,6.53,2017/2018,FL1,0.2	,1	,1	,72	
0.8	,2(4),-	,Tottenham,-	,77.9	,-	,6.48,2017/2018,EPL,0.7	,-	,1	,208	
2	,6(1),1	,Paris Saint-G..,-	,80.4	,-	,7.60,2016/2017,UCL,1.4	,1	,1	,512	
1.8	,29(8),4	,Paris Saint-G..,-	,82.7	,-	,7.41,2016/2017,FL1,0.5	,12	,5	,2435	
1	,3(6),1	,Paris Saint-G..,-	,85.8	,1	,7.28,2015/2016,UCL,0.7	,2	,1	,367	
1.8	,26(10),1	,Paris Saint-G..,-	,85.1	,3	,7.40,2015/2016,FL1,0.9	,9	,4	,2328	
1.5	,5(3),2	,Paris Saint-G..,-	,85.3	,-	,7.48,2014/2015,UCL,1.3	,-	,1	,507	
1.4	,22(7),6	,Paris Saint-G..,-	,86.6	,2	,7.47,2014/2015,FL1,0.9	,7	,5	,1901	
1.3	,5(5),-	,Paris Saint-G..,-	,90.4	,1	,6.88,2013/2014,UCL,0.7	,-	,1	,495	
1.7	,18(18),5	,Paris Saint-G..,-	,86.6	,2	,7.22,2013/2014,FL1,0.6	,5	,11	,1936	
-	,0(2),-	,Brazil,-	,100	,-	,6.03,2013,ICC,-	,-	,-	,28	
3	,4,2	,Paris Saint-G..,-	,73.6	,-	,7.60,2012/2013,UCL,2.8	,-	,1	,316	
2.4	,9(1),-	,Paris Saint-G..,-	,84.5	,1	,7.21,2012/2013,FL1,0.9	,-	,3	,741	
1.6,253,26,,0,83.4,14,7.21,Total / Average,,0.9,54,36,15098
