ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,2(5),-	,Arsenal,-	,80.9	,-	,6.52,2019/2020,EPL,-	,1	,-	,202	
2	,3,-	,Arsenal,-	,88.9	,-	,7.13,2019/2020,UEL,2	,-	,-	,270	
0.3	,1(2),-	,Uruguay,-	,87.8	,-	,6.84,2019,ICA,1	,-	,-	,169	
0.7	,24(10),-	,Arsenal,1	,87.4	,7	,6.72,2018/2019,EPL,0.6	,2	,2	,2381	
0.5	,6(6),-	,Arsenal,-	,87.9	,-	,6.59,2018/2019,UEL,0.3	,-	,1	,620	
0.9	,36,3	,Sampdoria,-	,87.2	,6	,7.17,2017/2018,ISA,0.6	,4	,1	,3185	
0.5	,35,1	,Sampdoria,-	,86.6	,7	,6.98,2016/2017,ISA,0.4	,-	,-	,3049	
0.4	,3(2),-	,Uruguay,-	,85.1	,-	,6.86,2018,WC,1.2	,-	,-	,304	
0.7,135,4,,1,86.8,20,6.90,Total / Average,,0.6,7,4,10180
1	,2(5),-	,Arsenal,-	,80.9	,-	,6.52,2019/2020,EPL,-	,1	,-	,202	
2	,3,-	,Arsenal,-	,88.9	,-	,7.13,2019/2020,UEL,2	,-	,-	,270	
0.3	,1(2),-	,Uruguay,-	,87.8	,-	,6.84,2019,ICA,1	,-	,-	,169	
0.7	,24(10),-	,Arsenal,1	,87.4	,7	,6.72,2018/2019,EPL,0.6	,2	,2	,2381	
0.5	,6(6),-	,Arsenal,-	,87.9	,-	,6.59,2018/2019,UEL,0.3	,-	,1	,620	
0.9	,36,3	,Sampdoria,-	,87.2	,6	,7.17,2017/2018,ISA,0.6	,4	,1	,3185	
0.5	,35,1	,Sampdoria,-	,86.6	,7	,6.98,2016/2017,ISA,0.4	,-	,-	,3049	
0.4	,3(2),-	,Uruguay,-	,85.1	,-	,6.86,2018,WC,1.2	,-	,-	,304	
0.7,135,4,,1,86.8,20,6.90,Total / Average,,0.6,7,4,10180
