ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,2(3),-	,Sheffield Uni..,-	,78.3	,1	,6.53,2019/2020,EPL,0.6	,-	,-	,254	
2	,43,1	,Queens Park R..,-	,75.4	,3	,7.02,2018/2019,EC,0.6	,7	,6	,3778	
2.4	,43(2),4	,Queens Park R..,-	,76.1	,9	,7.31,2017/2018,EC,0.7	,5	,12	,3849	
1.6	,14(4),-	,Bristol City,-	,80.4	,3	,6.93,2016/2017,EC,0.4	,2	,-	,1205	
1.8	,12(4),2	,Queens Park R..,1	,76.3	,3	,7.25,2016/2017,EC,0.6	,2	,4	,1162	
1.7	,36(5),1	,Bristol City,1	,78	,4	,6.80,2015/2016,EC,0.4	,1	,6	,3117	
1.9,168,8,,2,76.9,23,7.04,Total / Average,,0.6,17,28,13365
0.4	,2(3),-	,Sheffield Uni..,-	,78.3	,1	,6.53,2019/2020,EPL,0.6	,-	,-	,254	
2	,43,1	,Queens Park R..,-	,75.4	,3	,7.02,2018/2019,EC,0.6	,7	,6	,3778	
2.4	,43(2),4	,Queens Park R..,-	,76.1	,9	,7.31,2017/2018,EC,0.7	,5	,12	,3849	
1.6	,14(4),-	,Bristol City,-	,80.4	,3	,6.93,2016/2017,EC,0.4	,2	,-	,1205	
1.8	,12(4),2	,Queens Park R..,1	,76.3	,3	,7.25,2016/2017,EC,0.6	,2	,4	,1162	
1.7	,36(5),1	,Bristol City,1	,78	,4	,6.80,2015/2016,EC,0.4	,1	,6	,3117	
1.9,168,8,,2,76.9,23,7.04,Total / Average,,0.6,17,28,13365
