ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.4	,7(1),1	,West Ham,-	,86.6	,-	,7.03,2019/2020,EPL,0.1	,-	,1	,629	
1.1	,8(2),-	,West Ham,-	,89.6	,2	,6.72,2018/2019,EPL,0.3	,1	,1	,689	
1.6	,23(4),2	,West Ham,-	,87.6	,4	,7.04,2017/2018,EPL,0.1	,5	,6	,2049	
2	,31(4),3	,West Ham,-	,87.3	,9	,7.11,2016/2017,EPL,0.1	,8	,2	,2716	
1.8	,23(3),3	,West Ham,-	,88.9	,3	,7.21,2015/2016,EPL,0.2	,6	,2	,1921	
1.7,106,9,,0,87.9,18,7.07,Total / Average,,0.1,20,12,8004
1.4	,7(1),1	,West Ham,-	,86.6	,-	,7.03,2019/2020,EPL,0.1	,-	,1	,629	
1.1	,8(2),-	,West Ham,-	,89.6	,2	,6.72,2018/2019,EPL,0.3	,1	,1	,689	
1.6	,23(4),2	,West Ham,-	,87.6	,4	,7.04,2017/2018,EPL,0.1	,5	,6	,2049	
2	,31(4),3	,West Ham,-	,87.3	,9	,7.11,2016/2017,EPL,0.1	,8	,2	,2716	
1.8	,23(3),3	,West Ham,-	,88.9	,3	,7.21,2015/2016,EPL,0.2	,6	,2	,1921	
1.7,106,9,,0,87.9,18,7.07,Total / Average,,0.1,20,12,8004
