ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,4(2),-	,Chelsea,-	,82.5	,3	,7.24,2019/2020,EPL,3	,1	,2	,437	
3	,3,-	,Chelsea,-	,80	,-	,7.24,2019/2020,UCL,5.7	,-	,-	,270	
1.5	,31,2	,Chelsea,-	,85	,6	,7.18,2018/2019,EPL,2.1	,2	,4	,2761	
1.8	,4,-	,Chelsea,-	,88.3	,-	,7.93,2018/2019,UEL,1.3	,2	,1	,336	
1.5	,2,-	,Spain,-	,91.8	,-	,6.68,2018/2019,UNL,1.5	,-	,-	,177	
1.6	,7,-	,Chelsea,-	,80	,2	,6.97,2017/2018,UCL,1.9	,-	,1	,598	
2	,33,3	,Chelsea,-	,79.4	,6	,7.13,2017/2018,EPL,1.8	,7	,2	,2860	
-	,2,1	,Fiorentina,-	,81.1	,-	,7.66,2016/2017,ISA,3.5	,-	,-	,180	
1.5	,30(1),1	,Chelsea,-	,77.8	,2	,7.41,2016/2017,EPL,2.4	,6	,3	,2694	
1.8	,26(5),3	,Fiorentina,-	,83.4	,8	,7.07,2015/2016,ISA,1.6	,3	,4	,2346	
1.1	,6(1),-	,Fiorentina,-	,84.4	,1	,7.01,2015/2016,UEL,3.3	,-	,-	,558	
1.3	,19(3),1	,Fiorentina,-	,80.3	,4	,7.15,2014/2015,ISA,2.6	,1	,3	,1684	
1.1	,7(3),1	,Fiorentina,-	,75.2	,3	,7.29,2014/2015,UEL,3.8	,1	,-	,723	
1.7	,1(2),-	,Fiorentina,-	,79.7	,-	,6.91,2013/2014,ISA,3.7	,-	,-	,158	
1.6	,5,1	,Fiorentina,-	,79.8	,1	,7.75,2013/2014,UEL,2.4	,-	,-	,450	
1.6	,16,1	,Sunderland,1	,71.9	,4	,7.34,2013/2014,EPL,1.8	,-	,1	,1440	
1	,4(1),-	,Bolton,-	,70.5	,-	,6.98,2011/2012,EPL,1.2	,1	,-	,332	
0.5	,4,-	,Bolton,-	,58.6	,3	,7.31,2010/2011,EPL,2.3	,-	,-	,360	
-	,0(1),-	,Real Madrid,-	,100	,-	,6.00,2009/2010,SLL,-	,-	,-	,1	
1.5,223,14,,1,80,43,7.21,Total / Average,,2.2,24,21,18365
0.8	,4(2),-	,Chelsea,-	,82.5	,3	,7.24,2019/2020,EPL,3	,1	,2	,437	
3	,3,-	,Chelsea,-	,80	,-	,7.24,2019/2020,UCL,5.7	,-	,-	,270	
1.5	,31,2	,Chelsea,-	,85	,6	,7.18,2018/2019,EPL,2.1	,2	,4	,2761	
1.8	,4,-	,Chelsea,-	,88.3	,-	,7.93,2018/2019,UEL,1.3	,2	,1	,336	
1.5	,2,-	,Spain,-	,91.8	,-	,6.68,2018/2019,UNL,1.5	,-	,-	,177	
1.6	,7,-	,Chelsea,-	,80	,2	,6.97,2017/2018,UCL,1.9	,-	,1	,598	
2	,33,3	,Chelsea,-	,79.4	,6	,7.13,2017/2018,EPL,1.8	,7	,2	,2860	
-	,2,1	,Fiorentina,-	,81.1	,-	,7.66,2016/2017,ISA,3.5	,-	,-	,180	
1.5	,30(1),1	,Chelsea,-	,77.8	,2	,7.41,2016/2017,EPL,2.4	,6	,3	,2694	
1.8	,26(5),3	,Fiorentina,-	,83.4	,8	,7.07,2015/2016,ISA,1.6	,3	,4	,2346	
1.1	,6(1),-	,Fiorentina,-	,84.4	,1	,7.01,2015/2016,UEL,3.3	,-	,-	,558	
1.3	,19(3),1	,Fiorentina,-	,80.3	,4	,7.15,2014/2015,ISA,2.6	,1	,3	,1684	
1.1	,7(3),1	,Fiorentina,-	,75.2	,3	,7.29,2014/2015,UEL,3.8	,1	,-	,723	
1.7	,1(2),-	,Fiorentina,-	,79.7	,-	,6.91,2013/2014,ISA,3.7	,-	,-	,158	
1.6	,5,1	,Fiorentina,-	,79.8	,1	,7.75,2013/2014,UEL,2.4	,-	,-	,450	
1.6	,16,1	,Sunderland,1	,71.9	,4	,7.34,2013/2014,EPL,1.8	,-	,1	,1440	
1	,4(1),-	,Bolton,-	,70.5	,-	,6.98,2011/2012,EPL,1.2	,1	,-	,332	
0.5	,4,-	,Bolton,-	,58.6	,3	,7.31,2010/2011,EPL,2.3	,-	,-	,360	
-	,0(1),-	,Real Madrid,-	,100	,-	,6.00,2009/2010,SLL,-	,-	,-	,1	
1.5,223,14,,1,80,43,7.21,Total / Average,,2.2,24,21,18365
