ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,0(2),-	,Norwich,-	,84.6	,-	,6.02,2019/2020,EPL,0.5	,-	,-	,15	
1.2	,14(22),3	,Norwich,-	,78.6	,5	,6.91,2018/2019,EC,1	,10	,7	,1484	
1.3	,29(6),1	,Norwich,-	,76.6	,6	,6.81,2017/2018,EC,1.8	,1	,2	,2609	
1.3	,18(5),-	,Darmstadt,1	,69.5	,1	,6.94,2016/2017,GB,1.3	,4	,2	,1542	
0.6	,12(10),-	,Darmstadt,-	,68.8	,2	,6.49,2015/2016,GB,0.8	,2	,1	,1030	
0.7	,23(7),2	,Paderborn,-	,74.7	,5	,7.15,2014/2015,GB,1.5	,2	,1	,2121	
1.1,148,6,,1,74.5,19,6.86,Total / Average,,1.3,19,13,8801
0.5	,0(2),-	,Norwich,-	,84.6	,-	,6.02,2019/2020,EPL,0.5	,-	,-	,15	
1.2	,14(22),3	,Norwich,-	,78.6	,5	,6.91,2018/2019,EC,1	,10	,7	,1484	
1.3	,29(6),1	,Norwich,-	,76.6	,6	,6.81,2017/2018,EC,1.8	,1	,2	,2609	
1.3	,18(5),-	,Darmstadt,1	,69.5	,1	,6.94,2016/2017,GB,1.3	,4	,2	,1542	
0.6	,12(10),-	,Darmstadt,-	,68.8	,2	,6.49,2015/2016,GB,0.8	,2	,1	,1030	
0.7	,23(7),2	,Paderborn,-	,74.7	,5	,7.15,2014/2015,GB,1.5	,2	,1	,2121	
1.1,148,6,,1,74.5,19,6.86,Total / Average,,1.3,19,13,8801
