ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,6,-	,Crystal Palac..,-	,81.3	,-	,6.82,2019/2020,EPL,2.2	,-	,1	,529	
0.2	,12(1),-	,Crystal Palac..,-	,75.4	,2	,6.63,2018/2019,EPL,2.7	,-	,-	,1111	
0.3	,12(3),-	,Crystal Palac..,-	,74.1	,1	,6.43,2017/2018,EPL,1.8	,-	,-	,1196	
0.1	,25(4),-	,Crystal Palac..,-	,69.6	,4	,6.49,2016/2017,EPL,1.9	,-	,2	,2131	
0.1	,11(2),-	,Crystal Palac..,-	,70.7	,3	,6.56,2015/2016,EPL,0.8	,-	,-	,1043	
0.3	,27(4),1	,Crystal Palac..,-	,68.1	,2	,6.89,2014/2015,EPL,1.5	,-	,1	,2499	
-	,0(5),-	,Liverpool,-	,80.4	,-	,6.23,2013/2014,EPL,0.2	,-	,-	,107	
0.5	,4,-	,Liverpool,-	,85.7	,-	,6.47,2012/2013,EPL,2	,-	,-	,336	
0.7	,12,-	,Liverpool,-	,79.5	,1	,6.89,2011/2012,EPL,0.7	,-	,-	,964	
0.2	,10(1),-	,Liverpool,-	,68.2	,1	,7.04,2010/2011,EPL,1.4	,-	,1	,859	
1	,1,-	,Liverpool,-	,81.5	,-	,7.61,2009/2010,UCL,1	,-	,-	,75	
1	,0(1),-	,Liverpool,-	,91.7	,-	,6.56,2009/2010,EPL,-	,-	,-	,19	
0.3,141,1,,0,72.7,14,6.68,Total / Average,,1.6,0,5,10869
-	,6,-	,Crystal Palac..,-	,81.3	,-	,6.82,2019/2020,EPL,2.2	,-	,1	,529	
0.2	,12(1),-	,Crystal Palac..,-	,75.4	,2	,6.63,2018/2019,EPL,2.7	,-	,-	,1111	
0.3	,12(3),-	,Crystal Palac..,-	,74.1	,1	,6.43,2017/2018,EPL,1.8	,-	,-	,1196	
0.1	,25(4),-	,Crystal Palac..,-	,69.6	,4	,6.49,2016/2017,EPL,1.9	,-	,2	,2131	
0.1	,11(2),-	,Crystal Palac..,-	,70.7	,3	,6.56,2015/2016,EPL,0.8	,-	,-	,1043	
0.3	,27(4),1	,Crystal Palac..,-	,68.1	,2	,6.89,2014/2015,EPL,1.5	,-	,1	,2499	
-	,0(5),-	,Liverpool,-	,80.4	,-	,6.23,2013/2014,EPL,0.2	,-	,-	,107	
0.5	,4,-	,Liverpool,-	,85.7	,-	,6.47,2012/2013,EPL,2	,-	,-	,336	
0.7	,12,-	,Liverpool,-	,79.5	,1	,6.89,2011/2012,EPL,0.7	,-	,-	,964	
0.2	,10(1),-	,Liverpool,-	,68.2	,1	,7.04,2010/2011,EPL,1.4	,-	,1	,859	
1	,1,-	,Liverpool,-	,81.5	,-	,7.61,2009/2010,UCL,1	,-	,-	,75	
1	,0(1),-	,Liverpool,-	,91.7	,-	,6.56,2009/2010,EPL,-	,-	,-	,19	
0.3,141,1,,0,72.7,14,6.68,Total / Average,,1.6,0,5,10869
