ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,5(4),-	,Chelsea,-	,87.6	,1	,6.69,2019/2020,EPL,-	,-	,1	,521	
-	,2(1),-	,Chelsea,-	,91.3	,-	,6.61,2019/2020,UCL,0.3	,-	,-	,173	
0.9	,21(11),-	,Chelsea,-	,92	,3	,6.65,2018/2019,EPL,0.3	,-	,2	,1745	
0.3	,10(2),-	,Chelsea,-	,91.8	,1	,7.12,2018/2019,UEL,0.3	,-	,-	,914	
-	,2,-	,Croatia,-	,92	,1	,5.52,2018/2019,UNL,0.5	,-	,-	,163	
0.4	,10(11),2	,Real Madrid,-	,93.7	,2	,6.73,2017/2018,SLL,-	,-	,1	,989	
0.1	,4(3),-	,Real Madrid,-	,90.7	,2	,6.47,2017/2018,UCL,0.1	,-	,1	,258	
0.5	,19(8),1	,Real Madrid,-	,91.3	,2	,7.12,2016/2017,SLL,0.1	,1	,3	,1689	
0.5	,2(4),-	,Real Madrid,-	,95.5	,1	,6.80,2016/2017,UCL,-	,1	,-	,219	
0.8	,1(4),-	,Croatia,-	,94.3	,-	,6.73,2018,WC,0.6	,-	,1	,183	
0.4	,8(17),-	,Real Madrid,1	,90.5	,4	,6.50,2015/2016,SLL,0.1	,-	,2	,1030	
0.6	,3(5),-	,Real Madrid,-	,92.5	,1	,6.87,2015/2016,UCL,0.1	,1	,-	,340	
1.2	,26(9),1	,Inter,1	,87.5	,3	,7.15,2014/2015,ISA,0.3	,5	,3	,2463	
0.7	,3(3),-	,Inter,-	,87.9	,-	,6.39,2014/2015,UEL,-	,-	,-	,253	
0.5	,0(2),-	,Croatia,-	,82.4	,-	,6.26,2016,UEC,-	,-	,-	,36	
0.6	,14(18),2	,Inter,-	,89.8	,2	,6.95,2013/2014,ISA,0.1	,-	,4	,1608	
0.3	,1(2),-	,Croatia,-	,90.3	,-	,6.19,2014,WC,-	,-	,-	,111	
0.5	,11(2),1	,Inter,-	,90.3	,2	,7.27,2012/2013,ISA,-	,-	,1	,1026	
0.8	,4,1	,Inter,-	,92.1	,1	,7.39,2012/2013,UEL,-	,-	,1	,315	
0.2	,5(1),-	,Dinamo Zagreb,-	,88.2	,-	,6.59,2012/2013,UCL,-	,-	,-	,456	
0.3	,5(1),-	,Dinamo Zagreb,-	,89.8	,-	,6.39,2011/2012,UCL,0.2	,1	,-	,413	
0.6,264,8,,2,90.6,26,6.83,Total / Average,,0.2,9,20,14905
0.3	,5(4),-	,Chelsea,-	,87.6	,1	,6.69,2019/2020,EPL,-	,-	,1	,521	
-	,2(1),-	,Chelsea,-	,91.3	,-	,6.61,2019/2020,UCL,0.3	,-	,-	,173	
0.9	,21(11),-	,Chelsea,-	,92	,3	,6.65,2018/2019,EPL,0.3	,-	,2	,1745	
0.3	,10(2),-	,Chelsea,-	,91.8	,1	,7.12,2018/2019,UEL,0.3	,-	,-	,914	
-	,2,-	,Croatia,-	,92	,1	,5.52,2018/2019,UNL,0.5	,-	,-	,163	
0.4	,10(11),2	,Real Madrid,-	,93.7	,2	,6.73,2017/2018,SLL,-	,-	,1	,989	
0.1	,4(3),-	,Real Madrid,-	,90.7	,2	,6.47,2017/2018,UCL,0.1	,-	,1	,258	
0.5	,19(8),1	,Real Madrid,-	,91.3	,2	,7.12,2016/2017,SLL,0.1	,1	,3	,1689	
0.5	,2(4),-	,Real Madrid,-	,95.5	,1	,6.80,2016/2017,UCL,-	,1	,-	,219	
0.8	,1(4),-	,Croatia,-	,94.3	,-	,6.73,2018,WC,0.6	,-	,1	,183	
0.4	,8(17),-	,Real Madrid,1	,90.5	,4	,6.50,2015/2016,SLL,0.1	,-	,2	,1030	
0.6	,3(5),-	,Real Madrid,-	,92.5	,1	,6.87,2015/2016,UCL,0.1	,1	,-	,340	
1.2	,26(9),1	,Inter,1	,87.5	,3	,7.15,2014/2015,ISA,0.3	,5	,3	,2463	
0.7	,3(3),-	,Inter,-	,87.9	,-	,6.39,2014/2015,UEL,-	,-	,-	,253	
0.5	,0(2),-	,Croatia,-	,82.4	,-	,6.26,2016,UEC,-	,-	,-	,36	
0.6	,14(18),2	,Inter,-	,89.8	,2	,6.95,2013/2014,ISA,0.1	,-	,4	,1608	
0.3	,1(2),-	,Croatia,-	,90.3	,-	,6.19,2014,WC,-	,-	,-	,111	
0.5	,11(2),1	,Inter,-	,90.3	,2	,7.27,2012/2013,ISA,-	,-	,1	,1026	
0.8	,4,1	,Inter,-	,92.1	,1	,7.39,2012/2013,UEL,-	,-	,1	,315	
0.2	,5(1),-	,Dinamo Zagreb,-	,88.2	,-	,6.59,2012/2013,UCL,-	,-	,-	,456	
0.3	,5(1),-	,Dinamo Zagreb,-	,89.8	,-	,6.39,2011/2012,UCL,0.2	,1	,-	,413	
0.6,264,8,,2,90.6,26,6.83,Total / Average,,0.2,9,20,14905
