ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,9,-	,Arsenal,-	,88.1	,2	,7.14,2019/2020,EPL,0.8	,-	,1	,783	
-	,0(2),-	,Arsenal,-	,80.6	,-	,6.61,2019/2020,UEL,-	,-	,-	,61	
0.5	,23(10),-	,Arsenal,-	,87.7	,9	,6.55,2018/2019,EPL,0.5	,-	,-	,2144	
0.8	,7(4),-	,Arsenal,-	,90.3	,1	,6.71,2018/2019,UEL,-	,1	,-	,662	
0.3	,2(1),-	,France U21,-	,90.4	,-	,6.32,2019,IEU,0.3	,-	,-	,197	
0.8	,4(4),-	,Lorient,-	,91.6	,2	,6.42,2016/2017,FL1,0.1	,-	,-	,417	
0.6,66,0,,0,88.6,14,6.63,Total / Average,,0.4,1,1,4264
0.7	,9,-	,Arsenal,-	,88.1	,2	,7.14,2019/2020,EPL,0.8	,-	,1	,783	
-	,0(2),-	,Arsenal,-	,80.6	,-	,6.61,2019/2020,UEL,-	,-	,-	,61	
0.5	,23(10),-	,Arsenal,-	,87.7	,9	,6.55,2018/2019,EPL,0.5	,-	,-	,2144	
0.8	,7(4),-	,Arsenal,-	,90.3	,1	,6.71,2018/2019,UEL,-	,1	,-	,662	
0.3	,2(1),-	,France U21,-	,90.4	,-	,6.32,2019,IEU,0.3	,-	,-	,197	
0.8	,4(4),-	,Lorient,-	,91.6	,2	,6.42,2016/2017,FL1,0.1	,-	,-	,417	
0.6,66,0,,0,88.6,14,6.63,Total / Average,,0.4,1,1,4264
