ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,2(1),-	,Crystal Palac..,-	,65.9	,1	,6.31,2019/2020,EPL,0.7	,-	,-	,156	
1.3	,15(14),-	,Crystal Palac..,-	,83.9	,3	,6.49,2018/2019,EPL,0.1	,1	,2	,1415	
0.3	,21(3),-	,Schalke 04,-	,89.1	,6	,6.77,2017/2018,GB,0.6	,-	,-	,1733	
1.1	,18(9),-	,Schalke 04,-	,85	,4	,6.54,2016/2017,GB,0.3	,1	,1	,1669	
1.8	,7(2),-	,Schalke 04,-	,85.2	,-	,7.00,2016/2017,UEL,-	,1	,1	,648	
1.4	,27(5),1	,Schalke 04,-	,85.2	,4	,6.80,2015/2016,GB,0.3	,5	,6	,2324	
1.6	,3(4),-	,Schalke 04,-	,86.8	,-	,7.02,2015/2016,UEL,0.1	,1	,2	,325	
2.8	,3(1),-	,Germany U21,-	,85.2	,-	,6.51,2015,IEU,-	,-	,-	,293	
1.1	,22(6),1	,Schalke 04,-	,82.4	,-	,6.70,2014/2015,GB,0.3	,5	,1	,1855	
0.9	,3(5),-	,Schalke 04,-	,85.1	,-	,6.30,2014/2015,UCL,0.1	,1	,-	,336	
1	,6(1),-	,Schalke 04,-	,87.1	,-	,6.26,2013/2014,UCL,-	,-	,-	,528	
1.1	,21(9),-	,Schalke 04,-	,84.5	,3	,7.09,2013/2014,GB,0.3	,6	,3	,1837	
0.2	,0(5),-	,Schalke 04,-	,84.8	,-	,6.18,2012/2013,GB,-	,-	,1	,79	
-	,0(1),-	,Schalke 04,-	,80	,-	,5.94,2012/2013,UCL,-	,-	,-	,5	
1.1,214,2,,0,84.8,21,6.70,Total / Average,,0.3,21,17,13203
1	,2(1),-	,Crystal Palac..,-	,65.9	,1	,6.31,2019/2020,EPL,0.7	,-	,-	,156	
1.3	,15(14),-	,Crystal Palac..,-	,83.9	,3	,6.49,2018/2019,EPL,0.1	,1	,2	,1415	
0.3	,21(3),-	,Schalke 04,-	,89.1	,6	,6.77,2017/2018,GB,0.6	,-	,-	,1733	
1.1	,18(9),-	,Schalke 04,-	,85	,4	,6.54,2016/2017,GB,0.3	,1	,1	,1669	
1.8	,7(2),-	,Schalke 04,-	,85.2	,-	,7.00,2016/2017,UEL,-	,1	,1	,648	
1.4	,27(5),1	,Schalke 04,-	,85.2	,4	,6.80,2015/2016,GB,0.3	,5	,6	,2324	
1.6	,3(4),-	,Schalke 04,-	,86.8	,-	,7.02,2015/2016,UEL,0.1	,1	,2	,325	
2.8	,3(1),-	,Germany U21,-	,85.2	,-	,6.51,2015,IEU,-	,-	,-	,293	
1.1	,22(6),1	,Schalke 04,-	,82.4	,-	,6.70,2014/2015,GB,0.3	,5	,1	,1855	
0.9	,3(5),-	,Schalke 04,-	,85.1	,-	,6.30,2014/2015,UCL,0.1	,1	,-	,336	
1	,6(1),-	,Schalke 04,-	,87.1	,-	,6.26,2013/2014,UCL,-	,-	,-	,528	
1.1	,21(9),-	,Schalke 04,-	,84.5	,3	,7.09,2013/2014,GB,0.3	,6	,3	,1837	
0.2	,0(5),-	,Schalke 04,-	,84.8	,-	,6.18,2012/2013,GB,-	,-	,1	,79	
-	,0(1),-	,Schalke 04,-	,80	,-	,5.94,2012/2013,UCL,-	,-	,-	,5	
1.1,214,2,,0,84.8,21,6.70,Total / Average,,0.3,21,17,13203
