ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(3),-	,Southampton,-	,55.6	,-	,5.95,2019/2020,EPL,-	,-	,-	,48	
1.2	,1(5),-	,Southampton,-	,66.7	,1	,6.41,2018/2019,EPL,-	,1	,1	,136	
-	,0(1),-	,Ireland,-	,50	,-	,5.91,2018/2019,UNL,-	,-	,-	,10	
1	,0(1),-	,Southampton,-	,100	,-	,5.82,2017/2018,EPL,-	,-	,-	,8	
0.7,11,0,,0,65.2,1,6.18,Total / Average,,0,1,1,202
-	,0(3),-	,Southampton,-	,55.6	,-	,5.95,2019/2020,EPL,-	,-	,-	,48	
1.2	,1(5),-	,Southampton,-	,66.7	,1	,6.41,2018/2019,EPL,-	,1	,1	,136	
-	,0(1),-	,Ireland,-	,50	,-	,5.91,2018/2019,UNL,-	,-	,-	,10	
1	,0(1),-	,Southampton,-	,100	,-	,5.82,2017/2018,EPL,-	,-	,-	,8	
0.7,11,0,,0,65.2,1,6.18,Total / Average,,0,1,1,202
