ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,6,-	,Everton,1	,88.4	,2	,6.07,2019/2020,EPL,1	,-	,-	,476	
0.2	,10(4),1	,Everton,-	,88.6	,2	,6.71,2018/2019,EPL,1.4	,-	,1	,835	
0.4	,5,-	,Everton,1	,87.6	,-	,6.85,2017/2018,UEL,1.4	,-	,-	,383	
0.2	,24(6),-	,Everton,1	,83.9	,5	,6.57,2017/2018,EPL,1.2	,-	,-	,2129	
0.6	,12(2),-	,Everton,-	,89.9	,2	,7.02,2016/2017,EPL,1.3	,1	,-	,1059	
-	,0(3),-	,Manchester Un..,-	,86.7	,-	,6.04,2016/2017,EPL,-	,-	,-	,11	
-	,2,-	,Manchester Un..,-	,94	,1	,6.47,2016/2017,UEL,0.5	,-	,-	,136	
1.3	,2(1),-	,Manchester Un..,-	,87.2	,-	,7.22,2015/2016,UEL,0.7	,-	,-	,187	
0.7	,3,-	,Manchester Un..,-	,87.1	,1	,6.76,2015/2016,UCL,0.3	,-	,-	,270	
0.4	,25(4),-	,Manchester Un..,-	,89.5	,3	,6.92,2015/2016,EPL,0.7	,1	,-	,2205	
1.2	,24(2),3	,Southampton,1	,89.3	,5	,7.51,2014/2015,EPL,1.8	,4	,1	,2188	
0.9	,31(2),2	,Southampton,-	,89.3	,8	,7.21,2013/2014,EPL,1.5	,2	,1	,2767	
1	,1,-	,France,-	,92.9	,-	,7.22,2014,WC,-	,-	,-	,90	
0.8	,36,4	,Southampton,-	,85.1	,9	,7.28,2012/2013,EPL,1.6	,5	,-	,3210	
0.6,205,10,,4,87.7,38,7.01,Total / Average,,1.3,13,3,15946
0.3	,6,-	,Everton,1	,88.4	,2	,6.07,2019/2020,EPL,1	,-	,-	,476	
0.2	,10(4),1	,Everton,-	,88.6	,2	,6.71,2018/2019,EPL,1.4	,-	,1	,835	
0.4	,5,-	,Everton,1	,87.6	,-	,6.85,2017/2018,UEL,1.4	,-	,-	,383	
0.2	,24(6),-	,Everton,1	,83.9	,5	,6.57,2017/2018,EPL,1.2	,-	,-	,2129	
0.6	,12(2),-	,Everton,-	,89.9	,2	,7.02,2016/2017,EPL,1.3	,1	,-	,1059	
-	,0(3),-	,Manchester Un..,-	,86.7	,-	,6.04,2016/2017,EPL,-	,-	,-	,11	
-	,2,-	,Manchester Un..,-	,94	,1	,6.47,2016/2017,UEL,0.5	,-	,-	,136	
1.3	,2(1),-	,Manchester Un..,-	,87.2	,-	,7.22,2015/2016,UEL,0.7	,-	,-	,187	
0.7	,3,-	,Manchester Un..,-	,87.1	,1	,6.76,2015/2016,UCL,0.3	,-	,-	,270	
0.4	,25(4),-	,Manchester Un..,-	,89.5	,3	,6.92,2015/2016,EPL,0.7	,1	,-	,2205	
1.2	,24(2),3	,Southampton,1	,89.3	,5	,7.51,2014/2015,EPL,1.8	,4	,1	,2188	
0.9	,31(2),2	,Southampton,-	,89.3	,8	,7.21,2013/2014,EPL,1.5	,2	,1	,2767	
1	,1,-	,France,-	,92.9	,-	,7.22,2014,WC,-	,-	,-	,90	
0.8	,36,4	,Southampton,-	,85.1	,9	,7.28,2012/2013,EPL,1.6	,5	,-	,3210	
0.6,205,10,,4,87.7,38,7.01,Total / Average,,1.3,13,3,15946
