ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,6(2),-	,Norwich,-	,87.7	,1	,6.58,2019/2020,EPL,0.6	,-	,-	,640	
0.6	,19(10),1	,Norwich,-	,85.7	,5	,6.77,2018/2019,EC,0.3	,2	,1	,1712	
0.4	,10(2),-	,Norwich,-	,85.9	,1	,6.72,2017/2018,EC,0.7	,-	,-	,864	
-	,0(2),-	,Lazio,-	,91.3	,-	,6.14,2016/2017,ISA,-	,-	,-	,13	
0.8	,2(4),-	,Augsburg,-	,67.2	,-	,6.15,2016/2017,GB,0.3	,-	,-	,235	
0.7	,2(7),-	,Borussia Dort..,-	,85.9	,-	,6.50,2015/2016,GB,0.1	,-	,1	,320	
0.3	,0(3),-	,Borussia Dort..,-	,92.9	,-	,6.35,2015/2016,UEL,-	,-	,-	,42	
2	,1,-	,Germany U21,-	,82.9	,1	,6.13,2015,IEU,-	,-	,-	,46	
1.1	,13(6),-	,VfB Stuttgart,-	,79.3	,5	,6.58,2014/2015,GB,0.6	,1	,1	,1099	
0.8	,17(4),1	,VfB Stuttgart,1	,77.2	,4	,6.83,2013/2014,GB,0.7	,1	,2	,1488	
0.5	,8(17),-	,Borussia Dort..,-	,83.3	,1	,6.48,2012/2013,GB,0.2	,-	,2	,1005	
0.3	,1(3),-	,Borussia Dort..,-	,84.4	,-	,6.33,2012/2013,UCL,-	,-	,-	,102	
0.4	,2(15),-	,Borussia Dort..,-	,83.6	,-	,6.56,2011/2012,GB,0.2	,-	,-	,492	
0.7	,1(2),-	,Borussia Dort..,-	,79.4	,-	,6.62,2011/2012,UCL,0.3	,-	,-	,185	
0.7,159,2,,1,82.7,18,6.60,Total / Average,,0.4,4,7,8243
1	,6(2),-	,Norwich,-	,87.7	,1	,6.58,2019/2020,EPL,0.6	,-	,-	,640	
0.6	,19(10),1	,Norwich,-	,85.7	,5	,6.77,2018/2019,EC,0.3	,2	,1	,1712	
0.4	,10(2),-	,Norwich,-	,85.9	,1	,6.72,2017/2018,EC,0.7	,-	,-	,864	
-	,0(2),-	,Lazio,-	,91.3	,-	,6.14,2016/2017,ISA,-	,-	,-	,13	
0.8	,2(4),-	,Augsburg,-	,67.2	,-	,6.15,2016/2017,GB,0.3	,-	,-	,235	
0.7	,2(7),-	,Borussia Dort..,-	,85.9	,-	,6.50,2015/2016,GB,0.1	,-	,1	,320	
0.3	,0(3),-	,Borussia Dort..,-	,92.9	,-	,6.35,2015/2016,UEL,-	,-	,-	,42	
2	,1,-	,Germany U21,-	,82.9	,1	,6.13,2015,IEU,-	,-	,-	,46	
1.1	,13(6),-	,VfB Stuttgart,-	,79.3	,5	,6.58,2014/2015,GB,0.6	,1	,1	,1099	
0.8	,17(4),1	,VfB Stuttgart,1	,77.2	,4	,6.83,2013/2014,GB,0.7	,1	,2	,1488	
0.5	,8(17),-	,Borussia Dort..,-	,83.3	,1	,6.48,2012/2013,GB,0.2	,-	,2	,1005	
0.3	,1(3),-	,Borussia Dort..,-	,84.4	,-	,6.33,2012/2013,UCL,-	,-	,-	,102	
0.4	,2(15),-	,Borussia Dort..,-	,83.6	,-	,6.56,2011/2012,GB,0.2	,-	,-	,492	
0.7	,1(2),-	,Borussia Dort..,-	,79.4	,-	,6.62,2011/2012,UCL,0.3	,-	,-	,185	
0.7,159,2,,1,82.7,18,6.60,Total / Average,,0.4,4,7,8243
