ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,9,-	,Tottenham,-	,90.5	,2	,6.57,2019/2020,EPL,0.9	,-	,1	,787	
0.3	,2(1),-	,Tottenham,-	,89.1	,-	,6.87,2019/2020,UCL,-	,-	,1	,208	
0.5	,27(2),-	,Tottenham,-	,86.7	,2	,6.75,2018/2019,EPL,0.8	,-	,3	,2337	
0.4	,8(2),-	,Tottenham,-	,87.2	,2	,6.69,2018/2019,UCL,0.2	,-	,1	,730	
-	,0(1),-	,France,-	,90	,-	,5.48,2018/2019,UNL,-	,-	,-	,25	
0.7	,3(3),-	,Tottenham,-	,88.4	,-	,6.92,2017/2018,UCL,0.5	,-	,1	,341	
0.6	,15(18),-	,Tottenham,-	,83.5	,3	,6.46,2017/2018,EPL,0.5	,1	,1	,1396	
0.3	,1(3),-	,Tottenham,-	,69.6	,-	,6.41,2016/2017,UCL,1	,-	,-	,134	
0.7	,8(17),-	,Tottenham,-	,81.9	,3	,6.46,2016/2017,EPL,0.5	,-	,2	,903	
-	,1,-	,Tottenham,-	,86.2	,-	,6.19,2016/2017,UEL,-	,-	,-	,71	
1	,37,4	,Newcastle Uni..,-	,76	,3	,7.04,2015/2016,EPL,1.5	,1	,7	,3223	
1.3	,34,-	,Newcastle Uni..,2	,79.1	,7	,6.92,2014/2015,EPL,1.4	,4	,2	,3032	
1.3	,4(2),-	,France,-	,88.7	,-	,7.14,2016,UEC,0.3	,-	,-	,382	
1.3	,35,1	,Newcastle Uni..,-	,81.2	,8	,7.09,2013/2014,EPL,0.9	,3	,6	,3036	
0.8	,2(2),-	,France,-	,79.8	,-	,6.62,2014,WC,0.3	,1	,-	,214	
1	,6,-	,Newcastle Uni..,-	,81.9	,1	,6.79,2012/2013,UEL,0.8	,-	,1	,540	
2	,12,1	,Newcastle Uni..,-	,78.6	,2	,7.03,2012/2013,EPL,2.3	,3	,2	,1070	
1	,18(1),1	,Toulouse,-	,80.5	,2	,6.69,2012/2013,FL1,0.8	,1	,1	,1554	
1.7	,33(2),2	,Toulouse,1	,77.1	,6	,6.74,2011/2012,FL1,1.2	,2	,3	,2917	
1.3	,32(4),1	,Toulouse,-	,76.6	,5	,6.81,2010/2011,FL1,1.6	,5	,1	,2958	
1.4	,35(2),3	,Toulouse,-	,77.8	,4	,7.08,2009/2010,FL1,1.9	,7	,3	,3190	
1.1,382,13,,3,80.5,50,6.82,Total / Average,,1.1,28,36,29048
0.8	,9,-	,Tottenham,-	,90.5	,2	,6.57,2019/2020,EPL,0.9	,-	,1	,787	
0.3	,2(1),-	,Tottenham,-	,89.1	,-	,6.87,2019/2020,UCL,-	,-	,1	,208	
0.5	,27(2),-	,Tottenham,-	,86.7	,2	,6.75,2018/2019,EPL,0.8	,-	,3	,2337	
0.4	,8(2),-	,Tottenham,-	,87.2	,2	,6.69,2018/2019,UCL,0.2	,-	,1	,730	
-	,0(1),-	,France,-	,90	,-	,5.48,2018/2019,UNL,-	,-	,-	,25	
0.7	,3(3),-	,Tottenham,-	,88.4	,-	,6.92,2017/2018,UCL,0.5	,-	,1	,341	
0.6	,15(18),-	,Tottenham,-	,83.5	,3	,6.46,2017/2018,EPL,0.5	,1	,1	,1396	
0.3	,1(3),-	,Tottenham,-	,69.6	,-	,6.41,2016/2017,UCL,1	,-	,-	,134	
0.7	,8(17),-	,Tottenham,-	,81.9	,3	,6.46,2016/2017,EPL,0.5	,-	,2	,903	
-	,1,-	,Tottenham,-	,86.2	,-	,6.19,2016/2017,UEL,-	,-	,-	,71	
1	,37,4	,Newcastle Uni..,-	,76	,3	,7.04,2015/2016,EPL,1.5	,1	,7	,3223	
1.3	,34,-	,Newcastle Uni..,2	,79.1	,7	,6.92,2014/2015,EPL,1.4	,4	,2	,3032	
1.3	,4(2),-	,France,-	,88.7	,-	,7.14,2016,UEC,0.3	,-	,-	,382	
1.3	,35,1	,Newcastle Uni..,-	,81.2	,8	,7.09,2013/2014,EPL,0.9	,3	,6	,3036	
0.8	,2(2),-	,France,-	,79.8	,-	,6.62,2014,WC,0.3	,1	,-	,214	
1	,6,-	,Newcastle Uni..,-	,81.9	,1	,6.79,2012/2013,UEL,0.8	,-	,1	,540	
2	,12,1	,Newcastle Uni..,-	,78.6	,2	,7.03,2012/2013,EPL,2.3	,3	,2	,1070	
1	,18(1),1	,Toulouse,-	,80.5	,2	,6.69,2012/2013,FL1,0.8	,1	,1	,1554	
1.7	,33(2),2	,Toulouse,1	,77.1	,6	,6.74,2011/2012,FL1,1.2	,2	,3	,2917	
1.3	,32(4),1	,Toulouse,-	,76.6	,5	,6.81,2010/2011,FL1,1.6	,5	,1	,2958	
1.4	,35(2),3	,Toulouse,-	,77.8	,4	,7.08,2009/2010,FL1,1.9	,7	,3	,3190	
1.1,382,13,,3,80.5,50,6.82,Total / Average,,1.1,28,36,29048
