ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.6	,7,1	,Southampton,-	,74.1	,-	,6.72,2019/2020,EPL,0.7	,1	,-	,619	
1.9	,36(2),3	,Southampton,-	,75.4	,3	,6.91,2018/2019,EPL,0.7	,6	,4	,3278	
1.4	,22(9),2	,Southampton,-	,76.7	,3	,6.64,2017/2018,EPL,0.1	,1	,3	,1947	
2.2	,32(5),3	,Southampton,1	,82.7	,2	,6.97,2016/2017,EPL,0.4	,7	,1	,2909	
2	,4(1),1	,Southampton,-	,80.4	,-	,7.09,2016/2017,UEL,1	,-	,-	,375	
1.5	,24(11),3	,Norwich,-	,77.5	,-	,6.75,2015/2016,EPL,0.2	,6	,3	,2339	
2.3	,3,1	,England U21,-	,89.8	,-	,7.43,2015,IEU,0.3	,1	,-	,270	
1.9	,36(10),7	,Norwich,-	,79.7	,1	,7.29,2014/2015,EC,0.2	,6	,12	,3244	
1.9	,23(11),2	,Norwich,-	,77.9	,2	,6.84,2013/2014,EPL,-	,1	,3	,2159	
2	,2(1),-	,England U21,-	,83.6	,-	,6.55,2013,IEU,-	,-	,-	,176	
1.9,239,23,,1,78.5,11,6.92,Total / Average,,0.3,29,26,17316
2.6	,7,1	,Southampton,-	,74.1	,-	,6.72,2019/2020,EPL,0.7	,1	,-	,619	
1.9	,36(2),3	,Southampton,-	,75.4	,3	,6.91,2018/2019,EPL,0.7	,6	,4	,3278	
1.4	,22(9),2	,Southampton,-	,76.7	,3	,6.64,2017/2018,EPL,0.1	,1	,3	,1947	
2.2	,32(5),3	,Southampton,1	,82.7	,2	,6.97,2016/2017,EPL,0.4	,7	,1	,2909	
2	,4(1),1	,Southampton,-	,80.4	,-	,7.09,2016/2017,UEL,1	,-	,-	,375	
1.5	,24(11),3	,Norwich,-	,77.5	,-	,6.75,2015/2016,EPL,0.2	,6	,3	,2339	
2.3	,3,1	,England U21,-	,89.8	,-	,7.43,2015,IEU,0.3	,1	,-	,270	
1.9	,36(10),7	,Norwich,-	,79.7	,1	,7.29,2014/2015,EC,0.2	,6	,12	,3244	
1.9	,23(11),2	,Norwich,-	,77.9	,2	,6.84,2013/2014,EPL,-	,1	,3	,2159	
2	,2(1),-	,England U21,-	,83.6	,-	,6.55,2013,IEU,-	,-	,-	,176	
1.9,239,23,,1,78.5,11,6.92,Total / Average,,0.3,29,26,17316
