ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.9	,7(2),-	,Brighton,-	,86.7	,1	,6.73,2019/2020,EPL,0.8	,3	,-	,605	
3.3	,43,4	,Brentford,-	,77.1	,9	,7.15,2018/2019,EC,0.6	,25	,8	,3719	
2.2	,25(17),2	,Brentford,-	,80.5	,9	,6.62,2017/2018,EC,0.4	,12	,4	,2321	
2.5	,1(1),-	,Saint-Etienne,-	,85.7	,1	,6.44,2015/2016,UEL,1	,-	,-	,109	
0.9	,5(10),-	,Saint-Etienne,-	,76.6	,3	,6.22,2015/2016,FL1,0.1	,1	,2	,519	
0.3	,3(10),-	,Nice,1	,72.6	,1	,6.02,2014/2015,FL1,0.1	,1	,-	,353	
0.7	,7(9),-	,Nice,-	,79.5	,1	,6.20,2013/2014,FL1,0.2	,2	,1	,681	
0.7	,3(12),-	,Nice,-	,70.9	,1	,6.30,2012/2013,FL1,0.1	,3	,-	,447	
2,155,6,,1,77.9,26,6.61,Total / Average,,0.4,47,15,8754
2.9	,7(2),-	,Brighton,-	,86.7	,1	,6.73,2019/2020,EPL,0.8	,3	,-	,605	
3.3	,43,4	,Brentford,-	,77.1	,9	,7.15,2018/2019,EC,0.6	,25	,8	,3719	
2.2	,25(17),2	,Brentford,-	,80.5	,9	,6.62,2017/2018,EC,0.4	,12	,4	,2321	
2.5	,1(1),-	,Saint-Etienne,-	,85.7	,1	,6.44,2015/2016,UEL,1	,-	,-	,109	
0.9	,5(10),-	,Saint-Etienne,-	,76.6	,3	,6.22,2015/2016,FL1,0.1	,1	,2	,519	
0.3	,3(10),-	,Nice,1	,72.6	,1	,6.02,2014/2015,FL1,0.1	,1	,-	,353	
0.7	,7(9),-	,Nice,-	,79.5	,1	,6.20,2013/2014,FL1,0.2	,2	,1	,681	
0.7	,3(12),-	,Nice,-	,70.9	,1	,6.30,2012/2013,FL1,0.1	,3	,-	,447	
2,155,6,,1,77.9,26,6.61,Total / Average,,0.4,47,15,8754
