ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,6(1),-	,Aston Villa,-	,80.7	,1	,6.43,2019/2020,EPL,0.7	,-	,-	,568	
0.2	,31(3),-	,Aston Villa,-	,80.5	,5	,6.64,2018/2019,EC,1	,-	,3	,2775	
0.3	,27(2),-	,Aston Villa,1	,78.4	,3	,6.67,2017/2018,EC,1	,-	,-	,2335	
0.1	,14,-	,Aston Villa,-	,67.6	,2	,6.84,2016/2017,EC,1.1	,-	,1	,1244	
0.4	,11,-	,Swansea,-	,73.1	,1	,6.45,2016/2017,EPL,0.6	,-	,-	,922	
0.3	,33(1),-	,Swansea,-	,78.2	,4	,6.57,2015/2016,EPL,0.8	,-	,1	,2947	
0.1	,34,-	,Swansea,-	,83.6	,9	,6.95,2014/2015,EPL,0.8	,-	,2	,3000	
0.8	,6,-	,Wales,-	,77.1	,1	,6.91,2016,UEC,0.3	,1	,-	,540	
0.5	,3(1),-	,Swansea,-	,89	,1	,6.50,2013/2014,UEL,0.5	,-	,-	,290	
0.3	,6(4),-	,Swansea,-	,85.2	,1	,6.60,2013/2014,EPL,0.5	,-	,1	,590	
0.5	,4(2),-	,Swansea,-	,87.8	,-	,6.65,2012/2013,EPL,0.2	,-	,-	,278	
0.2	,35(1),-	,Swansea,-	,85	,4	,6.75,2011/2012,EPL,0.5	,-	,1	,3088	
0.2,225,0,,1,80.4,32,6.70,Total / Average,,0.8,1,9,18577
0.3	,6(1),-	,Aston Villa,-	,80.7	,1	,6.43,2019/2020,EPL,0.7	,-	,-	,568	
0.2	,31(3),-	,Aston Villa,-	,80.5	,5	,6.64,2018/2019,EC,1	,-	,3	,2775	
0.3	,27(2),-	,Aston Villa,1	,78.4	,3	,6.67,2017/2018,EC,1	,-	,-	,2335	
0.1	,14,-	,Aston Villa,-	,67.6	,2	,6.84,2016/2017,EC,1.1	,-	,1	,1244	
0.4	,11,-	,Swansea,-	,73.1	,1	,6.45,2016/2017,EPL,0.6	,-	,-	,922	
0.3	,33(1),-	,Swansea,-	,78.2	,4	,6.57,2015/2016,EPL,0.8	,-	,1	,2947	
0.1	,34,-	,Swansea,-	,83.6	,9	,6.95,2014/2015,EPL,0.8	,-	,2	,3000	
0.8	,6,-	,Wales,-	,77.1	,1	,6.91,2016,UEC,0.3	,1	,-	,540	
0.5	,3(1),-	,Swansea,-	,89	,1	,6.50,2013/2014,UEL,0.5	,-	,-	,290	
0.3	,6(4),-	,Swansea,-	,85.2	,1	,6.60,2013/2014,EPL,0.5	,-	,1	,590	
0.5	,4(2),-	,Swansea,-	,87.8	,-	,6.65,2012/2013,EPL,0.2	,-	,-	,278	
0.2	,35(1),-	,Swansea,-	,85	,4	,6.75,2011/2012,EPL,0.5	,-	,1	,3088	
0.2,225,0,,1,80.4,32,6.70,Total / Average,,0.8,1,9,18577
