ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Burnley,-	,37.6	,-	,6.77,2019/2020,EPL,0.6	,-	,-	,810	
-	,34(1),-	,Burnley,-	,39	,3	,6.93,2017/2018,EPL,0.3	,-	,-	,3114	
-	,24,-	,Charlton,-	,42.1	,-	,6.82,2015/2016,EC,0.8	,-	,-	,2160	
-	,7(1),1	,Charlton,-	,35.3	,-	,6.86,2014/2015,EC,0.8	,-	,-	,653	
0,76,1,,0,39.4,3,6.87,Total / Average,,0.6,0,0,6737
-	,9,-	,Burnley,-	,37.6	,-	,6.77,2019/2020,EPL,0.6	,-	,-	,810	
-	,34(1),-	,Burnley,-	,39	,3	,6.93,2017/2018,EPL,0.3	,-	,-	,3114	
-	,24,-	,Charlton,-	,42.1	,-	,6.82,2015/2016,EC,0.8	,-	,-	,2160	
-	,7(1),1	,Charlton,-	,35.3	,-	,6.86,2014/2015,EC,0.8	,-	,-	,653	
0,76,1,,0,39.4,3,6.87,Total / Average,,0.6,0,0,6737
