ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,0(2),-	,Norwich,-	,44.4	,-	,6.13,2019/2020,EPL,-	,-	,-	,29	
2.2	,34(6),2	,Norwich,-	,76.4	,3	,7.04,2018/2019,EC,0.6	,8	,9	,3145	
1.4	,13(4),-	,Eintracht Bra..,-	,70.1	,1	,6.76,2017/2018,GB2,0.2	,1	,2	,1225	
0.3	,5(7),-	,Norwich,-	,77.5	,1	,6.41,2017/2018,EC,0.2	,-	,1	,488	
1.2	,28(6),-	,Eintracht Bra..,-	,73.7	,3	,6.96,2016/2017,GB2,0.3	,5	,4	,2575	
1.5,105,2,,0,74,8,6.88,Total / Average,,0.4,14,16,7462
0.5	,0(2),-	,Norwich,-	,44.4	,-	,6.13,2019/2020,EPL,-	,-	,-	,29	
2.2	,34(6),2	,Norwich,-	,76.4	,3	,7.04,2018/2019,EC,0.6	,8	,9	,3145	
1.4	,13(4),-	,Eintracht Bra..,-	,70.1	,1	,6.76,2017/2018,GB2,0.2	,1	,2	,1225	
0.3	,5(7),-	,Norwich,-	,77.5	,1	,6.41,2017/2018,EC,0.2	,-	,1	,488	
1.2	,28(6),-	,Eintracht Bra..,-	,73.7	,3	,6.96,2016/2017,GB2,0.3	,5	,4	,2575	
1.5,105,2,,0,74,8,6.88,Total / Average,,0.4,14,16,7462
