ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,9,-	,Southampton,-	,81	,2	,6.72,2019/2020,EPL,1.1	,-	,-	,776	
0.3	,25(6),1	,Southampton,-	,79.3	,11	,6.76,2018/2019,EPL,1.5	,1	,-	,2142	
0.8	,34,1	,Southampton,-	,82.6	,11	,6.92,2017/2018,EPL,2.9	,1	,-	,2903	
0.8	,35,1	,Southampton,-	,84.2	,11	,7.15,2016/2017,EPL,2.1	,1	,-	,3072	
1.3	,5(1),-	,Southampton,-	,86.8	,1	,6.74,2016/2017,UEL,2.8	,-	,-	,478	
1	,17(12),-	,Southampton,-	,85	,7	,6.80,2015/2016,EPL,0.9	,1	,-	,1609	
0.4	,20(7),-	,VfB Stuttgart,-	,83	,6	,6.72,2014/2015,GB,2.1	,-	,-	,1824	
0.2	,11(2),-	,Valencia,-	,88.6	,3	,6.68,2013/2014,SLL,1.9	,-	,-	,998	
-	,4(1),-	,Valencia,-	,91.8	,1	,6.97,2013/2014,UEL,3	,-	,-	,285	
2	,1,-	,Chelsea,-	,91.6	,-	,6.93,2012/2013,UCL,1	,-	,-	,90	
1	,4(2),-	,Chelsea,-	,89.3	,1	,6.49,2012/2013,EPL,1	,-	,-	,237	
0.7	,3,-	,Chelsea,-	,94.7	,1	,7.79,2011/2012,UCL,0.3	,-	,-	,257	
0.4	,11(5),-	,Chelsea,-	,89.5	,2	,6.72,2011/2012,EPL,0.5	,-	,-	,951	
-	,0(1),-	,Barcelona,-	,100	,-	,6.23,2010/2011,SLL,-	,-	,-	,8	
0.6,216,3,,0,84.4,57,6.85,Total / Average,,1.8,4,0,15630
0.4	,9,-	,Southampton,-	,81	,2	,6.72,2019/2020,EPL,1.1	,-	,-	,776	
0.3	,25(6),1	,Southampton,-	,79.3	,11	,6.76,2018/2019,EPL,1.5	,1	,-	,2142	
0.8	,34,1	,Southampton,-	,82.6	,11	,6.92,2017/2018,EPL,2.9	,1	,-	,2903	
0.8	,35,1	,Southampton,-	,84.2	,11	,7.15,2016/2017,EPL,2.1	,1	,-	,3072	
1.3	,5(1),-	,Southampton,-	,86.8	,1	,6.74,2016/2017,UEL,2.8	,-	,-	,478	
1	,17(12),-	,Southampton,-	,85	,7	,6.80,2015/2016,EPL,0.9	,1	,-	,1609	
0.4	,20(7),-	,VfB Stuttgart,-	,83	,6	,6.72,2014/2015,GB,2.1	,-	,-	,1824	
0.2	,11(2),-	,Valencia,-	,88.6	,3	,6.68,2013/2014,SLL,1.9	,-	,-	,998	
-	,4(1),-	,Valencia,-	,91.8	,1	,6.97,2013/2014,UEL,3	,-	,-	,285	
2	,1,-	,Chelsea,-	,91.6	,-	,6.93,2012/2013,UCL,1	,-	,-	,90	
1	,4(2),-	,Chelsea,-	,89.3	,1	,6.49,2012/2013,EPL,1	,-	,-	,237	
0.7	,3,-	,Chelsea,-	,94.7	,1	,7.79,2011/2012,UCL,0.3	,-	,-	,257	
0.4	,11(5),-	,Chelsea,-	,89.5	,2	,6.72,2011/2012,EPL,0.5	,-	,-	,951	
-	,0(1),-	,Barcelona,-	,100	,-	,6.23,2010/2011,SLL,-	,-	,-	,8	
0.6,216,3,,0,84.4,57,6.85,Total / Average,,1.8,4,0,15630
