ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(3),-	,West Ham,-	,78.9	,-	,6.16,2019/2020,EPL,-	,-	,-	,37	
0.3	,23(3),-	,West Ham,-	,76.7	,4	,6.74,2018/2019,EPL,1.8	,-	,1	,2092	
0.2	,37,-	,West Ham,-	,73.2	,9	,6.74,2017/2018,EPL,1.6	,-	,1	,3291	
0.3	,5(1),-	,Manchester Ci..,-	,81.3	,1	,6.78,2016/2017,UCL,1.3	,-	,-	,445	
0.4	,11(9),1	,Manchester Ci..,-	,82.9	,2	,6.74,2016/2017,EPL,1.2	,1	,1	,1060	
-	,2(1),-	,Manchester Ci..,-	,77.3	,-	,6.50,2015/2016,UCL,-	,-	,-	,151	
0.2	,12(1),-	,Manchester Ci..,-	,85	,3	,6.97,2015/2016,EPL,1.4	,-	,1	,1062	
0.4	,5,-	,Argentina,-	,80	,1	,7.16,2015,ICA,1.6	,-	,1	,510	
0.7	,5(1),-	,Manchester Ci..,-	,80.7	,2	,6.92,2014/2015,UCL,1.3	,1	,-	,472	
0.4	,29,1	,Manchester Ci..,1	,85.3	,6	,7.23,2014/2015,EPL,1.8	,1	,4	,2586	
0.3	,5(1),-	,Manchester Ci..,1	,87.1	,2	,6.87,2013/2014,UCL,0.2	,-	,-	,512	
0.6	,34(1),2	,Manchester Ci..,-	,84.7	,11	,7.25,2013/2014,EPL,1.3	,1	,6	,3079	
0.1	,7,-	,Argentina,-	,82.2	,-	,7.06,2014,WC,0.7	,-	,-	,721	
0.8	,3(2),-	,Manchester Ci..,-	,80.6	,1	,6.81,2012/2013,UCL,2.4	,-	,-	,307	
0.7	,29(1),2	,Manchester Ci..,-	,85.1	,7	,7.18,2012/2013,EPL,1.5	,2	,2	,2652	
0.3	,4,-	,Manchester Ci..,-	,92.2	,1	,7.00,2011/2012,UCL,0.3	,-	,-	,356	
0.9	,18(3),2	,Manchester Ci..,-	,87.4	,5	,7.29,2011/2012,EPL,1	,1	,-	,1549	
0.7	,21(5),2	,Manchester Ci..,1	,79.3	,8	,7.27,2010/2011,EPL,1.7	,2	,2	,1946	
0.4	,23(4),1	,Manchester Ci..,1	,75.7	,8	,7.13,2009/2010,EPL,1.2	,-	,1	,2102	
0.5,309,11,,4,81.3,71,7.03,Total / Average,,1.4,9,20,24930
-	,0(3),-	,West Ham,-	,78.9	,-	,6.16,2019/2020,EPL,-	,-	,-	,37	
0.3	,23(3),-	,West Ham,-	,76.7	,4	,6.74,2018/2019,EPL,1.8	,-	,1	,2092	
0.2	,37,-	,West Ham,-	,73.2	,9	,6.74,2017/2018,EPL,1.6	,-	,1	,3291	
0.3	,5(1),-	,Manchester Ci..,-	,81.3	,1	,6.78,2016/2017,UCL,1.3	,-	,-	,445	
0.4	,11(9),1	,Manchester Ci..,-	,82.9	,2	,6.74,2016/2017,EPL,1.2	,1	,1	,1060	
-	,2(1),-	,Manchester Ci..,-	,77.3	,-	,6.50,2015/2016,UCL,-	,-	,-	,151	
0.2	,12(1),-	,Manchester Ci..,-	,85	,3	,6.97,2015/2016,EPL,1.4	,-	,1	,1062	
0.4	,5,-	,Argentina,-	,80	,1	,7.16,2015,ICA,1.6	,-	,1	,510	
0.7	,5(1),-	,Manchester Ci..,-	,80.7	,2	,6.92,2014/2015,UCL,1.3	,1	,-	,472	
0.4	,29,1	,Manchester Ci..,1	,85.3	,6	,7.23,2014/2015,EPL,1.8	,1	,4	,2586	
0.3	,5(1),-	,Manchester Ci..,1	,87.1	,2	,6.87,2013/2014,UCL,0.2	,-	,-	,512	
0.6	,34(1),2	,Manchester Ci..,-	,84.7	,11	,7.25,2013/2014,EPL,1.3	,1	,6	,3079	
0.1	,7,-	,Argentina,-	,82.2	,-	,7.06,2014,WC,0.7	,-	,-	,721	
0.8	,3(2),-	,Manchester Ci..,-	,80.6	,1	,6.81,2012/2013,UCL,2.4	,-	,-	,307	
0.7	,29(1),2	,Manchester Ci..,-	,85.1	,7	,7.18,2012/2013,EPL,1.5	,2	,2	,2652	
0.3	,4,-	,Manchester Ci..,-	,92.2	,1	,7.00,2011/2012,UCL,0.3	,-	,-	,356	
0.9	,18(3),2	,Manchester Ci..,-	,87.4	,5	,7.29,2011/2012,EPL,1	,1	,-	,1549	
0.7	,21(5),2	,Manchester Ci..,1	,79.3	,8	,7.27,2010/2011,EPL,1.7	,2	,2	,1946	
0.4	,23(4),1	,Manchester Ci..,1	,75.7	,8	,7.13,2009/2010,EPL,1.2	,-	,1	,2102	
0.5,309,11,,4,81.3,71,7.03,Total / Average,,1.4,9,20,24930
