ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,9,1	,Crystal Palac..,-	,81.2	,-	,6.66,2019/2020,EPL,0.8	,2	,-	,810	
1.3	,36,-	,Crystal Palac..,-	,79.8	,3	,6.71,2018/2019,EPL,0.3	,3	,2	,3198	
1.2	,25(3),1	,Crystal Palac..,-	,77.2	,7	,6.80,2017/2018,EPL,0.2	,5	,1	,2186	
1.1	,20(1),-	,Sunderland,-	,77.6	,2	,6.94,2016/2017,EPL,0.2	,3	,1	,1784	
0.9	,8(3),1	,Crystal Palac..,-	,83.1	,1	,6.64,2016/2017,EPL,0.5	,2	,-	,715	
1.4	,33,1	,Sunderland,-	,77.4	,2	,7.11,2015/2016,EPL,0.4	,4	,3	,2970	
1.1	,26(2),2	,Sunderland,-	,81.5	,4	,7.09,2014/2015,EPL,0.4	,-	,5	,2306	
1.8	,29,1	,Vitesse,1	,85.1	,2	,7.11,2013/2014,NE,0.6	,4	,3	,2536	
1	,1,-	,Netherlands U..,-	,90	,-	,6.32,2013,IEU,-	,-	,-	,90	
1.3	,3,-	,Wigan,-	,82.4	,-	,6.38,2011/2012,EPL,-	,-	,-	,270	
0.3	,1(3),-	,Chelsea,-	,88.6	,-	,6.28,2010/2011,UCL,0.3	,-	,-	,105	
-	,0(2),-	,Chelsea,-	,83.3	,-	,6.54,2009/2010,EPL,0.5	,-	,-	,32	
1.2,205,7,,1,80.4,21,6.90,Total / Average,,0.4,23,15,17002
0.9	,9,1	,Crystal Palac..,-	,81.2	,-	,6.66,2019/2020,EPL,0.8	,2	,-	,810	
1.3	,36,-	,Crystal Palac..,-	,79.8	,3	,6.71,2018/2019,EPL,0.3	,3	,2	,3198	
1.2	,25(3),1	,Crystal Palac..,-	,77.2	,7	,6.80,2017/2018,EPL,0.2	,5	,1	,2186	
1.1	,20(1),-	,Sunderland,-	,77.6	,2	,6.94,2016/2017,EPL,0.2	,3	,1	,1784	
0.9	,8(3),1	,Crystal Palac..,-	,83.1	,1	,6.64,2016/2017,EPL,0.5	,2	,-	,715	
1.4	,33,1	,Sunderland,-	,77.4	,2	,7.11,2015/2016,EPL,0.4	,4	,3	,2970	
1.1	,26(2),2	,Sunderland,-	,81.5	,4	,7.09,2014/2015,EPL,0.4	,-	,5	,2306	
1.8	,29,1	,Vitesse,1	,85.1	,2	,7.11,2013/2014,NE,0.6	,4	,3	,2536	
1	,1,-	,Netherlands U..,-	,90	,-	,6.32,2013,IEU,-	,-	,-	,90	
1.3	,3,-	,Wigan,-	,82.4	,-	,6.38,2011/2012,EPL,-	,-	,-	,270	
0.3	,1(3),-	,Chelsea,-	,88.6	,-	,6.28,2010/2011,UCL,0.3	,-	,-	,105	
-	,0(2),-	,Chelsea,-	,83.3	,-	,6.54,2009/2010,EPL,0.5	,-	,-	,32	
1.2,205,7,,1,80.4,21,6.90,Total / Average,,0.4,23,15,17002
