ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.8	,5,-	,Manchester Un..,-	,80.7	,-	,7.15,2019/2020,EPL,2.8	,-	,2	,450	
3	,34(1),7	,Manchester Un..,-	,82.8	,6	,7.31,2018/2019,EPL,1.7	,13	,9	,3012	
1.7	,8(1),1	,Manchester Un..,1	,85.2	,-	,6.90,2018/2019,UCL,1.4	,2	,1	,730	
1.7	,3,-	,France,-	,84	,-	,6.72,2018/2019,UNL,1.3	,-	,-	,270	
1	,3(2),-	,Manchester Un..,-	,86	,-	,6.83,2017/2018,UCL,0.6	,-	,1	,279	
2.8	,25(2),4	,Manchester Un..,1	,85.3	,5	,7.48,2017/2018,EPL,1.9	,6	,10	,2151	
3.1	,29(1),4	,Manchester Un..,-	,85.1	,7	,7.72,2016/2017,EPL,2.8	,5	,4	,2610	
3	,15,5	,Manchester Un..,-	,83.2	,2	,7.74,2016/2017,UEL,2.9	,3	,1	,1263	
3.5	,33(2),8	,Juventus,-	,83.4	,10	,7.81,2015/2016,ISA,1.8	,8	,12	,3019	
1.2	,6,1	,France,-	,80.2	,1	,7.49,2018,WC,3.3	,1	,-	,539	
3	,8,1	,Juventus,-	,77.7	,-	,7.62,2015/2016,UCL,2	,1	,2	,750	
2.2	,24(2),3	,Juventus,-	,83.8	,4	,7.67,2014/2015,ISA,1.4	,8	,3	,2110	
1.4	,10,1	,Juventus,-	,84.1	,3	,7.26,2014/2015,UCL,2.1	,1	,3	,833	
2.3	,6(1),1	,France,-	,88.3	,1	,7.46,2016,UEC,1.4	,1	,-	,602	
2	,33(3),6	,Juventus,-	,83.8	,4	,7.65,2013/2014,ISA,2.2	,7	,7	,3068	
2.7	,6,-	,Juventus,-	,76.3	,-	,7.21,2013/2014,UCL,2.3	,-	,1	,540	
1.9	,6(2),-	,Juventus,-	,76.3	,1	,7.15,2013/2014,UEL,1.9	,1	,-	,517	
2	,4(1),1	,France,-	,81.7	,1	,7.39,2014,WC,1.4	,1	,1	,355	
2.1	,18(9),4	,Juventus,1	,82.9	,1	,7.42,2012/2013,ISA,2.3	,5	,-	,1732	
0.8	,3(5),-	,Juventus,-	,78.7	,1	,6.64,2012/2013,UCL,1	,-	,-	,338	
1.3	,0(3),-	,Manchester Un..,-	,95.3	,-	,6.56,2011/2012,EPL,-	,-	,-	,67	
2.5,314,47,,3,83.3,47,7.47,Total / Average,,2,63,57,25235
1.8	,5,-	,Manchester Un..,-	,80.7	,-	,7.15,2019/2020,EPL,2.8	,-	,2	,450	
3	,34(1),7	,Manchester Un..,-	,82.8	,6	,7.31,2018/2019,EPL,1.7	,13	,9	,3012	
1.7	,8(1),1	,Manchester Un..,1	,85.2	,-	,6.90,2018/2019,UCL,1.4	,2	,1	,730	
1.7	,3,-	,France,-	,84	,-	,6.72,2018/2019,UNL,1.3	,-	,-	,270	
1	,3(2),-	,Manchester Un..,-	,86	,-	,6.83,2017/2018,UCL,0.6	,-	,1	,279	
2.8	,25(2),4	,Manchester Un..,1	,85.3	,5	,7.48,2017/2018,EPL,1.9	,6	,10	,2151	
3.1	,29(1),4	,Manchester Un..,-	,85.1	,7	,7.72,2016/2017,EPL,2.8	,5	,4	,2610	
3	,15,5	,Manchester Un..,-	,83.2	,2	,7.74,2016/2017,UEL,2.9	,3	,1	,1263	
3.5	,33(2),8	,Juventus,-	,83.4	,10	,7.81,2015/2016,ISA,1.8	,8	,12	,3019	
1.2	,6,1	,France,-	,80.2	,1	,7.49,2018,WC,3.3	,1	,-	,539	
3	,8,1	,Juventus,-	,77.7	,-	,7.62,2015/2016,UCL,2	,1	,2	,750	
2.2	,24(2),3	,Juventus,-	,83.8	,4	,7.67,2014/2015,ISA,1.4	,8	,3	,2110	
1.4	,10,1	,Juventus,-	,84.1	,3	,7.26,2014/2015,UCL,2.1	,1	,3	,833	
2.3	,6(1),1	,France,-	,88.3	,1	,7.46,2016,UEC,1.4	,1	,-	,602	
2	,33(3),6	,Juventus,-	,83.8	,4	,7.65,2013/2014,ISA,2.2	,7	,7	,3068	
2.7	,6,-	,Juventus,-	,76.3	,-	,7.21,2013/2014,UCL,2.3	,-	,1	,540	
1.9	,6(2),-	,Juventus,-	,76.3	,1	,7.15,2013/2014,UEL,1.9	,1	,-	,517	
2	,4(1),1	,France,-	,81.7	,1	,7.39,2014,WC,1.4	,1	,1	,355	
2.1	,18(9),4	,Juventus,1	,82.9	,1	,7.42,2012/2013,ISA,2.3	,5	,-	,1732	
0.8	,3(5),-	,Juventus,-	,78.7	,1	,6.64,2012/2013,UCL,1	,-	,-	,338	
1.3	,0(3),-	,Manchester Un..,-	,95.3	,-	,6.56,2011/2012,EPL,-	,-	,-	,67	
2.5,314,47,,3,83.3,47,7.47,Total / Average,,2,63,57,25235
