ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.3	,3,-	,Chelsea,-	,84.1	,-	,6.95,2019/2020,EPL,0.3	,-	,-	,243	
1.5	,0(2),-	,Chelsea,-	,90.2	,-	,5.96,2019/2020,UCL,-	,-	,-	,79	
1.8	,21(10),5	,Chelsea,-	,86.5	,2	,6.97,2018/2019,EPL,0.3	,8	,2	,1781	
2.1	,11(3),2	,Chelsea,-	,83.3	,1	,7.22,2018/2019,UEL,0.2	,5	,3	,944	
1.1	,4(3),-	,Chelsea,-	,85.9	,-	,6.97,2017/2018,UCL,-	,1	,2	,388	
1.8	,17(14),-	,Chelsea,-	,83	,1	,6.66,2017/2018,EPL,-	,4	,2	,1524	
1.7	,26(9),-	,Chelsea,-	,82.7	,6	,7.13,2016/2017,EPL,0.2	,9	,9	,2151	
1.2	,3(3),-	,Chelsea,-	,79.5	,1	,6.30,2015/2016,UCL,0.2	,-	,-	,294	
2	,24(5),1	,Chelsea,-	,83.8	,3	,7.03,2015/2016,EPL,0.3	,7	,2	,2044	
1.1	,15(20),-	,Barcelona,-	,86.9	,3	,6.76,2014/2015,SLL,0.1	,6	,6	,1531	
0.7	,4(5),-	,Barcelona,-	,89.3	,2	,6.48,2014/2015,UCL,0.1	,-	,3	,398	
0.5	,0(2),-	,Spain,-	,87.5	,-	,6.03,2016,UEC,-	,-	,-	,17	
1.9	,28(9),2	,Barcelona,-	,84.5	,3	,7.13,2013/2014,SLL,0.2	,15	,8	,2367	
0.3	,3(4),-	,Barcelona,-	,88.1	,-	,6.63,2013/2014,UCL,0.1	,1	,-	,305	
0.5	,1(1),-	,Spain,-	,84.1	,-	,6.27,2014,WC,-	,-	,-	,103	
2	,4,-	,Spain,-	,86.4	,-	,7.23,2013,ICC,-	,1	,1	,327	
1.5	,23(5),1	,Barcelona,-	,90.1	,3	,7.16,2012/2013,SLL,0.2	,7	,6	,2078	
1.6	,10,-	,Barcelona,-	,88.7	,3	,6.80,2012/2013,UCL,0.1	,1	,1	,860	
0.3	,0(3),-	,Spain,-	,86.5	,-	,6.51,2012,UEC,-	,-	,-	,89	
1.4	,20(9),-	,Barcelona,-	,88.2	,4	,6.78,2011/2012,SLL,-	,5	,5	,1640	
1.9	,5(4),-	,Barcelona,-	,92.3	,1	,6.90,2011/2012,UCL,-	,4	,-	,498	
1.8	,24(9),1	,Barcelona,-	,89.7	,2	,7.32,2010/2011,SLL,0.1	,13	,7	,2152	
1.9	,8(4),-	,Barcelona,-	,90.8	,1	,7.04,2010/2011,UCL,-	,5	,1	,772	
1.1	,22(12),2	,Barcelona,-	,86.6	,2	,7.18,2009/2010,SLL,0.1	,12	,3	,2124	
2	,7(2),-	,Barcelona,-	,87.3	,2	,7.21,2009/2010,UCL,0.1	,4	,1	,651	
1.6,421,14,,0,86.4,40,6.97,Total / Average,,0.1,108,62,25360
3.3	,3,-	,Chelsea,-	,84.1	,-	,6.95,2019/2020,EPL,0.3	,-	,-	,243	
1.5	,0(2),-	,Chelsea,-	,90.2	,-	,5.96,2019/2020,UCL,-	,-	,-	,79	
1.8	,21(10),5	,Chelsea,-	,86.5	,2	,6.97,2018/2019,EPL,0.3	,8	,2	,1781	
2.1	,11(3),2	,Chelsea,-	,83.3	,1	,7.22,2018/2019,UEL,0.2	,5	,3	,944	
1.1	,4(3),-	,Chelsea,-	,85.9	,-	,6.97,2017/2018,UCL,-	,1	,2	,388	
1.8	,17(14),-	,Chelsea,-	,83	,1	,6.66,2017/2018,EPL,-	,4	,2	,1524	
1.7	,26(9),-	,Chelsea,-	,82.7	,6	,7.13,2016/2017,EPL,0.2	,9	,9	,2151	
1.2	,3(3),-	,Chelsea,-	,79.5	,1	,6.30,2015/2016,UCL,0.2	,-	,-	,294	
2	,24(5),1	,Chelsea,-	,83.8	,3	,7.03,2015/2016,EPL,0.3	,7	,2	,2044	
1.1	,15(20),-	,Barcelona,-	,86.9	,3	,6.76,2014/2015,SLL,0.1	,6	,6	,1531	
0.7	,4(5),-	,Barcelona,-	,89.3	,2	,6.48,2014/2015,UCL,0.1	,-	,3	,398	
0.5	,0(2),-	,Spain,-	,87.5	,-	,6.03,2016,UEC,-	,-	,-	,17	
1.9	,28(9),2	,Barcelona,-	,84.5	,3	,7.13,2013/2014,SLL,0.2	,15	,8	,2367	
0.3	,3(4),-	,Barcelona,-	,88.1	,-	,6.63,2013/2014,UCL,0.1	,1	,-	,305	
0.5	,1(1),-	,Spain,-	,84.1	,-	,6.27,2014,WC,-	,-	,-	,103	
2	,4,-	,Spain,-	,86.4	,-	,7.23,2013,ICC,-	,1	,1	,327	
1.5	,23(5),1	,Barcelona,-	,90.1	,3	,7.16,2012/2013,SLL,0.2	,7	,6	,2078	
1.6	,10,-	,Barcelona,-	,88.7	,3	,6.80,2012/2013,UCL,0.1	,1	,1	,860	
0.3	,0(3),-	,Spain,-	,86.5	,-	,6.51,2012,UEC,-	,-	,-	,89	
1.4	,20(9),-	,Barcelona,-	,88.2	,4	,6.78,2011/2012,SLL,-	,5	,5	,1640	
1.9	,5(4),-	,Barcelona,-	,92.3	,1	,6.90,2011/2012,UCL,-	,4	,-	,498	
1.8	,24(9),1	,Barcelona,-	,89.7	,2	,7.32,2010/2011,SLL,0.1	,13	,7	,2152	
1.9	,8(4),-	,Barcelona,-	,90.8	,1	,7.04,2010/2011,UCL,-	,5	,1	,772	
1.1	,22(12),2	,Barcelona,-	,86.6	,2	,7.18,2009/2010,SLL,0.1	,12	,3	,2124	
2	,7(2),-	,Barcelona,-	,87.3	,2	,7.21,2009/2010,UCL,0.1	,4	,1	,651	
1.6,421,14,,0,86.4,40,6.97,Total / Average,,0.1,108,62,25360
