ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.9	,9,-	,Arsenal,-	,71	,2	,7.08,2019/2020,EPL,0.4	,7	,-	,810	
4.5	,1(1),-	,Arsenal,-	,76.9	,-	,7.00,2019/2020,UEL,-	,1	,-	,101	
2.6	,30(6),4	,Arsenal,-	,74	,-	,7.10,2018/2019,EPL,0.9	,22	,5	,2733	
3.9	,10(2),3	,Arsenal,-	,76.1	,1	,7.36,2018/2019,UEL,1.3	,8	,2	,935	
3.6	,16,2	,Borussia Dort..,1	,76.5	,-	,7.25,2017/2018,GB,1.6	,13	,3	,1417	
3.8	,6,-	,Borussia Dort..,-	,76.3	,-	,6.70,2017/2018,UCL,0.8	,4	,-	,540	
2.4	,12(1),2	,Arsenal,-	,69.4	,-	,7.33,2017/2018,EPL,0.6	,10	,4	,1058	
3.6	,31(1),3	,Borussia Dort..,-	,69.7	,3	,7.42,2016/2017,GB,1.3	,31	,2	,2782	
3.3	,8(1),1	,Borussia Dort..,-	,80.9	,1	,7.28,2016/2017,UCL,1.1	,7	,1	,708	
3.8	,28(3),2	,Borussia Dort..,-	,69	,4	,7.31,2015/2016,GB,1	,25	,5	,2475	
3.2	,9(1),2	,Borussia Dort..,-	,69.6	,-	,7.31,2015/2016,UEL,0.7	,8	,-	,773	
3	,3,-	,Gabon,-	,74.4	,-	,6.91,2015,ACoN,0.3	,1	,-	,270	
3.1	,31(2),-	,Borussia Dort..,-	,66.7	,4	,7.07,2014/2015,GB,1.6	,16	,6	,2723	
2.6	,7(1),1	,Borussia Dort..,-	,74.6	,-	,7.24,2014/2015,UCL,1	,3	,2	,617	
1.4	,3(6),-	,Borussia Dort..,-	,72.1	,1	,6.36,2013/2014,UCL,0.7	,1	,-	,387	
2	,21(11),1	,Borussia Dort..,-	,68.2	,1	,7.05,2013/2014,GB,1.1	,13	,4	,1974	
3.7	,36(1),5	,Saint-Etienne,-	,73.8	,2	,7.12,2012/2013,FL1,0.5	,19	,9	,3214	
3.4	,36,4	,Saint-Etienne,-	,68.6	,2	,7.07,2011/2012,FL1,0.9	,16	,7	,3156	
1.8	,8(6),1	,Saint-Etienne,-	,61.7	,-	,6.58,2010/2011,FL1,0.9	,2	,-	,778	
2.1	,17(2),-	,Monaco,-	,63.5	,1	,6.72,2010/2011,FL1,0.5	,2	,2	,1444	
1.1	,4(10),-	,Lille,-	,77.4	,-	,6.44,2009/2010,FL1,0.1	,2	,-	,495	
3,381,31,,1,70.7,22,7.08,Total / Average,,0.9,211,52,29390
