ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.4	,8(1),-	,Southampton,-	,81.6	,1	,6.52,2019/2020,EPL,1.2	,-	,-	,737	
1.7	,31,2	,Southampton,2	,82.9	,7	,6.87,2018/2019,EPL,1.5	,4	,3	,2764	
3	,1,-	,Denmark,-	,91.2	,-	,7.12,2018/2019,UNL,1	,-	,-	,90	
0.7	,19(4),-	,Southampton,-	,85	,6	,6.61,2017/2018,EPL,1.2	,-	,-	,1671	
1.3	,14(8),1	,Southampton,-	,88.2	,2	,6.79,2016/2017,EPL,0.8	,-	,-	,1299	
1.3	,5(1),-	,Southampton,-	,85.8	,1	,6.77,2016/2017,UEL,1.5	,-	,-	,412	
1	,13(10),-	,Schalke 04,-	,87.4	,3	,6.77,2015/2016,GB,0.8	,-	,1	,1274	
1.8	,4(2),-	,Schalke 04,-	,88.5	,3	,7.12,2015/2016,UEL,1.7	,-	,-	,359	
2.7	,3,-	,Denmark U21,-	,89.5	,-	,7.12,2015,IEU,0.7	,-	,1	,269	
1.7	,10(6),1	,Augsburg,-	,80.1	,4	,7.02,2014/2015,GB,1.8	,2	,3	,1008	
0.6	,3(5),-	,Bayern Munich,-	,88.4	,1	,6.68,2014/2015,GB,0.6	,-	,-	,286	
-	,2(1),-	,Bayern Munich,-	,90	,-	,6.69,2014/2015,UCL,0.7	,-	,-	,182	
1.4	,2(5),-	,Bayern Munich,-	,88.8	,-	,6.95,2013/2014,GB,0.9	,-	,1	,289	
-	,0(2),-	,Bayern Munich,-	,66.7	,-	,6.33,2012/2013,GB,-	,-	,-	,25	
1.3,160,4,,2,85.2,28,6.80,Total / Average,,1.2,6,9,10665
1.4	,8(1),-	,Southampton,-	,81.6	,1	,6.52,2019/2020,EPL,1.2	,-	,-	,737	
1.7	,31,2	,Southampton,2	,82.9	,7	,6.87,2018/2019,EPL,1.5	,4	,3	,2764	
3	,1,-	,Denmark,-	,91.2	,-	,7.12,2018/2019,UNL,1	,-	,-	,90	
0.7	,19(4),-	,Southampton,-	,85	,6	,6.61,2017/2018,EPL,1.2	,-	,-	,1671	
1.3	,14(8),1	,Southampton,-	,88.2	,2	,6.79,2016/2017,EPL,0.8	,-	,-	,1299	
1.3	,5(1),-	,Southampton,-	,85.8	,1	,6.77,2016/2017,UEL,1.5	,-	,-	,412	
1	,13(10),-	,Schalke 04,-	,87.4	,3	,6.77,2015/2016,GB,0.8	,-	,1	,1274	
1.8	,4(2),-	,Schalke 04,-	,88.5	,3	,7.12,2015/2016,UEL,1.7	,-	,-	,359	
2.7	,3,-	,Denmark U21,-	,89.5	,-	,7.12,2015,IEU,0.7	,-	,1	,269	
1.7	,10(6),1	,Augsburg,-	,80.1	,4	,7.02,2014/2015,GB,1.8	,2	,3	,1008	
0.6	,3(5),-	,Bayern Munich,-	,88.4	,1	,6.68,2014/2015,GB,0.6	,-	,-	,286	
-	,2(1),-	,Bayern Munich,-	,90	,-	,6.69,2014/2015,UCL,0.7	,-	,-	,182	
1.4	,2(5),-	,Bayern Munich,-	,88.8	,-	,6.95,2013/2014,GB,0.9	,-	,1	,289	
-	,0(2),-	,Bayern Munich,-	,66.7	,-	,6.33,2012/2013,GB,-	,-	,-	,25	
1.3,160,4,,2,85.2,28,6.80,Total / Average,,1.2,6,9,10665
