ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1,-	,Norwich,-	,62.5	,-	,6.08,2019/2020,EPL,-	,-	,-	,22	
-	,16(1),-	,Schalke 04,-	,69.3	,-	,6.71,2018/2019,GB,0.4	,-	,-	,1469	
-	,6,-	,Schalke 04,-	,57.9	,-	,6.20,2018/2019,UCL,0.2	,-	,-	,540	
-	,34,3	,Schalke 04,-	,63.2	,1	,6.73,2017/2018,GB,0.4	,-	,-	,3016	
-	,34,2	,Schalke 04,-	,63	,3	,6.80,2016/2017,GB,0.7	,-	,-	,3060	
-	,11,-	,Schalke 04,-	,61	,1	,7.05,2016/2017,UEL,0.5	,-	,-	,1020	
-	,34,2	,Schalke 04,-	,64.5	,1	,6.85,2015/2016,GB,0.4	,-	,-	,3060	
-	,8,-	,Schalke 04,-	,67	,-	,6.74,2015/2016,UEL,-	,-	,-	,720	
-	,25,-	,Schalke 04,-	,58.3	,-	,7.10,2014/2015,GB,0.6	,-	,-	,2250	
-	,6,-	,Schalke 04,-	,60.1	,-	,6.34,2014/2015,UCL,0.3	,-	,-	,540	
-	,4,-	,Schalke 04,-	,49.1	,-	,6.85,2013/2014,UCL,-	,-	,-	,360	
-	,22,2	,Schalke 04,-	,55.1	,-	,7.13,2013/2014,GB,0.8	,-	,-	,1980	
-	,9,-	,Schalke 04,1	,55.7	,-	,6.31,2011/2012,GB,-	,-	,-	,749	
-	,14(1),3	,Eintracht Fra..,-	,44.1	,1	,6.98,2010/2011,GB,-	,-	,-	,1306	
-	,3,-	,Eintracht Fra..,-	,50.6	,-	,5.85,2009/2010,GB,-	,-	,-	,270	
0,229,12,,1,60.4,7,6.82,Total / Average,,0.4,0,0,20362
-	,1,-	,Norwich,-	,62.5	,-	,6.08,2019/2020,EPL,-	,-	,-	,22	
-	,16(1),-	,Schalke 04,-	,69.3	,-	,6.71,2018/2019,GB,0.4	,-	,-	,1469	
-	,6,-	,Schalke 04,-	,57.9	,-	,6.20,2018/2019,UCL,0.2	,-	,-	,540	
-	,34,3	,Schalke 04,-	,63.2	,1	,6.73,2017/2018,GB,0.4	,-	,-	,3016	
-	,34,2	,Schalke 04,-	,63	,3	,6.80,2016/2017,GB,0.7	,-	,-	,3060	
-	,11,-	,Schalke 04,-	,61	,1	,7.05,2016/2017,UEL,0.5	,-	,-	,1020	
-	,34,2	,Schalke 04,-	,64.5	,1	,6.85,2015/2016,GB,0.4	,-	,-	,3060	
-	,8,-	,Schalke 04,-	,67	,-	,6.74,2015/2016,UEL,-	,-	,-	,720	
-	,25,-	,Schalke 04,-	,58.3	,-	,7.10,2014/2015,GB,0.6	,-	,-	,2250	
-	,6,-	,Schalke 04,-	,60.1	,-	,6.34,2014/2015,UCL,0.3	,-	,-	,540	
-	,4,-	,Schalke 04,-	,49.1	,-	,6.85,2013/2014,UCL,-	,-	,-	,360	
-	,22,2	,Schalke 04,-	,55.1	,-	,7.13,2013/2014,GB,0.8	,-	,-	,1980	
-	,9,-	,Schalke 04,1	,55.7	,-	,6.31,2011/2012,GB,-	,-	,-	,749	
-	,14(1),3	,Eintracht Fra..,-	,44.1	,1	,6.98,2010/2011,GB,-	,-	,-	,1306	
-	,3,-	,Eintracht Fra..,-	,50.6	,-	,5.85,2009/2010,GB,-	,-	,-	,270	
0,229,12,,1,60.4,7,6.82,Total / Average,,0.4,0,0,20362
