ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,0(1),-	,Sheffield Uni..,-	,83.3	,-	,5.92,2019/2020,EPL,-	,-	,-	,12	
0.2	,1(4),-	,Queens Park R..,-	,92	,-	,6.21,2016/2017,EC,-	,-	,-	,122	
-	,0(4),-	,Lazio,-	,91.8	,-	,6.16,2015/2016,ISA,0.3	,-	,-	,60	
0.5	,1(1),-	,Lazio,-	,90	,-	,6.18,2015/2016,UEL,-	,-	,-	,91	
0.1	,1(6),-	,Cardiff,-	,90.3	,1	,6.29,2014/2015,EC,0.4	,-	,-	,210	
-	,0(1),-	,West Ham,-	,92	,-	,5.93,2014/2015,EPL,-	,-	,-	,33	
3.1	,15(2),5	,Queens Park R..,-	,89.9	,3	,7.18,2013/2014,EC,0.4	,6	,2	,1389	
1.3	,12(4),-	,West Ham,-	,86.4	,5	,6.83,2013/2014,EPL,0.5	,3	,2	,1155	
1.5,53,5,,0,89.2,9,6.70,Total / Average,,0.3,9,4,3072
1	,0(1),-	,Sheffield Uni..,-	,83.3	,-	,5.92,2019/2020,EPL,-	,-	,-	,12	
0.2	,1(4),-	,Queens Park R..,-	,92	,-	,6.21,2016/2017,EC,-	,-	,-	,122	
-	,0(4),-	,Lazio,-	,91.8	,-	,6.16,2015/2016,ISA,0.3	,-	,-	,60	
0.5	,1(1),-	,Lazio,-	,90	,-	,6.18,2015/2016,UEL,-	,-	,-	,91	
0.1	,1(6),-	,Cardiff,-	,90.3	,1	,6.29,2014/2015,EC,0.4	,-	,-	,210	
-	,0(1),-	,West Ham,-	,92	,-	,5.93,2014/2015,EPL,-	,-	,-	,33	
3.1	,15(2),5	,Queens Park R..,-	,89.9	,3	,7.18,2013/2014,EC,0.4	,6	,2	,1389	
1.3	,12(4),-	,West Ham,-	,86.4	,5	,6.83,2013/2014,EPL,0.5	,3	,2	,1155	
1.5,53,5,,0,89.2,9,6.70,Total / Average,,0.3,9,4,3072
