ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.1	,9,-	,Wolverhampton..,-	,71.2	,2	,7.10,2019/2020,EPL,1.4	,3	,2	,766	
2	,2,-	,Wolverhampton..,-	,72.1	,-	,6.26,2019/2020,UEL,1	,-	,-	,169	
2.9	,36(2),4	,Wolverhampton..,-	,72.8	,4	,7.07,2018/2019,EPL,2.1	,13	,7	,3125	
1.5	,6(27),1	,Benfica,-	,68.7	,3	,6.59,2017/2018,PLN,1.5	,6	,6	,970	
1.8	,3(2),-	,Benfica,-	,67.3	,-	,6.44,2017/2018,UCL,2.8	,-	,-	,308	
1.6	,6(13),-	,Benfica,-	,72.7	,3	,6.72,2016/2017,PLN,1.3	,7	,1	,774	
1	,1(5),-	,Benfica,-	,62.5	,-	,6.36,2016/2017,UCL,0.5	,1	,-	,157	
0.5	,0(2),-	,Mexico,-	,52.9	,-	,6.02,2018,WC,1.5	,-	,-	,55	
1.7	,5(5),1	,Benfica,-	,77	,1	,6.88,2015/2016,UCL,1.3	,3	,2	,544	
2.3	,2(1),-	,Mexico,-	,63.2	,-	,7.06,2015,ICA,2.3	,2	,-	,209	
0.8	,4(17),-	,Atletico Madr..,-	,70.4	,-	,6.39,2014/2015,SLL,1	,1	,2	,574	
-	,0(1),-	,Atletico Madr..,-	,66.7	,1	,6.03,2014/2015,UCL,-	,-	,-	,24	
1	,0(1),-	,Mexico,-	,-	,-	,6.31,2014,WC,-	,-	,-	,6	
0.7	,1(2),-	,Mexico,-	,79.4	,-	,6.21,2013,ICC,0.7	,-	,-	,96	
1.8,153,6,,0,70.3,14,6.72,Total / Average,,1.5,36,20,7777
