ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,2(2),-	,Arsenal,-	,85.9	,1	,6.49,2019/2020,EPL,-	,-	,-	,152	
4	,1,-	,Arsenal,-	,84.2	,-	,8.22,2019/2020,UEL,-	,-	,1	,79	
0.9	,5(18),1	,Hoffenheim,-	,86.2	,-	,6.61,2018/2019,GB,-	,7	,-	,630	
0.6	,0(5),-	,Hoffenheim,-	,86.8	,-	,6.43,2018/2019,UCL,-	,-	,-	,113	
1	,1,-	,England U21,-	,91.5	,-	,7.67,2019,IEU,-	,1	,-	,90	
0.5	,3(5),-	,Arsenal,-	,88.3	,1	,6.70,2017/2018,UEL,0.1	,-	,-	,316	
0.7	,2(1),-	,Arsenal,-	,92.4	,-	,6.44,2017/2018,EPL,0.3	,-	,-	,146	
0.9,45,1,,0,87.1,2,6.64,Total / Average,,0.1,8,1,1526
1	,2(2),-	,Arsenal,-	,85.9	,1	,6.49,2019/2020,EPL,-	,-	,-	,152	
4	,1,-	,Arsenal,-	,84.2	,-	,8.22,2019/2020,UEL,-	,-	,1	,79	
0.9	,5(18),1	,Hoffenheim,-	,86.2	,-	,6.61,2018/2019,GB,-	,7	,-	,630	
0.6	,0(5),-	,Hoffenheim,-	,86.8	,-	,6.43,2018/2019,UCL,-	,-	,-	,113	
1	,1,-	,England U21,-	,91.5	,-	,7.67,2019,IEU,-	,1	,-	,90	
0.5	,3(5),-	,Arsenal,-	,88.3	,1	,6.70,2017/2018,UEL,0.1	,-	,-	,316	
0.7	,2(1),-	,Arsenal,-	,92.4	,-	,6.44,2017/2018,EPL,0.3	,-	,-	,146	
0.9,45,1,,0,87.1,2,6.64,Total / Average,,0.1,8,1,1526
