ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.6	,9,1	,Everton,-	,65	,1	,7.25,2019/2020,EPL,2.1	,2	,2	,762	
1.3	,2(1),-	,Brazil,-	,75.4	,1	,6.73,2019,ICA,1.7	,1	,-	,146	
2.4	,32(3),3	,Everton,1	,68.5	,5	,6.89,2018/2019,EPL,2	,13	,1	,2679	
2.5	,32(6),4	,Watford,-	,63.9	,4	,6.84,2017/2018,EPL,3.2	,5	,4	,2827	
2.2	,14,-	,Fluminense,-	,68.9	,4	,7.00,2017,BSA,1.4	,5	,1	,1232	
1.3	,18(10),-	,Fluminense,-	,68.2	,2	,6.54,2016,BSA,1	,4	,1	,1511	
2.1,127,8,,1,67,17,6.83,Total / Average,,2.1,30,9,9157
2.6	,9,1	,Everton,-	,65	,1	,7.25,2019/2020,EPL,2.1	,2	,2	,762	
1.3	,2(1),-	,Brazil,-	,75.4	,1	,6.73,2019,ICA,1.7	,1	,-	,146	
2.4	,32(3),3	,Everton,1	,68.5	,5	,6.89,2018/2019,EPL,2	,13	,1	,2679	
2.5	,32(6),4	,Watford,-	,63.9	,4	,6.84,2017/2018,EPL,3.2	,5	,4	,2827	
2.2	,14,-	,Fluminense,-	,68.9	,4	,7.00,2017,BSA,1.4	,5	,1	,1232	
1.3	,18(10),-	,Fluminense,-	,68.2	,2	,6.54,2016,BSA,1	,4	,1	,1511	
2.1,127,8,,1,67,17,6.83,Total / Average,,2.1,30,9,9157
