ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,1(2),-	,Burnley,-	,57.1	,-	,6.17,2019/2020,EPL,-	,-	,-	,73	
0.8	,6(10),-	,Burnley,1	,62.3	,3	,6.25,2018/2019,EPL,0.7	,-	,1	,718	
2	,1,-	,Ireland,-	,64.3	,-	,6.37,2018/2019,UNL,-	,-	,-	,66	
1.6	,15,2	,Burnley,-	,68.1	,3	,7.10,2017/2018,EPL,0.6	,1	,2	,1279	
1.5	,22(1),2	,Norwich,1	,74	,2	,7.15,2016/2017,EC,0.9	,4	,4	,1849	
1.4	,7(7),-	,Burnley,-	,68	,1	,6.77,2016/2017,EPL,0.6	,1	,2	,716	
1.5	,34(2),4	,Norwich,-	,70.5	,3	,7.15,2015/2016,EPL,1.2	,3	,2	,2988	
0.9	,17(10),1	,Hull,-	,69.2	,2	,6.95,2014/2015,EPL,1.5	,-	,2	,1756	
1.8	,4,1	,Ireland,-	,73.1	,-	,6.97,2016,UEC,0.5	,2	,-	,360	
0.7	,11(5),1	,Hull,-	,80	,2	,6.65,2013/2014,EPL,0.8	,3	,1	,892	
1.2,155,11,,2,70.2,16,6.90,Total / Average,,0.9,14,14,10697
0.3	,1(2),-	,Burnley,-	,57.1	,-	,6.17,2019/2020,EPL,-	,-	,-	,73	
0.8	,6(10),-	,Burnley,1	,62.3	,3	,6.25,2018/2019,EPL,0.7	,-	,1	,718	
2	,1,-	,Ireland,-	,64.3	,-	,6.37,2018/2019,UNL,-	,-	,-	,66	
1.6	,15,2	,Burnley,-	,68.1	,3	,7.10,2017/2018,EPL,0.6	,1	,2	,1279	
1.5	,22(1),2	,Norwich,1	,74	,2	,7.15,2016/2017,EC,0.9	,4	,4	,1849	
1.4	,7(7),-	,Burnley,-	,68	,1	,6.77,2016/2017,EPL,0.6	,1	,2	,716	
1.5	,34(2),4	,Norwich,-	,70.5	,3	,7.15,2015/2016,EPL,1.2	,3	,2	,2988	
0.9	,17(10),1	,Hull,-	,69.2	,2	,6.95,2014/2015,EPL,1.5	,-	,2	,1756	
1.8	,4,1	,Ireland,-	,73.1	,-	,6.97,2016,UEC,0.5	,2	,-	,360	
0.7	,11(5),1	,Hull,-	,80	,2	,6.65,2013/2014,EPL,0.8	,3	,1	,892	
1.2,155,11,,2,70.2,16,6.90,Total / Average,,0.9,14,14,10697
