ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,8(1),-	,Manchester Ci..,-	,91.9	,2	,7.54,2019/2020,EPL,2.9	,1	,-	,740	
1.5	,2,-	,Manchester Ci..,-	,94.7	,1	,7.74,2019/2020,UCL,2	,-	,-	,173	
0.8	,32(2),3	,Atletico Madr..,-	,91.1	,5	,7.24,2018/2019,SLL,2.3	,3	,1	,2743	
0.5	,6(2),-	,Atletico Madr..,-	,89.8	,-	,6.82,2018/2019,UCL,1.8	,-	,-	,606	
1	,0(1),-	,Spain,-	,100	,-	,6.24,2018/2019,UNL,-	,-	,-	,31	
0.9	,36(1),3	,Villarreal,-	,90.1	,8	,7.20,2017/2018,SLL,2.7	,1	,3	,3228	
0.3	,5(1),1	,Villarreal,-	,91.8	,1	,7.00,2017/2018,UEL,1.5	,-	,1	,458	
0.3	,8(15),1	,Villarreal,-	,90.2	,1	,6.60,2016/2017,SLL,0.9	,-	,1	,838	
1.5	,2(2),1	,Villarreal,-	,91	,1	,7.13,2016/2017,UEL,1.5	,1	,-	,193	
0.7	,1(2),-	,Villarreal,-	,86.8	,1	,6.61,2015/2016,SLL,0.3	,-	,-	,94	
0.7,127,9,,0,90.7,20,7.08,Total / Average,,2,6,6,9104
0.7	,8(1),-	,Manchester Ci..,-	,91.9	,2	,7.54,2019/2020,EPL,2.9	,1	,-	,740	
1.5	,2,-	,Manchester Ci..,-	,94.7	,1	,7.74,2019/2020,UCL,2	,-	,-	,173	
0.8	,32(2),3	,Atletico Madr..,-	,91.1	,5	,7.24,2018/2019,SLL,2.3	,3	,1	,2743	
0.5	,6(2),-	,Atletico Madr..,-	,89.8	,-	,6.82,2018/2019,UCL,1.8	,-	,-	,606	
1	,0(1),-	,Spain,-	,100	,-	,6.24,2018/2019,UNL,-	,-	,-	,31	
0.9	,36(1),3	,Villarreal,-	,90.1	,8	,7.20,2017/2018,SLL,2.7	,1	,3	,3228	
0.3	,5(1),1	,Villarreal,-	,91.8	,1	,7.00,2017/2018,UEL,1.5	,-	,1	,458	
0.3	,8(15),1	,Villarreal,-	,90.2	,1	,6.60,2016/2017,SLL,0.9	,-	,1	,838	
1.5	,2(2),1	,Villarreal,-	,91	,1	,7.13,2016/2017,UEL,1.5	,1	,-	,193	
0.7	,1(2),-	,Villarreal,-	,86.8	,1	,6.61,2015/2016,SLL,0.3	,-	,-	,94	
0.7,127,9,,0,90.7,20,7.08,Total / Average,,2,6,6,9104
