ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Wolverhampton..,-	,56.8	,-	,6.69,2019/2020,EPL,0.3	,-	,-	,810	
-	,2,-	,Wolverhampton..,-	,71.1	,-	,6.28,2019/2020,UEL,-	,-	,-	,180	
-	,37,-	,Wolverhampton..,-	,53.6	,-	,6.45,2018/2019,EPL,0.2	,-	,-	,3330	
-	,5,-	,Portugal,-	,55.6	,-	,6.70,2018/2019,UNL,0.2	,-	,-	,450	
-	,34,1	,Sporting CP,-	,70.7	,4	,6.76,2017/2018,PLN,0.2	,-	,-	,3060	
-	,6,-	,Sporting CP,-	,72.1	,-	,6.65,2017/2018,UEL,-	,-	,-	,570	
-	,6,-	,Sporting CP,-	,57.7	,-	,6.61,2017/2018,UCL,-	,-	,-	,540	
-	,31,1	,Sporting CP,-	,74.2	,2	,6.55,2016/2017,PLN,0.2	,-	,-	,2790	
-	,6,-	,Sporting CP,-	,64.2	,-	,6.23,2016/2017,UCL,-	,-	,-	,540	
-	,4,-	,Portugal,-	,60.9	,-	,6.45,2018,WC,0.5	,-	,-	,360	
-	,7,-	,Sporting CP,1	,58.3	,-	,6.14,2015/2016,UEL,0.6	,-	,-	,557	
-	,6,-	,Sporting CP,-	,58.9	,-	,6.40,2014/2015,UCL,-	,-	,-	,540	
-	,2,-	,Sporting CP,-	,70.8	,-	,6.87,2014/2015,UEL,-	,-	,-	,180	
-	,7,1	,Portugal,-	,67.4	,1	,6.82,2016,UEC,0.6	,-	,-	,720	
-	,1,-	,Portugal,-	,58.3	,-	,4.60,2014,WC,-	,-	,-	,90	
-	,5,1	,Sporting CP,-	,71.8	,-	,6.63,2012/2013,UEL,-	,-	,-	,450	
-	,5,-	,Portugal,-	,65.5	,-	,6.53,2012,UEC,-	,-	,-	,480	
0,173,4,,1,64.4,7,6.55,Total / Average,,0.2,0,0,15647
-	,9,-	,Wolverhampton..,-	,56.8	,-	,6.69,2019/2020,EPL,0.3	,-	,-	,810	
-	,2,-	,Wolverhampton..,-	,71.1	,-	,6.28,2019/2020,UEL,-	,-	,-	,180	
-	,37,-	,Wolverhampton..,-	,53.6	,-	,6.45,2018/2019,EPL,0.2	,-	,-	,3330	
-	,5,-	,Portugal,-	,55.6	,-	,6.70,2018/2019,UNL,0.2	,-	,-	,450	
-	,34,1	,Sporting CP,-	,70.7	,4	,6.76,2017/2018,PLN,0.2	,-	,-	,3060	
-	,6,-	,Sporting CP,-	,72.1	,-	,6.65,2017/2018,UEL,-	,-	,-	,570	
-	,6,-	,Sporting CP,-	,57.7	,-	,6.61,2017/2018,UCL,-	,-	,-	,540	
-	,31,1	,Sporting CP,-	,74.2	,2	,6.55,2016/2017,PLN,0.2	,-	,-	,2790	
-	,6,-	,Sporting CP,-	,64.2	,-	,6.23,2016/2017,UCL,-	,-	,-	,540	
-	,4,-	,Portugal,-	,60.9	,-	,6.45,2018,WC,0.5	,-	,-	,360	
-	,7,-	,Sporting CP,1	,58.3	,-	,6.14,2015/2016,UEL,0.6	,-	,-	,557	
-	,6,-	,Sporting CP,-	,58.9	,-	,6.40,2014/2015,UCL,-	,-	,-	,540	
-	,2,-	,Sporting CP,-	,70.8	,-	,6.87,2014/2015,UEL,-	,-	,-	,180	
-	,7,1	,Portugal,-	,67.4	,1	,6.82,2016,UEC,0.6	,-	,-	,720	
-	,1,-	,Portugal,-	,58.3	,-	,4.60,2014,WC,-	,-	,-	,90	
-	,5,1	,Sporting CP,-	,71.8	,-	,6.63,2012/2013,UEL,-	,-	,-	,450	
-	,5,-	,Portugal,-	,65.5	,-	,6.53,2012,UEC,-	,-	,-	,480	
0,173,4,,1,64.4,7,6.55,Total / Average,,0.2,0,0,15647
