ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,5(3),-	,Bournemouth,-	,81.6	,1	,6.56,2019/2020,EPL,0.3	,1	,1	,537	
1.3	,35(3),5	,Bournemouth,-	,76.9	,2	,7.08,2018/2019,EPL,0.3	,7	,14	,3173	
1.5	,2,-	,Scotland,-	,79.2	,-	,8.00,2018/2019,UNL,0.5	,1	,3	,163	
1.2	,23(3),1	,Bournemouth,-	,76.6	,-	,6.71,2017/2018,EPL,0.3	,5	,3	,2010	
0.9	,19(9),1	,Bournemouth,-	,79	,3	,6.71,2016/2017,EPL,0.2	,3	,5	,1769	
2.2	,15(3),3	,Ipswich,-	,71.8	,3	,7.02,2015/2016,EC,0.3	,4	,2	,1244	
1.1	,6(15),-	,Bournemouth,-	,87.7	,3	,6.42,2014/2015,EC,-	,1	,1	,697	
1.3	,23(14),-	,Bournemouth,-	,80.1	,2	,6.62,2013/2014,EC,0.2	,3	,1	,1987	
1.3,178,10,,0,78.8,14,6.78,Total / Average,,0.2,25,30,11580
0.9	,5(3),-	,Bournemouth,-	,81.6	,1	,6.56,2019/2020,EPL,0.3	,1	,1	,537	
1.3	,35(3),5	,Bournemouth,-	,76.9	,2	,7.08,2018/2019,EPL,0.3	,7	,14	,3173	
1.5	,2,-	,Scotland,-	,79.2	,-	,8.00,2018/2019,UNL,0.5	,1	,3	,163	
1.2	,23(3),1	,Bournemouth,-	,76.6	,-	,6.71,2017/2018,EPL,0.3	,5	,3	,2010	
0.9	,19(9),1	,Bournemouth,-	,79	,3	,6.71,2016/2017,EPL,0.2	,3	,5	,1769	
2.2	,15(3),3	,Ipswich,-	,71.8	,3	,7.02,2015/2016,EC,0.3	,4	,2	,1244	
1.1	,6(15),-	,Bournemouth,-	,87.7	,3	,6.42,2014/2015,EC,-	,1	,1	,697	
1.3	,23(14),-	,Bournemouth,-	,80.1	,2	,6.62,2013/2014,EC,0.2	,3	,1	,1987	
1.3,178,10,,0,78.8,14,6.78,Total / Average,,0.2,25,30,11580
