ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.1	,8(1),3	,Liverpool,-	,79.6	,-	,7.43,2019/2020,EPL,0.9	,5	,1	,699	
2.3	,3,-	,Liverpool,-	,87.3	,-	,8.12,2019/2020,UCL,1	,2	,-	,270	
2	,6,2	,Senegal,-	,78.9	,2	,7.32,2019,ACoN,0.7	,3	,1	,570	
2.4	,35(1),6	,Liverpool,-	,78.2	,2	,7.43,2018/2019,EPL,1	,22	,1	,3086	
1.9	,13,2	,Liverpool,-	,75.8	,2	,7.12,2018/2019,UCL,1.4	,4	,1	,1152	
2.8	,11,4	,Liverpool,-	,77.2	,2	,8.12,2017/2018,UCL,1.5	,10	,1	,940	
2.4	,28(1),1	,Liverpool,1	,80.4	,3	,7.27,2017/2018,EPL,0.9	,10	,7	,2207	
2.1	,26(1),2	,Liverpool,-	,77.5	,4	,7.51,2016/2017,EPL,1.6	,13	,5	,2248	
1	,3,-	,Senegal,-	,77.7	,-	,6.81,2018,WC,0.7	,1	,-	,270	
2.3	,30(7),4	,Southampton,2	,80.8	,4	,7.14,2015/2016,EPL,0.8	,11	,6	,2608	
1	,2,-	,Senegal,-	,66.2	,-	,6.62,2015,ACoN,0.5	,-	,-	,156	
2	,24(6),4	,Southampton,-	,79.7	,5	,7.07,2014/2015,EPL,0.5	,10	,3	,2135	
2	,9,3	,Salzburg,1	,77	,1	,8.01,2013/2014,UEL,1.2	,4	,3	,714	
2.2,215,31,,4,78.9,25,7.35,Total / Average,,1,95,29,17055
2.1	,8(1),3	,Liverpool,-	,79.6	,-	,7.43,2019/2020,EPL,0.9	,5	,1	,699	
2.3	,3,-	,Liverpool,-	,87.3	,-	,8.12,2019/2020,UCL,1	,2	,-	,270	
2	,6,2	,Senegal,-	,78.9	,2	,7.32,2019,ACoN,0.7	,3	,1	,570	
2.4	,35(1),6	,Liverpool,-	,78.2	,2	,7.43,2018/2019,EPL,1	,22	,1	,3086	
1.9	,13,2	,Liverpool,-	,75.8	,2	,7.12,2018/2019,UCL,1.4	,4	,1	,1152	
2.8	,11,4	,Liverpool,-	,77.2	,2	,8.12,2017/2018,UCL,1.5	,10	,1	,940	
2.4	,28(1),1	,Liverpool,1	,80.4	,3	,7.27,2017/2018,EPL,0.9	,10	,7	,2207	
2.1	,26(1),2	,Liverpool,-	,77.5	,4	,7.51,2016/2017,EPL,1.6	,13	,5	,2248	
1	,3,-	,Senegal,-	,77.7	,-	,6.81,2018,WC,0.7	,1	,-	,270	
2.3	,30(7),4	,Southampton,2	,80.8	,4	,7.14,2015/2016,EPL,0.8	,11	,6	,2608	
1	,2,-	,Senegal,-	,66.2	,-	,6.62,2015,ACoN,0.5	,-	,-	,156	
2	,24(6),4	,Southampton,-	,79.7	,5	,7.07,2014/2015,EPL,0.5	,10	,3	,2135	
2	,9,3	,Salzburg,1	,77	,1	,8.01,2013/2014,UEL,1.2	,4	,3	,714	
2.2,215,31,,4,78.9,25,7.35,Total / Average,,1,95,29,17055
