ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,2(1),-	,Crystal Palac..,-	,79.1	,-	,6.73,2019/2020,EPL,3.3	,-	,-	,187	
0.6	,7(3),-	,Crystal Palac..,-	,72.7	,1	,6.74,2018/2019,EPL,2.6	,-	,1	,661	
1.1	,16(1),-	,Crystal Palac..,-	,79.9	,4	,6.69,2017/2018,EPL,2.9	,1	,-	,1435	
0.9	,19(4),-	,Crystal Palac..,-	,74	,2	,6.75,2016/2017,EPL,3	,3	,1	,1744	
0.8	,35,1	,Crystal Palac..,-	,75.3	,7	,7.05,2015/2016,EPL,3.3	,5	,1	,3150	
0.6	,34,1	,Crystal Palac..,-	,66.4	,6	,6.96,2014/2015,EPL,3.2	,2	,3	,2923	
0.7	,25,1	,Blackburn,-	,71.7	,5	,7.16,2013/2014,EC,3.1	,-	,4	,2250	
0.3	,14,-	,Crystal Palac..,-	,68.4	,4	,7.11,2013/2014,EPL,1.8	,1	,-	,1260	
0.6	,27,-	,Blackburn,-	,70.5	,2	,6.62,2011/2012,EPL,0.7	,1	,1	,2403	
0.6	,20,-	,Birmingham,-	,72.8	,4	,6.93,2010/2011,EPL,2.8	,2	,1	,1800	
0.5	,30,-	,Birmingham,-	,69.9	,4	,7.14,2009/2010,EPL,3.2	,-	,2	,2700	
0.7,238,3,,0,72,39,6.93,Total / Average,,2.7,15,14,20513
0.3	,2(1),-	,Crystal Palac..,-	,79.1	,-	,6.73,2019/2020,EPL,3.3	,-	,-	,187	
0.6	,7(3),-	,Crystal Palac..,-	,72.7	,1	,6.74,2018/2019,EPL,2.6	,-	,1	,661	
1.1	,16(1),-	,Crystal Palac..,-	,79.9	,4	,6.69,2017/2018,EPL,2.9	,1	,-	,1435	
0.9	,19(4),-	,Crystal Palac..,-	,74	,2	,6.75,2016/2017,EPL,3	,3	,1	,1744	
0.8	,35,1	,Crystal Palac..,-	,75.3	,7	,7.05,2015/2016,EPL,3.3	,5	,1	,3150	
0.6	,34,1	,Crystal Palac..,-	,66.4	,6	,6.96,2014/2015,EPL,3.2	,2	,3	,2923	
0.7	,25,1	,Blackburn,-	,71.7	,5	,7.16,2013/2014,EC,3.1	,-	,4	,2250	
0.3	,14,-	,Crystal Palac..,-	,68.4	,4	,7.11,2013/2014,EPL,1.8	,1	,-	,1260	
0.6	,27,-	,Blackburn,-	,70.5	,2	,6.62,2011/2012,EPL,0.7	,1	,1	,2403	
0.6	,20,-	,Birmingham,-	,72.8	,4	,6.93,2010/2011,EPL,2.8	,2	,1	,1800	
0.5	,30,-	,Birmingham,-	,69.9	,4	,7.14,2009/2010,EPL,3.2	,-	,2	,2700	
0.7,238,3,,0,72,39,6.93,Total / Average,,2.7,15,14,20513
