ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2	,1,-	,Watford,-	,54.5	,-	,6.59,2019/2020,EPL,3	,-	,-	,57	
-	,0(1),-	,Watford,-	,100	,-	,6.02,2018/2019,EPL,-	,-	,-	,14	
0.5	,2,-	,Austria,-	,83.6	,-	,7.04,2018/2019,UNL,3.5	,-	,-	,180	
0.4	,17(4),-	,Watford,-	,78.2	,5	,6.54,2017/2018,EPL,2.1	,-	,-	,1568	
0.7	,32(1),-	,Watford,1	,76.4	,10	,6.62,2016/2017,EPL,1.9	,1	,1	,2775	
0.6	,19(2),-	,Watford,-	,73.9	,5	,6.82,2015/2016,EPL,1.4	,2	,-	,1777	
0.9	,20(2),1	,Werder Bremen,-	,70.9	,5	,7.02,2014/2015,GB,3.9	,3	,1	,1742	
-	,2,-	,Austria,-	,84.1	,-	,6.69,2016,UEC,3	,-	,-	,136	
0.6	,26(1),1	,Werder Bremen,-	,73.4	,4	,7.34,2013/2014,GB,4.7	,2	,2	,2305	
0.5	,23(5),-	,Werder Bremen,1	,78.3	,2	,6.68,2012/2013,GB,2.5	,1	,-	,1946	
0.5	,13(3),-	,Werder Bremen,-	,81.3	,-	,6.95,2011/2012,GB,1.6	,2	,1	,1068	
0.8	,25,-	,Werder Bremen,-	,78.8	,8	,6.74,2010/2011,GB,1.1	,1	,2	,2250	
0.8	,6,-	,Werder Bremen,-	,81.3	,2	,6.92,2010/2011,UCL,1.2	,1	,-	,540	
0.4	,5(4),-	,Werder Bremen,1	,73.3	,1	,6.42,2009/2010,GB,0.4	,1	,-	,488	
0.6,214,2,,3,76.4,42,6.81,Total / Average,,2.3,14,7,16846
2	,1,-	,Watford,-	,54.5	,-	,6.59,2019/2020,EPL,3	,-	,-	,57	
-	,0(1),-	,Watford,-	,100	,-	,6.02,2018/2019,EPL,-	,-	,-	,14	
0.5	,2,-	,Austria,-	,83.6	,-	,7.04,2018/2019,UNL,3.5	,-	,-	,180	
0.4	,17(4),-	,Watford,-	,78.2	,5	,6.54,2017/2018,EPL,2.1	,-	,-	,1568	
0.7	,32(1),-	,Watford,1	,76.4	,10	,6.62,2016/2017,EPL,1.9	,1	,1	,2775	
0.6	,19(2),-	,Watford,-	,73.9	,5	,6.82,2015/2016,EPL,1.4	,2	,-	,1777	
0.9	,20(2),1	,Werder Bremen,-	,70.9	,5	,7.02,2014/2015,GB,3.9	,3	,1	,1742	
-	,2,-	,Austria,-	,84.1	,-	,6.69,2016,UEC,3	,-	,-	,136	
0.6	,26(1),1	,Werder Bremen,-	,73.4	,4	,7.34,2013/2014,GB,4.7	,2	,2	,2305	
0.5	,23(5),-	,Werder Bremen,1	,78.3	,2	,6.68,2012/2013,GB,2.5	,1	,-	,1946	
0.5	,13(3),-	,Werder Bremen,-	,81.3	,-	,6.95,2011/2012,GB,1.6	,2	,1	,1068	
0.8	,25,-	,Werder Bremen,-	,78.8	,8	,6.74,2010/2011,GB,1.1	,1	,2	,2250	
0.8	,6,-	,Werder Bremen,-	,81.3	,2	,6.92,2010/2011,UCL,1.2	,1	,-	,540	
0.4	,5(4),-	,Werder Bremen,1	,73.3	,1	,6.42,2009/2010,GB,0.4	,1	,-	,488	
0.6,214,2,,3,76.4,42,6.81,Total / Average,,2.3,14,7,16846
