ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,4(1),1	,Brighton,-	,75.9	,-	,6.99,2019/2020,EPL,5.6	,-	,-	,380	
1.1	,35,6	,Brighton,1	,75.2	,4	,7.11,2018/2019,EPL,5.3	,5	,1	,3088	
1.3	,4,-	,Ireland,-	,78.6	,1	,6.71,2018/2019,UNL,4.5	,-	,-	,360	
0.8	,37,3	,Brighton,-	,76.4	,8	,7.18,2017/2018,EPL,5.4	,-	,1	,3294	
1	,3,-	,Blackburn,1	,76.6	,1	,6.16,2016/2017,EC,7.7	,-	,-	,270	
0.9	,31,2	,Brighton,-	,79.2	,5	,7.56,2016/2017,EC,6.1	,2	,-	,2790	
1.8	,41,7	,Blackburn,1	,62.2	,10	,7.40,2015/2016,EC,7.4	,4	,2	,3611	
1.1	,18(1),2	,Blackburn,-	,65.2	,5	,7.41,2014/2015,EC,5.6	,1	,1	,1621	
1.5	,2,-	,Ireland,1	,52.3	,-	,6.52,2016,UEC,8	,-	,-	,156	
1	,37,9	,Yeovil,-	,61.2	,7	,7.72,2013/2014,EC,6.5	,1	,2	,3330	
-	,0(1),-	,Everton,-	,-	,-	,6.00,2012/2013,EPL,-	,-	,-	,1	
0.8	,2(2),-	,Everton,-	,61.9	,-	,6.63,2011/2012,EPL,1	,-	,-	,212	
1.1,219,30,,4,69.6,41,7.33,Total / Average,,6,13,7,19113
