ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,9,-	,Bournemouth,-	,76.3	,1	,6.94,2019/2020,EPL,3.8	,-	,-	,810	
0.7	,31,1	,Bournemouth,-	,79.3	,3	,6.96,2018/2019,EPL,4.1	,1	,1	,2787	
0.6	,31(3),1	,Bournemouth,-	,75.8	,5	,6.89,2017/2018,EPL,4	,2	,1	,2766	
0.8	,38,2	,Bournemouth,-	,82	,5	,7.18,2016/2017,EPL,3.8	,2	,-	,3420	
0.7	,36,4	,Bournemouth,-	,81.4	,5	,7.03,2015/2016,EPL,3.4	,4	,-	,3196	
0.7	,46,3	,Bournemouth,-	,80.1	,10	,7.33,2014/2015,EC,4.2	,5	,1	,4103	
0.5	,38,5	,Bournemouth,-	,77.1	,5	,7.20,2013/2014,EC,3.2	,3	,-	,3420	
0.6,232,16,,0,79.2,34,7.11,Total / Average,,3.8,17,3,20502
0.2	,9,-	,Bournemouth,-	,76.3	,1	,6.94,2019/2020,EPL,3.8	,-	,-	,810	
0.7	,31,1	,Bournemouth,-	,79.3	,3	,6.96,2018/2019,EPL,4.1	,1	,1	,2787	
0.6	,31(3),1	,Bournemouth,-	,75.8	,5	,6.89,2017/2018,EPL,4	,2	,1	,2766	
0.8	,38,2	,Bournemouth,-	,82	,5	,7.18,2016/2017,EPL,3.8	,2	,-	,3420	
0.7	,36,4	,Bournemouth,-	,81.4	,5	,7.03,2015/2016,EPL,3.4	,4	,-	,3196	
0.7	,46,3	,Bournemouth,-	,80.1	,10	,7.33,2014/2015,EC,4.2	,5	,1	,4103	
0.5	,38,5	,Bournemouth,-	,77.1	,5	,7.20,2013/2014,EC,3.2	,3	,-	,3420	
0.6,232,16,,0,79.2,34,7.11,Total / Average,,3.8,17,3,20502
